KEY,"ChineseSimplified"
MONTHLYHERO_TANYA_BIRTHDAY_DESC,"谭雅将刺客团的任务抛诸脑后，独自追击着罗伊。\n脑海中突然浮现出过去和罗伊过生日的记忆…"
MONTHLYHERO_LOMAN_BIRTHDAY_DESC,"洛曼在生日当天也没有任何动摇，依旧执勤。有一些人想为这样的洛曼庆祝生日…"
MONTHLYHERO_PRISCILLA_BIRTHDAY_DESC,"最高级VVIP顾客造访梅伊的店铺！\n带着普莉西拉的爱纱问梅伊订购的「那个东西」是？"
MONTHLYHERO_DEMIA_BIRTHDAY_DESC,"黛弥儿想过一个安静的生日。但是对于王国守护骑士团队长来说，\n不可能有安静的生日。"
MONTHLYHERO_LEWISIA_BIRTHDAY_DESC,"满月当空的夜晚，在幽静的湖边，一场规模虽小但意义重大的会面拉开了序幕。"
MONTHLYHERO_SONIA_BIRTHDAY_DESC,"从早晨起就不见踪影的米芮安，还有追踪她的索妮亚！揭开米芮安的阴谋吧！"
MONTHLYHERO_VERONICA_BIRTHDAY_DESC,"劳模翁薇若妮卡在生日当天也一如既往地忙碌，对这样的薇若妮卡伸出援手的人是？"
MONTHLYHERO_KAULAH_BIRTHDAY_DESC,"在温暖的南面岛上过生日的卡尔洛，在这和平的假期里发生了什么事？"
MONTHLYHERO_YURIA_BIRTHDAY_DESC,"尤莉娅在长期旅行后回到祖国，但是在她的房间里…"
MONTHLYHERO_ARTEMIA_BIRTHDAY_DESC,"阿蒂蜜雅在生日当天被邀请到了英雄旅馆，秘密等待着她的人是？"
MONTHLYHERO_LEO_BIRTHDAY_DESC,"王室家族缺席了里欧的生日，对想到要独自庆生而感到忧郁的里欧，\n此时找上门来的客人是？"
MONTHLYHERO_CASSANDRA_BIRTHDAY_DESC,"卡珊卓是帝国最大的酒吧「黄金酒吧」的主人，神秘的她过生日的方法是？"
MONTHLYHERO_ROI_BIRTHDAY_DESC,"罗伊在每次生日都会被卷入一些奇怪的事件，今年生日他真的能平静地度过吗？"
MONTHLYHERO_MEDIANA_BIRTHDAY_DESC,"每天都持续进行实验的梅蒂安娜，在她生日那天出现的新机会是…？！"
MONTHLYHERO_MORRAH_BIRTHDAY_DESC,"莫拉回顾著自己的过去与现在，这之间产生的极大变化…"
MONTHLYHERO_THEO_BIRTHDAY_DESC,"偶然间被问到生日是什么时候时，希欧回答说是今天…"
MONTHLYHERO_ANNETTE_BIRTHDAY_DESC,"生日的早晨，安妮特刚从睡梦中醒来。这时找上门来的熟悉的身影是谁？"
MONTHLYHERO_JANE_BIRTHDAY_DESC,"在很久很久以前…"
MONTHLYHERO_GLENWYS_BIRTHDAY_DESC,"格兰薇丝去到她向来独自去的饭店。在那里等待她的是…"
MONTHLYHERO_LAKRAK_BIRTHDAY_DESC,"为了庆祝拉克拉克的生日，罗伊为他准备了惊喜，\n但是拉克拉克却责骂他随意使用火药亵渎了神灵…"
MONTHLYHERO_LUCIAS_BIRTHDAY_DESC,"大家都劝生日快到的鲁西亚司该休息一下了，但是他有无法休息的理由…"
MONTHLYHERO_LORRAINE_BIRTHDAY_DESC,"为贤者罗兰准备的生日宴会，瑟琳和林精、树人们聚集在一起为她祝贺生日，\n但是前来祝贺的可不是只有他们…"
MONTHLYHERO_LAVRIL_BIRTHDAY_DESC,"拉薇儿知道了生日的存在。但是拉薇儿的生日是…"
MONTHLYHERO_KARA_BIRTHDAY_DESC,"机器人卡菈正在学习人类情感。为迎接卡菈的生日，安妮特准备的特级计画是？"
MONTHLYHERO_MIRURU_BIRTHDAY_DESC,"盼望已久的队长的生日！米露露海盗团的团员们递上了准备好的生日礼物…"
MONTHLYHERO_SHAMILLA_BIRTHDAY_DESC,"在黑暗中伺机而动的诅咒恶魔。她竟向一个意料之外的人求助…"
MONTHLYHERO_EZEKIEL_BIRTHDAY_DESC,"要在沙漠做法式燉蛋吃？真的吗？"
MONTHLYHERO_FLUSS_BIRTHDAY_DESC,"有一天凌晨，帝国有实力的人因为一个可疑的委托而纷纷聚集在风地雪山…主办人正是弗鲁斯？"
MONTHLYHERO_DIMAEL_BIRTHDAY_DESC,"被派到沙漠的那个时期，梦到部下们的迪麦。唤醒迪麦的爱碧嘉夜担心他做了什么梦…"
MONTHLYHERO_SHEA_BIRTHDAY_DESC,"因为非常害羞，希娅经常逃避在很多人聚集的地方演出。在16岁生日到来之际，她决心要在广场做街头表演…"
MONTHLYHERO_NICKY_BIRTHDAY_DESC,"深夜，竞技场地下发生了什么事？？？"
MONTHLYHERO_YANNE_BIRTHDAY_DESC,"在生日之际展现才华的雅妮。她带来了用平时狩猎时得到的美食材料做成的料理…"
MONTHLYHERO_SERIA_BIRTHDAY_TITLE,"～噩梦～"
MONTHLYHERO_ERZE_BIRTHDAY_TITLE,"～鲜血蛋糕～"
MONTHLYHERO_OPHELIA_BIRTHDAY_TITLE,"～森林里的宝物～"
MONTHLYHERO_CROW_BIRTHDAY_TITLE,"～地狱厨房～"
MONTHLYHERO_LAIAS_BIRTHDAY_TITLE,"~第2次流动神殿战争~"
MONTHLYHERO_SELENE_BIRTHDAY_TITLE,"～短暂的休息～"
MONTHLYHERO_MARIA_BIRTHDAY_TITLE,"～双倍的祝贺～"
MONTHLYHERO_ZAFIR_BIRTHDAY_TITLE,"～霍菲斯的礼物～"
MONTHLYHERO_SERIA_BIRTHDAY_DESC,"沉浸在回忆中的赛莉亚，她的眼前出现了前来庆祝生日的妹妹。"
MONTHLYHERO_ERZE_BIRTHDAY_DESC,"收到甜蜜之血作为礼物的爱儿琪，绝不会就此满足。"
MONTHLYHERO_OPHELIA_BIRTHDAY_DESC,"欧菲莉亚跟着艾斯克前往神秘森林内部，\n脸上挂着难以捉摸的微笑的艾斯克会带着她去…"
MONTHLYHERO_CROW_BIRTHDAY_DESC,"在克洛的生日之际，米特拉和潘希洛奈准备做蛋糕送他。\n两人真的能顺利做好蛋糕吗…？"
MONTHLYHERO_LAIAS_BIRTHDAY_DESC,"在莱雅丝的生日之际，黎莉雅和奈洛希思结成了同盟。\n继去年之后展开的第2场比赛会有什么走向呢？"
MONTHLYHERO_SELENE_BIRTHDAY_DESC,"森林家族为了庆祝公主的生日而聚集在一起，在那里出现了意想不到的客人…"
MONTHLYHERO_MARIA_BIRTHDAY_DESC,"莫拉为玛莉亚准备了一份小小的生日礼物。\n但玛莉亚收到礼物后却对莫拉很生气…！？"
MONTHLYHERO_ZAFIR_BIRTHDAY_DESC,"为了在抵达首都奥勒贝尔的那天迎来生日的查毕勒，霍菲斯准备了某个礼物！"
