KEY,"French"
E_C19_May_Lucias_30,"Le monde est rempli de tristesse et de douleur."
E_C19_May_Lucias_31,"Et jusqu'à ta naissance, ce village ne faisait pas exception."
E_C19_May_Lucias_32,"C'est grâce à toi que nous pouvons sourire."
E_C19_May_Lucias_33,"En même temps... je suis content que tout le monde soit heureux."
E_C19_May_Lucias_34,"(Si ma maigre contribution peut aider ces villageois..."
E_C19_May_Lucias_35,"Je pourrais peut-être sauver les gens en dehors ?"
E_C19_May_Lucias_36,"Et bâtir un monde... où tout le monde serait heureux... un monde sans souffrance et sans peine...)"
E_C19_May_Lucias_37,"Il y a des gens dans ce monde que je n'ai pas pu sauver."
E_C19_May_Lucias_38,"J'entends encore leurs voix résonner depuis le palais, à travers le chaos et l'horreur."
E_C19_May_Lucias_39,"Je ne suis pas encore prêt à rentrer."
E_C19_May_Lucias_40,"(Pas avant d'avoir accompli ma mission..."
E_C19_May_Lucias_41,"Je dois sauver ceux qui souffrent... et leur apporter la paix.)"
E_C19_May_Lucias_42,"Je suis désolé, je dois décliner votre offre généreuse."
E_C19_May_Lucias_43,"Ah ah, ne t'excuse pas !"
E_C19_May_Lucias_44,"Si c'est ton souhait, je ne peux pas te forcer à partir."
E_C19_May_Lucias_45,"La lettre ne disait pas grand-chose..."
E_C19_May_Lucias_46,"Mais la personne qui l'a écrite semblait vouloir que tu prennes du repos."
E_C19_May_Lucias_47,"Le moment n'est pas des plus opportuns, ah ah."
E_C19_May_Lucias_48,"Ouah ah ah ! Bon, j'arrête de te casser les pieds. Ne force pas trop, aujourd'hui."
E_C19_May_Lucias_49,"... J'essaierai. Que la bénédiction de la déesse soit avec vous."
E_C19_May_Lucias_50,"Fichtre..."
E_C19_May_Lucias_51,"Hein ? C'est..."
E_C19_May_Lucias_52,"Je savais que tu réagirais comme ça. Passe un bon anniversaire."
E_C19_May_Lucias_53,"Ah ah ah, tu n'as pas changé..."
E_C19_May_Lavril_01,"..."
E_C19_May_Lavril_02,"Oh, quel gros gâteau ! Trop bien ! Joyeux anniversaire !"
E_C19_May_Lavril_03,"Bon anniversaire ! Tiens, ton cadeau ! Moi, j'aime beaucoup ça, mais je te l'offre pour ton anniversaire !"
E_C19_May_Lavril_04,"Merci ! Allez, on attaque ! Oh, regardez ! Ma mère a préparé mon préféré !"
E_C19_May_Lavril_05,"Attendez ! On peut pas commencer à manger le gâteau ! Il manque la chanson et les feux d'artifice !"
E_C19_May_Lavril_06,"Alors, on chante vite fait et on mange le gâteau !"
E_C19_May_Lavril_07,"Joyeux anniversaire, joyeux anniversaire !"
E_C19_May_Lavril_08,"Un anniversaire..."
E_C19_May_Lavril_09,"Hum ? Bienvenue, Lavril."
E_C19_May_Lavril_10,"Que se passe-t-il ?"
E_C19_May_Lavril_11,"Bonjour... Oh, j'ai juste une question."
E_C19_May_Lavril_12,"C'est en quel honneur, le festival dans le village ?"
E_C19_May_Lavril_13,"Un festival ?"
E_C19_May_Lavril_14,"Oui, il y a un tas de gens qui parlent... d'anniversaire."
E_C19_May_Lavril_15,"Tout le monde a l'air de s'amuser..."
E_C19_May_Lavril_16,"Il y a un gâteau géant, des cadeaux, des gens qui chantent..."
E_C19_May_Lavril_17,"Mais tu n'as pas l'air au courant, Ophelia... Ce n'est pas un festival ?"
E_C19_May_Lavril_18,"Oh, tu veux parler de la fête d'anniversaire ?"
E_C19_May_Lavril_19,"Une fête d'anniversaire..."
E_C19_May_Lavril_20,"Mais oui ! À l'occasion d'un anniversaire, les amis et la famille se réunissent pour faire la fête."
E_C19_May_Lavril_21,"On reçoit des cadeaux et on fait un vœu autour d'un gâteau avec des bougies..."
E_C19_May_Lavril_22,"Ah ! Et c'est aussi l'occasion de manger ses plats préférés."
E_C19_May_Lavril_23,"Je vois... Toi aussi, tu as un anniversaire ?"
E_C19_May_Lavril_24,"Eh oui, en été. C'est bientôt."
E_C19_May_Lavril_25,"Étant donné notre nature, nous n'avons pas d'anniversaire..."
E_C19_May_Lavril_26,"Mais nous aussi, nous voulons une fête..."
E_C19_May_Lavril_27,"Ça a l'air amusant... de faire la fête avec des amis..."
E_C19_May_Lavril_28,"Hum, mais un anniversaire n'a pas nécessairement lieu le jour de sa naissance."
E_C19_May_Lavril_29,"A-ah bon ?"
E_C19_May_Lavril_30,"Ceux qui ne connaissent pas leur date de naissance choisissent un jour de fête..."
E_C19_May_Lavril_31,"ou une journée tout aussi spéciale."
E_C19_May_Lavril_32,"Et si aujourd'hui était ton anniversaire, Lavril ?"
E_C19_May_Lavril_33,"Aujourd'hui ?"
E_C19_May_Lavril_34,"Mais oui. C'est aujourd'hui que tu as appris la tradition des anniversaires ! Qu'en penses-tu ?"
E_C19_May_Lavril_35,"D-d'accord..."
E_C19_May_Lavril_36,"Parfait, organisons une fête ! Tu veux inviter des amis ?"
E_C19_May_Lavril_37,"Des amis... Ophelia, Rephy, Shea et... On peut inviter Lucias aussi ?"
E_C19_May_Lavril_38,"Je suis sûre qu'il viendra."
E_C19_May_Lavril_39,"Il est très occupé, mais il devrait pouvoir passer."
E_C19_May_Lavril_40,"Hé hé, c'est super..."
E_C19_May_Lavril_41,"Parfait, commençons à écrire les invitations !"
E_C19_May_Lavril_42,"... D'accord !"
E_C19_May_Kara01_01,"Bonjour, Kara !"
E_C19_May_Kara01_02,"Avez-vous bien dormi, maîtresse ?"
E_C19_May_Kara01_03,"C'est comme si le soleil venait de se lever à l'ouest."
E_C19_May_Kara01_04,"C'est la première fois que vous vous levez sans mon alarme, maîtresse."
E_C19_May_Kara01_05,"Ah ah ah ! Aujourd'hui c'est ton anniversaire, Kara ! Je ne pouvais pas faire la grasse matinée !"
E_C19_May_Kara01_06,"Qu'en dis-tu ? Tu es surprise ?"
E_C19_May_Kara01_07,"Quand je suis venu prendre votre pouls hier soir, vous étiez couchée au crépuscule."
E_C19_May_Kara01_08,"Ce n'était pas très probable, mais je l'avais prédit."
E_C19_May_Kara01_09,"... Hum, c'était trop évident."
E_C19_May_Kara01_10,"Mais attends, tu prends souvent mon pouls ?"
E_C19_May_Kara01_11,"C'est pour votre sécurité, maîtresse."
E_C19_May_Kara01_12,"... Purée, tant pis pour mon intimité, ah ah."
E_C19_May_Kara01_13,"*Grrr* J'ai peut-être échoué, mais je réussirai la prochaine fois !"
E_C19_May_Kara01_14,"Allez, Kara, nous devons aller quelque part."
E_C19_May_Kara01_15,"Il est l'heure de travailler, maîtresse."
E_C19_May_Kara01_16,"Mais non, pas un jour comme celui-ci ! Et j'ai encore beaucoup de congés à prendre ! Allez !"
E_C19_May_Kara01_17,"Bien, maîtresse."
E_C19_May_Kara01_18,"C'est l'heure. Ils... arrivent !"
E_C19_May_Kara01_19,"Préparation au combat."
E_C19_May_Kara01_20,"Miaouuuu !"
E_C19_May_Kara01_21,"Miou ? Miaou !"
E_C19_May_Kara01_22,"Miaou ! Ron... rrrron..."
E_C19_May_Kara01_23,"Numéros 1, 2 et 3 ! Foncez sur Kara !"
E_C19_May_Kara01_24,"Tada ! Que penses-tu de mon armée de chats ?"
E_C19_May_Kara01_25,"Tu sens ton cœur s'emballer ? Euh, moteur ! Tu es surprise ?"
E_C19_May_Kara01_26,"Malgré votre manque d'exercice, j'ai déjà détecté une irrégularité dans vos activités."
E_C19_May_Kara01_27,"Je vous ai vue vous occuper de chats lorsque je vous ai suivie il y a cinq mois."
E_C19_May_Kara01_28,"La barre d'Amitié entre les n° 1, 2, 3 et moi est déjà à son maximum."
E_C19_May_Kara01_29,"... Tu me suivais, Kara ? C'est vrai ?"
E_C19_May_Kara01_30,"Bah ! Je veillerai à réussir le prochain événement !"
E_C19_May_Kara01_31,"Maintenant ! L'apogée de ton anniversaire !"
E_C19_May_Kara01_32,"Bien, maîtresse."
E_C19_May_Kara01_33,"Où sommes-nous, maîtresse ? Ces coordonnées ne figurent pas dans mes données."
E_C19_May_Kara01_34,"Ah ah ah ! J'ai gardé cet endroit secret jusqu'à aujourd'hui !"
E_C19_May_Kara01_35,"Attends encore un peu... Ouah ! Ça y est ! Regarde, Kara !"
E_C19_May_Kara01_36,"Je ne m'attendais pas à ça. La lune est particulièrement grosse ce soir."
E_C19_May_Kara01_37,"Mais la lune n'a pourtant pas grossi, c'est une illusion..."
E_C19_May_Kara01_38,"Ne réfléchis pas, Kara. C'est un spectacle rare."
E_C19_May_Kara01_39,"Oui, maîtresse."
E_C19_May_Kara01_40,"Comment te sens-tu ?"
E_C19_May_Kara01_41,"Les TPM du moteur augmentent. Les circuits neuraux accélèrent."
E_C19_May_Kara01_42,"Je sens une légère chatouille au bout de mes doigts et de mes orteils."
E_C19_May_Kara01_43,"Est-ce cela la surprise ?"
E_C19_May_Kara01_44,"Tu n'avais pas l'air surprise, mais tu as découvert une nouvelle émotion !"
E_C19_May_Kara01_45,"Regarde ! Mon dernier cadeau pour toi ! Bon anniversaire, Kara !"
E_C19_May_Kara01_46,"Merci, maîtresse."
E_C19_May_Kara01_47,"Mais où avez-vous trouvé l'argent pour ces feux d'artifice ?"
E_C19_May_Kara01_48,"Hein ? Mais de mon salaire de ce mois, bien sûr..."
E_C19_May_Kara01_49,"Bien, maîtresse. Le mois prochain, je réduirai vos dépenses personnelles pour compenser les feux d'artifice."
E_C19_May_Kara01_50,"Ouah, tu ne rigoles pas, Kara !"
E_C19_May_Miruru_01,"Feu !"
E_C19_May_Miruru_02,"Bon anniversaire, grande impératrice pirate Miruru !"
E_C19_May_Miruru_03,"Bon anniversaire, capitaine !"
E_C19_May_Miruru_04,"Oui, oui, merci ! Allez, qu'on s'y mette !"
E_C19_May_Miruru_05,"Hein ? Comment ça ?"
E_C19_May_Miruru_06,"Eh bien quoi ? Pour un anniversaire, vous êtes supposés tout préparer !"
E_C19_May_Miruru_07,"Mais oui, crétin ! Regarde comment on fête un anniversaire ! Tenez, capitaine !"
E_C19_May_Miruru_08,"..."
E_C19_May_Miruru_09,"Ça ne va pas !"
E_C19_May_Miruru_10,"Hein ? Un gâteau, c'est approprié, pour un anniversaire..."
E_C19_May_Miruru_11,"Mouah ah ah ! C'est toi, le crétin !"
E_C19_May_Miruru_12,"Non, le gâteau est bien."
E_C19_May_Miruru_13,"Mais pour un anniversaire, il faut offrir des cadeaux !"
E_C19_May_Miruru_14,"Bien sûr !"
E_C19_May_Miruru_15,"Apportez-les-moi de ce pas."
E_C19_May_Miruru_16,"Voilà pour vous !"
E_C19_May_Miruru_17,"... Qu'est-ce que c'est ?"
E_C19_May_Miruru_18,"Ce n'est pas un trésor ?"
E_C19_May_Miruru_19,"C'est une poudre spéciale concoctée par votre ami Lakrak, capitaine !"
E_C19_May_Miruru_20,"Et j'ai un message pour vous !"
E_C19_May_Miruru_21,"Et puis quoi encore ? Je suis occupé, moi ! Mais je lui souhaite un bon anniversaire, bien sûr !"
E_C19_May_Miruru_22,"Et je lui offre ceci pour marquer cette occasion spéciale !"
E_C19_May_Miruru_23,"Hum... Si cette poudre est spéciale, alors je l'accepte, même si ce n'est pas un trésor !"
E_C19_May_Miruru_24,"C'est bien parce que je suis une pirate honorable qui respecte ses amis !"
E_C19_May_Miruru_25,"Bien, j'imagine que je peux faire feu"
E_C19_May_Miruru_26,"pour un anniversaire digne de la grande impératrice Miruru ?"
E_C19_May_Miruru_27,"Hum..."
E_C19_May_Miruru_28,"Quoi ?"
E_C19_May_Miruru_29,"Je crois que j'ai oublié quelque chose."
E_C19_May_Miruru_30,"Quelque chose d'important..."
E_C19_May_Miruru_31,"Ah."
E_C19_May_Miruru_32,"Lakrak m'a dit..."
E_C19_May_Miruru_33,"Je n'ai pas encore testé cette poudre."
E_C19_May_Miruru_34,"Utilise-la avec précaution"
E_C19_May_Miruru_35,"et fais-moi part du résultat."
E_C19_May_Miruru_36,"..."
E_C19_May_Miruru_37,"..."
E_C19_May_Miruru_38,"Est-ce qu'on doit se mettre à l'abri ?"
E_C19_May_Miruru_39,"Ça me paraît judicieux."
E_C19_May_Lakrak_1,"Hum..."
E_C19_May_Lakrak_1_1,"J'espère que la mèche est assez longue."
E_C19_May_Lakrak_2,"La recette n'a pas été simple à récupérer, mais j'y suis arrivé."
E_C19_May_Lakrak_3,"Il ne manque plus que le principal intéressé..."
E_C19_May_Lakrak_4,"C'est toi qui m'as fait venir à cette heure-là ?"
E_C19_May_Lakrak_5,"Je suis debout depuis trois jours, à étudier les armes !"
E_C19_May_Lakrak_6,"Je suis fatigué, donc j'espère tu m'as fait venir pour une bonne raison !"
E_C19_May_Lakrak_7,"Ah, toujours la même rengaine..."
E_C19_May_Lakrak_8,"Dis, Lakrak. Tu as oublié quel jour on est ?"
E_C19_May_Lakrak_9,"Aujourd'hui ? Eh bien c'est le troisième jour de suite sans dormir."
E_C19_May_Lakrak_10,"Et puis tu es qui, toi ? Réponds-moi !"
E_C19_May_Lakrak_11,"Tu es toujours doué pour me couper dans mon élan."
E_C19_May_Lakrak_12,"Regarde, tu te rappelles mon visage ?"
E_C19_May_Lakrak_13,"Cette arme, que tu as toujours avec toi. Tu devrais..."
E_C19_May_Lakrak_14,"Tu as oublié qui t'a aidé à la peaufiner ?"
E_C19_May_Lakrak_15,"Quand je repense à toutes ces fois où tu m'as donné l'ordre de te rapporter cette fichue poudre spéciale..."
E_C19_May_Lakrak_16,"La poudre spéciale... Oui, je me souviens ! Ça fait une paye, Roi !"
E_C19_May_Lakrak_17,"Et dire que c'est un ami..."
E_C19_May_Lakrak_18,"Tu as vraiment oublié quel jour nous sommes ?"
E_C19_May_Lakrak_19,"Tu pourrais au moins te souvenir de ton anniversaire."
E_C19_May_Lakrak_20,"Arf ! C'est mon anniversaire ?"
E_C19_May_Lakrak_21,"Ce n'est pas important, ça !"
E_C19_May_Lakrak_22,"Je dois absolument fabriquer une arme plus puissante !"
E_C19_May_Lakrak_23,"Ben voyons."
E_C19_May_Lakrak_24,"Quoi qu'il en soit, je t'ai préparé une surprise."
E_C19_May_Lakrak_25,"Oh, quel beau boum !"
E_C19_May_Lakrak_26,"Pas étonnant que Cleo utilise toujours la meilleure qualité."
E_C19_May_Lakrak_27,"C-c'est quoi, ça ?"
E_C19_May_Lakrak_28,"Des feux d'artifice, bien sûr. Pour ton anniversaire, j'en ai préparé des costauds."
E_C19_May_Lakrak_29,"Qu'en penses-tu ? Tu les trouves jolis ?"
E_C19_May_Lakrak_30,"C-c'est... C'est..."
E_C19_May_Lakrak_31,"Ah ah, tu fonds déjà en larmes ? Attends un peu de voir mon cadeau..."
E_C19_May_Lakrak_32,"Mais qu'est-ce que tu fabriques, idiot ?"
E_C19_May_Lakrak_33,"Comment oses-tu utiliser cette précieuse poudre pour une chose aussi futile ?"
E_C19_May_Lakrak_34,"Et tu te dis humain ?"
E_C19_May_Lakrak_35,"C-comment ?"
E_C19_May_Lakrak_36,"La poudre à canon est ce qu'il y a de plus noble !"
E_C19_May_Lakrak_37,"C'est un blasphème ! Je te renie !"
E_C19_May_Lakrak_38,"..."
E_C19_May_Lakrak_39,"Tu... le penses vraiment ?"
E_C19_May_Lakrak_40,"Futile ? Sais-tu ce que j'ai dû faire pour te préparer tout ça ?"
E_C19_May_Lakrak_41,"Je m'en fiche ! Tu as gâché de la poudre à canon !"
E_C19_May_Lakrak_42,"Je ne te le pardonnerai jamais ! Cette poudre est précieuse !"
E_C19_May_Lakrak_43,"Oh... Vraiment ?"
E_C19_May_Lakrak_44,"C'est dommage, je t'avais préparé un cadeau extraordinaire..."
E_C19_May_Lakrak_45,"C'était quoi, déjà ?"
E_C19_May_Lakrak_46,"Une nouvelle poudre à canon super ultra spéciale ?"
E_C19_May_Lakrak_47,"La meilleure de l'empire. Ça n'a pas été simple d'en trouver sur le marché noir..."
E_C19_May_Lakrak_48,"Mais bon, tant pis. Elle ne servira pas."
E_C19_May_Lakrak_49,"Alors... comment je vais m'en débarrasser ?"
E_C19_May_Lakrak_50,"Je devrais pouvoir la vendre à bon prix. Je n'aurais plus de soucis d'argent pendant quelque temps."
E_C19_May_Lakrak_51,"Ou alors, je pourrais la remballer et l'offrir à Cleo pour son anniversaire..."
E_C19_May_Lakrak_52,"Ah ah, je la vois déjà sourire !"
E_C19_May_Lakrak_53,"Attends une minute ! Il faut qu'on parle !"
E_C19_May_Lakrak_54,"Hum ? Tu veux parler à un blasphémateur comme moi ?"
E_C19_May_Lakrak_55,"I-iiiik !"
E_C19_May_Lakrak_56,"Si tu n'as rien à dire, écarte-toi. Il faut que je trouve quoi faire de cette..."
E_C19_May_Lakrak_57,"I-i-i..."
E_C19_May_Lakrak_58,"Excuse-moi ! Je suis allé trop loin !"
E_C19_May_Lakrak_59,"J'accepte ton cadeau ! Cette poudre à canon super ultra spéciale ! Je la veux !"
E_C19_May_Lakrak_60,"*Pfff* Tu es une vraie plaie, parfois."
E_C19_May_Lakrak_61,"Ouah ! Ouaaah ! Ouaaaaaah !"
E_C19_May_Lakrak_62,"Hé, Lakrak, je sais que tu es content, calme-toi."
E_C19_May_Lakrak_63,"Comment veux-tu ? Cette poudre est plus que divine !"
E_C19_May_Lakrak_64,"Je veux l'étudier le plus vite possible ! Je vais transformer mon arme en destructeur ultime !"
E_C19_May_Lakrak_65,"*Pfff* Imbécile."
E_C19_May_Lakrak_66,"Bon, je m'en vais. Ménage-toi."
E_C19_May_Lakrak_67,"D'accord ! À plus !"
E_C19_May_Lakrak_68,"Ouah ! Roi est le seul qui se soucie de moi ! C'est le meilleur !"
E_C19_May_Lakrak_69,"Arf... J'ai oublié son visage. C'est impossible ! Il faut que je me souvienne !"
E_C19_May_Lakrak_70,"..."
E_C19_May_Lakrak_71,"Impossible de me souvenir."
E_C19_May_Lakrak_72,"Tant pis. Je vais ouvrir ce cadeau."
E_C19_May_Glenwys01_01,"... Hum..."
E_C19_May_Glenwys01_02,"Ah ah."
E_C19_May_Glenwys01_03,"... Mais que fait un garde impérial dans un endroit pareil ?"
E_C19_May_Glenwys01_04,"Je suis venu pour te voir, bien sûr."
E_C19_May_Glenwys01_05,"Je vous croyais très occupé, messire Fluss."
E_C19_May_Glenwys01_06,"Vous ne devriez pas perdre votre temps avec un chevalier ordinaire tel que moi..."
E_C19_May_Glenwys01_07,"Ah ah, mais ce chevalier ordinaire m'a pourtant l'air noble et talentueux."
E_C19_May_Glenwys01_08,"Je ne pouvais pas rester insensible à ces qualités."
E_C19_May_Glenwys01_09,"Sans oublier les trois tournois que tu as remportés à la suite."
E_C19_May_Glenwys01_10,"Vous étiez mon dernier adversaire."
E_C19_May_Glenwys01_11,"Si nous avions combattu jusqu'au bout, j'aurais perdu, c'est certain."
E_C19_May_Glenwys01_12,"Ce qui veut dire que ces trois victoires consécutives..."
E_C19_May_Glenwys01_13,"Ah ah, mais qu'est-ce que tu racontes ?"
E_C19_May_Glenwys01_14,"Et cet homme aux épées jumelles que tu as brillamment vaincu ?"
E_C19_May_Glenwys01_15,"J'avais vraiment envie de l'affronter, mais je n'ai jamais su d'où il venait."
E_C19_May_Glenwys01_16,"..."
E_C19_May_Glenwys01_17,"Bref, je suis venu te présenter une nouvelle amie, aujourd'hui."
E_C19_May_Glenwys01_18,"Enchantée, je suis Chrisha, la commandante des chevaliers magiques de Velchia."
E_C19_May_Glenwys01_19,"Je suis mandatée par l'empire."
E_C19_May_Glenwys01_20,"Ah. Commandante Chrisha ?"
E_C19_May_Glenwys01_21,"Pourquoi êtes-vous..."
E_C19_May_Glenwys01_22,"(Hum, je me demande pourquoi messire Fluss est si intéressé..."
E_C19_May_Glenwys01_23,"Mais bon, si c'est elle, le fameux bouclier de l'empire...)"
E_C19_May_Glenwys01_24,"... ?"
E_C19_May_Glenwys01_25,"Ah, pardonnez-moi."
E_C19_May_Glenwys01_26,"La raison de ma venue est simple."
E_C19_May_Glenwys01_27,"Bon anniversaire, Glenwys."
E_C19_May_Glenwys01_28,"Voici un cadeau de la part de messire Fluss et moi-même."
E_C19_May_Glenwys01_29,"... Ah ! M-merci."
E_C19_May_Glenwys01_30,"Mais comment avez-vous su qu'aujourd'hui est mon anniversaire ?"
E_C19_May_Glenwys01_31,"Mais grâce à notre correspondance... Ahem ! Je n'ai rien dit."
E_C19_May_Glenwys01_32,"C'est le commandant des Chevaliers gardiens de la capitale qui me l'a dit."
E_C19_May_Glenwys01_33,"J'ai également appris que tu avais passé ton dernier anniversaire toute seule."
E_C19_May_Glenwys01_34,"Ah..."
E_C19_May_Glenwys01_35,"... Merci pour votre attention."
E_C19_May_Glenwys01_36,"Mais... c'est un peu... trop."
E_C19_May_Glenwys01_37,"Vous n'avez pas à m'accorder tant d'importance..."
E_C19_May_Glenwys01_38,"Ah ah, disons que nous aimons investir dans nos talents prometteurs."
E_C19_May_Glenwys01_39,"Si c'est un tel fardeau, pourquoi nous inviter à déjeuner ?"
E_C19_May_Glenwys01_40,"Je commence à avoir faim."
E_C19_May_Glenwys01_41,"Oui, c'est une bonne idée."
E_C19_May_Glenwys01_42,"Mais il y a des plats que je ne connais pas. Je m'en remets à vous pour choisir à ma place."
E_C19_May_Glenwys01_43,"... Ah ah ah ah."
E_C19_May_Glenwys01_44,"Oui ?"
E_C19_May_Glenwys01_45,"N-non, rien, je suis juste heureuse d'être importante pour vous."
E_C19_May_Glenwys01_46,"C'est de la nourriture ordinaire, mais j'espère qu'elle vous plaira."
E_C19_May_Glenwys01_47,"..."
E_C19_May_Lorraine01_01,"Grand Sage de la forêt, célébrons aujourd'hui une importante naissance !"
E_C19_May_Lorraine01_02,"Paix et bénédiction à la druide elfe Lorraine !"
E_C19_May_Lorraine01_03,"Chaque année, je suis honorée de recevoir un accueil si chaleureux."
E_C19_May_Lorraine01_04,"C'est normal, Lorraine, vous êtes un Grand Sage elfe vénérable."
E_C19_May_Lorraine01_05,"Sans vous, je n'ose imaginer ce que serait devenue la forêt Elidora."
E_C19_May_Lorraine01_06,"Ah ah, pas la peine de me flatter. Je suis gênée."
E_C19_May_Lorraine01_07,"Oh, j'arrive trop tard ?"
E_C19_May_Lorraine01_08,"Ça alors, vous êtes..."
E_C19_May_Lorraine01_09,"Ah ah ah, veuillez m'excuser."
E_C19_May_Lorraine01_10,"Dire que j'ai failli être en retard pour l'anniversaire du Grand Sage druide."
E_C19_May_Lorraine01_11,"Ne vous excusez pas, je suis heureuse de vous compter parmi nous, grand chef orc."
E_C19_May_Lorraine01_12,"Et par ma faute, la guerrière harpie et moi avons perdu notre chemin... Pardon, Naila."
E_C19_May_Lorraine01_13,"Ne soyez pas désolé, je vous ai accompagné parce que nous nous dirigions dans la même direction."
E_C19_May_Lorraine01_14,"Grand Sage des elfes, au nom des harpies, moi Naila vous souhaite un bon anniversaire."
E_C19_May_Lorraine01_15,"Merci, Naila."
E_C19_May_Lorraine01_16,"Punaise, nous serons plus nombreux que d'habitude, à cette fête d'anniversaire."
E_C19_May_Lorraine01_17,"Ahhhhhh !"
E_C19_May_Lorraine01_18,"!?"
E_C19_May_Lorraine01_19,"Aïe !"
E_C19_May_Lorraine01_20,"Comment ? Oddy ! Que faites-vous ici ?"
E_C19_May_Lorraine01_21,"Oh, j'ai la tête qui tourne... Ah, Lorraine ?"
E_C19_May_Lorraine01_22,"Ouf, j'ai réussi !"
E_C19_May_Lorraine01_23,"Nyx m'a promis que j'arriverais à temps !"
E_C19_May_Lorraine01_24,"Mais il s'est trompé, j'ai dû faire tout le chemin depuis Lanterneville !"
E_C19_May_Lorraine01_25,"Pourtant, j'ai réussi à prendre le cadeau de la tribu Tamian sur la route... Non, attendez, oubliez ceci !"
E_C19_May_Lorraine01_26,"Hum, hum ! Joyeux anniversaire, Lorraine !"
E_C19_May_Lorraine01_27,"Tenez ! Voici mon cadeau et celui de la tribu Tamian !"
E_C19_May_Lorraine01_28,"J'ai pensé que c'était un intrus, j'ai failli le neutraliser... Je ne savais pas que c'était un ami du sage."
E_C19_May_Lorraine01_29,"Ah ah ah, vous ne baissez jamais votre garde, même un jour de fête. Ce doit être votre côté guerrière harpie."
E_C19_May_Lorraine01_30,"Bien. Tous les invités sont là ?"
E_C19_May_Lorraine01_31,"Hum... Oui, je crois."
E_C19_May_Lorraine01_32,"C'est très inhabituel de voir la forêt ainsi bondée..."
E_C19_May_Lorraine01_33,"Mais c'est pour la bonne cause, ah ah ah."
E_C19_May_Lorraine01_34,"Bien. Lorraine, place au clou du spectacle."
E_C19_May_Lorraine01_35,"Joyeux anniversaire, Grand Sage !"
E_C19_May_Lorraine01_36,"À vous tous..."
E_C19_May_Lorraine01_37,"Merci. Je garderai avec moi vos souvenirs pour l'éternité."
E_C19_May_Lorraine01_38,"(Puisse cette paix durer éternellement...)"
