KEY,Spanish
NPC_KINGOFSPIRIT_NAME,Rey de los Espiritus
NPC_UNCONFIRMED_NAME,?????
NPC_UNCONFIRMED_GROUP_NAME,??? & ???
NPC_ELROSED_NAME,El Rosed
NPC_EPIGAEL_NAME,Epigael
FAIRY_RHILL,Rhill
NPC_KAREN_NAME,Karen
NPC_LUA_NAME,Lua
NPC_CROWD_NAME,Masas
NPC_HALLHERO_NAME,Hillia
NPC_HARPY,Arpía
NPC_ORC,Orco
NPC_DARKELF,Elfo Obscuro
NPC_DARKNESS,Voz de la Obscuridad
NPC_GNOLL,Gnoll
NPC_AGAMEMNON,Agamemnon
NPC_DRYAD,Dríada
NPC_MASK_NAME,Máscara de Risa
NPC_IRIS,Iris
NPC_LEI,Lei
NPC_SOLDIER,Soldado
NPC_SOLDIER1,Soldado 1
NPC_SOLDIER2,Soldado 2
NPC_SOLDIER3,Soldado 3
NPC_SOLDIER4,Soldado 4
NPC_SOLDIER5,Soldado 5
NPC_SKELETONGIANT,Esqueleto gigante
NPC_SKELETON,Esqueleto
NPC_INFIRA,Infira
NPC_DRACONIA,Draconics
NPC_TEMERER_QUESTION,Temeraire (?)
NPC_UNDEADORC,Orco no muerto
NPC_GOAT,Cabra (?)
NPC_MIRURUPIRATES,Piratas de Miruru
NPC_DarkElf_SOLDIER,Soldado elfo oscuro
NPC_DarkElf_SOLDIER1,Soldado elfo oscuro 1
NPC_DarkElf_SOLDIER2,Soldado elfo oscuro 2
NPC_DarkElf_FRIEND,Elfo oscuro compañero
NPC_DarkElf_FRIEND1,Elfo oscuro compañero 1
NPC_DarkElf_FRIEND2,Elfo oscuro compañero 2
NPC_DarkElf_FRIEND3,Elfo oscuro compañero 3
NPC_DarkElf_FRIEND4,Elfo oscuro compañero 4
NPC_DarkElf_FRIEND5,Elfo oscuro compañero 5
NPC_DarkElf_FRIEND6,Elfo oscuro compañero 6
NPC_DarkElf_FRIEND7,Elfo oscuro compañero 7
NPC_DARKFORCES_SOLDIER,Fuerza oscura
NPC_SIEL,Siel
NPC_DEVIL,Criatura demoníaca
NPC_ANCIENTMONSTER_HELTANIOS,Heltanios
NPC_GATEKEEPER1,Vigilante 1
NPC_GATEKEEPER2,Vigilante 2
NPC_CHORUS,Coro
NPC_LIZARDMAN,Hombre lagarto
NPC_LIZARDMAN_GOLD,Portero dorado
NPC_VILLAGEHEAD,Jefe
NPC_DARKSOUL,Alma oscura
NPC_GUARD,Guardia
NPC_WOMAN_1,Mujer1
NPC_WOMAN_2,Mujer2
NPC_WOMAN_3,Mujer3
NPC_WOMAN_4,Mujer4
NPC_WOMAN_5,Mujer5
NPC_MAN_1,Hombre1
NPC_MAN_2,Hombre2
NPC_MAN_3,Hombre3
NPC_MAN_4,Hombre4
NPC_MAN_5,Hombre5
NPC_UNDEAD,No muerto
NPC_UNDEADS,Ejército de no muertos
NPC_HUMANEZE,Ezekiel (humano)
NPC_DEMONEZE,Ezekiel (demonio)
NPC_ALTERVISKA,Viska (?)
NPC_VI,Vi
NPC_COLDNIGHTKING,Rey de la noche sin corazón
NPC_SAVAGENIGHTKING,Rey de la noche salvaje
NPC_CAT1,Gato travieso
NPC_CAT2,Gato asustadizo
NPC_SONGWITCH,Bruja cantora
NPC_FIREWITCH,Bruja de fuego
NPC_DARKPRIEST,Esperanza caída
NPC_DARKQUEEN,Resplandor caído
NPC_CRAZEDKNIGHT,Caballero oscuro de la furia
NPC_SILENTKNIGHT,Caballero oscuro del silencio
NPC_VALANCE,Valance
NPC_REINHART,Reinhart
NPC_ROA,Loah
NPC_ROZE,Rose
NPC_ESOLDIER,Soldado imperial
NPC_ESOLDIER1,Soldado imperial1
NPC_ESOLDIER2,Soldado imperial2
NPC_QVOICE,Voz misteriosa
NPC_YMVOICE,Voz de muchacho
NPC_YWOFFICER,Joven oficial femenina
NPC_MSGIRL,Muchacha misteriosa
NPC_MSOUND,Sonido de maquinaria
NPC_OLDGENTLEMAN,Caballero mayor
NPC_PANCIRONNE,Pansirone
NPC_LUCIKIEL,Lucikiel
NPC_ELMORY,El Moriham
NPC_TURAN,Turan
NPC_HANUS,Hanus
NPC_KUMURO,Kumuro
NPC_HAVELOCK,Havelock
NPC_Villager,Gente del pueblo
NPC_CATSOLDIER1,Gato N.º 1
NPC_CATSOLDIER2,Gato N.º 2
NPC_CATSOLDIER3,Gato N.º 3
NPC_EVERYONE,Todo el mundo
NPC_ORPHANS,Niños del orfanato
NPC_TOWNCHILDREN,Niños del pueblo
NPC_TOWNPEOPLE,Gente del pueblo
NPC_CHILD1,Niño del pueblo 1
NPC_CHILD2,Niño del pueblo 2
NPC_CHILD3,Niño del pueblo 3
NPC_SCHTE,Schute
NPC_MC,Emcee
NPC_ALIAS1,Bella vikinga
NPC_AUDIENCE,Público
NPC_ALIAS2,Novia de la primavera
NPC_ALIAS3,Pirata de cabello dorado
NPC_ALIAS4,Amante de la menta gatuna
NPC_Golem,Gólem
NPC_EmpireOfficer,Oficial del imperio
NPC_Hoabis,Hoabis
NPC_Kain,Cain
NPC_Kurtel,Kurtel
NPC_CHILDREN,Niños
NPC_BOY,Joven
NPC_NOBLE1,Noble 1
NPC_NOBLE2,Noble 2
NPC_TARGARIOS,Targarios
NPC_SCHWANHEITE,Schwanheite
NPC_HEXIPOLIA,Hexipolia
NPC_VELLEKIA,Vellekia
NPC_ELLICIAD,Elliciad
NPC_CARTA,Carta
NPC_EUCALETUS,Eucaletus
NPC_NPC_RACIFIL,Lasiphil
NPC_SUSPICIOUS_BOOK,Libro Misterioso
NPC_NOTDIEPEOPLE,Muertos Vivientes
NPC_BERMAN,Berman
NPC_CLERK,Empleado
NPC_DUNNNEMICIA,Dunn Nemecia
NPC_TWISTEDDARK,Oscuridad Retorcida
NPC_TRIBESMEN1,Persona de Tribu 1
NPC_TRIBESMEN2,Persona de Tribu 2
NPC_SHAKMEH,Shakmeh
NPC_JIN,Jin
NPC_Blacksmith,"Jin, Herrero"
NPC_MERCENARY1,Mercenario 1
NPC_MERCENARY2,Mercenario 2
NPC_SERVANT1,Sirviente 1
NPC_SERVANT2,Sirviente 2
CHAPTER1_BOSS1_NAME,Marrik
CHAPTER1_BOSS1_TITLE,Frenético
CHAPTER1_BOSS1_DESC,Un goblin saqueador profesional tan poderoso como los caballeros humanos.
CHAPTER1_BOSS2_NAME,Tarokki
CHAPTER1_BOSS2_TITLE,Demonio loco
CHAPTER1_BOSS2_DESC,"Un goblin astuto, que es hábil para hacer pólvora."
CHAPTER1_BOSS3_NAME,Bodakka
CHAPTER1_BOSS3_TITLE,Jinete de Jabali
CHAPTER1_BOSS3_DESC,Un cruel y feroz goblin guerrero que dirige una horda de goblins para cooperar con las Fuerzas Obscuras.
CHAPTER2_BOSS1_NAME,Lafairy
CHAPTER2_BOSS1_TITLE,Lanza de la Confianza
CHAPTER2_BOSS1_DESC,El honorable líder de las Dríadas.
CHAPTER2_BOSS2_NAME,Himmullis
CHAPTER2_BOSS2_TITLE,Alas de Libertad
CHAPTER2_BOSS2_DESC,Una arpía maestro del viento que atrae a los enemigos masculinos a su nido y los mata absorviendo su espíritu.
CHAPTER2_BOSS3_NAME,Balalaica
CHAPTER2_BOSS3_TITLE,Abismo del Zénith
CHAPTER2_BOSS3_DESC,Aquellos que sucumben a su seducción olvidan su miedo a la muerte y mueren felices.
CHAPTER3_BOSS1_NAME,Trono
CHAPTER3_BOSS1_TITLE,Capitan de Asalto
CHAPTER3_BOSS1_DESC,"Un guerrero cruel, feroz y elite que sirve como el espadachín orco, el brazo derecho de Sieg."
CHAPTER3_BOSS2_NAME,Dain
CHAPTER3_BOSS2_TITLE,El Rencoroso
CHAPTER3_BOSS2_DESC,Un poderoso chamán de la Tribu de la Tierra Roja que solía ser Cacique de la tribu.
CHAPTER3_BOSS3_NAME,Sieg
CHAPTER3_BOSS3_TITLE,Portador de Gram
CHAPTER3_BOSS3_DESC,"Una vez conocido como un descendiente del Cazador de Dragones, es el guerrero orco más poderoso."
CHAPTER4_BOSS1_NAME,Ursula
CHAPTER4_BOSS1_TITLE,Espada Grande Mortal
CHAPTER4_BOSS1_DESC,Un esqueleto de élite que atravesó la Puerta Dimensional con Malduk. Él lidera la infantería de esqueleto.
CHAPTER4_BOSS2_NAME,Kellsticks
CHAPTER4_BOSS2_TITLE,Vigilante
CHAPTER4_BOSS2_DESC,Un esqueleto gigante que atravesó la Puerta Dimensional con Malduk. Guarda sobre el bosque de Krad desde un terreno más alto.
CHAPTER4_BOSS3_TITLE,Ladron de Almas
CHAPTER4_BOSS3_DESC,Un fiel servidor del Señor Obscuro que siguió al rey a través de la Puerta Dimensional. Él gobierna como el Padre de los muertos vivientes
CHAPTER5_BOSS0_TITLE,Hongo Hibrido
CHAPTER5_BOSS0_DESC,Este Hongo es una raza mixta
CHAPTER5_BOSS1_NAME,RoboGnoll
CHAPTER5_BOSS1_TITLE,Gnoll Buscador
CHAPTER5_BOSS1_DESC,Un anciano chamán gnoll. Utiliza hechizos prohibidos que absorben la vida de otras criaturas. Es más poderoso que otros hechizos o hechizos regulares.
CHAPTER5_BOSS2_NAME,Bascos
CHAPTER5_BOSS2_TITLE,Jefe Scout
CHAPTER5_BOSS2_DESC,Capitán de los Elfos Arqueros Obscuros. Utiliza flechas mágicas para perseguir múltiples objetivos simultáneamente.
CHAPTER5_BOSS3_NAME,El Rosed
CHAPTER5_BOSS3_TITLE,Reina de las Pesadillas
CHAPTER5_BOSS3_DESC,Solía ​​manipular a los Elfos Obscuros entre bastidores. Posee un pacto con el diablo y utiliza poderosa magia obscura y magia de la luna.
CHAPTER6_BOSS0_NAME,Tamak
CHAPTER6_BOSS1_NAME,Aguianat
CHAPTER6_BOSS1_TITLE,Hombre Lagarto Lanzador de Arena
CHAPTER6_BOSS2_NAME,Balutan
CHAPTER6_BOSS2_TITLE,Antiguo Clerigo Real
CHAPTER6_BOSS3_TITLE,Luz Más Allá del Horizonte
CHAPTER7_BOSS0_NAME,Radeline
CHAPTER7_BOSS0_TITLE,Cancion del Frio
CHAPTER7_BOSS1_NAME,Karad
CHAPTER7_BOSS1_TITLE,Viento de Escarcha
CHAPTER7_BOSS2_NAME,Rubelion
CHAPTER7_BOSS2_TITLE,Resentimiento Persistente
CHAPTER7_BOSS3_NAME,Tarcas
CHAPTER7_BOSS3_TITLE,Rey de Escarcha
CHAPTER7_BOSS4_TITLE,Fortaleza de Hielo
CHAPTER8_BOSS0_NAME,Igue
CHAPTER8_BOSS0_TITLE,Espada matadragones
CHAPTER8_BOSS1_NAME,Ragorlis
CHAPTER8_BOSS1_TITLE,Fusión de lava
CHAPTER8_BOSS2_NAME,Nicia
CHAPTER8_BOSS2_TITLE,Llama quemadragones
CHAPTER8_BOSS3_NAME,Infira
CHAPTER8_BOSS3_TITLE,Perseguidor de la sangre de dragón
CHAPTER8_BOSS4_NAME,Nyogtha
CHAPTER8_BOSS4_TITLE,Bestia del averno
CHAPTER9_BOSS4_NAME,Kibeord
CHAPTER9_BOSS4_TITLE,Guardián de la torre
GOBLIN_SHIELD_SUPERELITE_TITLE_1,Acero
GOBLIN_SHIELD_SUPERELITE_NAME_1,Crocky
GOBLIN_SHIELD_SUPERELITE_DESC_1,Un goblin completamente cubierto de armadura. Destruye enemigos usando el peso de su armadura.
HARPY_ARCHER_SUPERELITE_TITLE_1,Flecha de Cuchilla
HARPY_ARCHER_SUPERELITE_NAME_1,Perella
HARPY_ARCHER_SUPERELITE_DESC_1,Dispara flechas como cuchillas de plumas para atacar a los enemigos en línea recta.
ORC_SHAMAN_SUPERELITE_TITLE_1,Maldición Roja
ORC_SHAMAN_SUPERELITE_NAME_1,Tash
ORC_SHAMAN_SUPERELITE_DESC_1,El clerigo principal caído de la tribu Orco que utiliza poderosas maldiciones mágicas. Arroja esqueletos gigantescos para lanzar maldiciones.
SKELETON_GIANT_SUPERELITE_TITLE_1,Verdugo
SKELETON_GIANT_SUPERELITE_NAME_1,Zaikel
SKELETON_GIANT_SUPERELITE_DESC_1,Un esqueleto inusualmente poderoso entre los esqueletos gigantes. \nUtiliza su gigantesco cuerpo para sacudir el suelo y pisotear a los enemigos.
GOBLIN_SHIELD_SUPERELITE_TITLE_2,Señor Acorazado
GOBLIN_SHIELD_SUPERELITE_NAME_2,Drakka
ORC_SHAMAN_SUPERELITE_TITLE_2,Furia de Sangre
ORC_SHAMAN_SUPERELITE_NAME_2,Garuk
GOLEM_SUPERELITE_TITLE_1,Protector de la Visión
GOLEM_SUPERELITE_NAME_1,Parus
GOLEM_SUPERELITE_DESC_1,Un golem creado usando la magia arcana antigua. Usa ambos brazos para pisotear el suelo y causar misteriosas explosiones.
SPIDER_SUPERELITE_TITLE_1,Araña Madre Venenosa
SPIDER_SUPERELITE_NAME_1,Eraune
SPIDER_SUPERELITE_DESC_1,Una araña madre venenosa. Lucha lanzando veneno en todas las direcciones.
GIANTWORM_SUPERELITE_TITLE_1,La Furia de la Tierra
GIANTWORM_SUPERELITE_NAME_1,Durad
GIANTWORM_SUPERELITE_DESC_1,Un gusano gigante con cabeza de dragón. Reune a los gusanos gigantes cercanos.
SKELETON_WARRIOR_SUPERELITE_TITLE_1,Espada Grande Oxidada
SKELETON_WARRIOR_SUPERELITE_NAME_1,Calliope
SKELETON_WARRIOR_SUPERELITE_DESC_1,"Aunque empuña una espada grande oxidada, sigue siendo un esqueleto amenazador.\nAtaca a los enemigos con poderosas habilidades de espada."
SKELETON_GIANT_SUPERELITE_TITLE_2,Maza Mortal
SKELETON_GIANT_SUPERELITE_NAME_2,Helthar
DRYAD_SPEAR_SUPERELITE_TITLE_1,Lanza de la Tierra
DRYAD_SPEAR_SUPERELITE_NAME_1,Raffriu
DRYAD_SPEAR_SUPERELITE_DESC_1,"La Dríada, los llamados Jueces de la Tierra. Arroja lanzas para detonar la energía de la tierra."
WASP_SUPERELITE_TITLE_1,Depredador
WASP_SUPERELITE_NAME_1,Spisha
WASP_SUPERELITE_DESC_1,Captura enemigos con su poderosa guadaña y cola venenosa.
WOLF_SUPERELITE_TITLE_1,Rugido Escarchado
WOLF_SUPERELITE_NAME_1,Kiril
WOLF_SUPERELITE_DESC_1,El líder de la manada de lobos con un cuerpo gigante y blanco. Controla a los lobos con su rugido helado.
HORNEDBEAR_SUPERELITE_TITLE_1,Garra de Acero
HORNEDBEAR_SUPERELITE_NAME_1,Ráfaga
HORNEDBEAR_SUPERELITE_DESC_1,El líder brutal de los osos con cuernos. Aplasta a los enemigos con garras y cuernos de hierro.
BOSS_WARTROLL_TITLE_1,Martillo Mortífero
BOSS_WARTROLL_NAME_1,Argo
BOSS_GOATWARRIOR_TITLE_1,Frenético
BOSS_GOATWARRIOR_NAME_1,Favios
BOSS_MADASSASSIN_TITLE_1,de la Inundación
BOSS_MADASSASSIN_NAME_1,Orléans
BOSS_SCORPION_TITLE_1,Tirano del desierto
BOSS_SCORPION_NAME_1,Tarsil
RAID_DRAGON_FIRE_TITLE_1,Infierno Cataclísmico
RAID_DRAGON_FIRE_NAME_1,Temerario
RAID_DRAGON_BLACK_TITLE_1,Lanza Turbulenta de Obsidian
RAID_DRAGON_BLACK_NAME_1,Armarta
RAID_DRAGON_BLUE_TITLE_1,Tirano de Tierras Congeladas
RAID_DRAGON_BLUE_NAME_1,Escalaxia
RAID_DRAGON_GREEN_TITLE_1,Calamidad de las Tierras Muertas
RAID_DRAGON_GREEN_NAME_1,Zyrrkinoth
CHAPTER9_CONQUEST_TITLE,Depredador de Rotmarsh
CHAPTER9_CONQUEST_NAME,Ka'shal
CONVERSATION_TU_7,"Ugh, maldición ..."
CONVERSATION_TU_8,"¿Estás bien, Kyle?"
CONVERSATION_TU_9,"Si estoy bien. Pero estoy preocupado por todos los que quedaron atrás, maldita sea."
CONVERSATION_TU_10,Está bien. No caeran tan fácilmente. Son fuertes.
CONVERSATION_TU_11,"Si tu lo dices, Tarcas ,."
CONVERSATION_TU_12,"Phew ... Esto no es fácil, ni siquiera para mí."
CONVERSATION_TU_12B,"Mientras yo sabía lo fuertes que son los Demonios,"
CONVERSATION_TU_13,pero no pensé que fueran tan persistentes. No me gusta cuando actúan todos pegados ...
CONVERSATION_TU_14,"No es una vergüenza?, traidor"
CONVERSATION_TU_15,!
CONVERSATION_TU_16,Malduk ... Por supuesto.
CONVERSATION_TU_17,"Hmph, el hecho de que me enamorara de tu plan estúpido es una vergüenza."
CONVERSATION_TU_18,No estaría en condiciones de ser llamado Estratega Demoníaco si no pudiera detenerte aquí y ahora.
CONVERSATION_TU_19,"Has luchado bien para llegar aquí, pero todo esto termina ahora!"
CONVERSATION_TU_20,"Ugh! Gusanos ...! Espera y verás, esto no ha terminado todavía!"
CONVERSATION_TU_21,"¡Pierdete, Malduk! Caray, un perdedor muy dolorido."
CONVERSATION_TU_22,"Ja, ja, eso es lo más lejos que iras ..."
CONVERSATION_TU_22B,"Adelante, espíritus malignos!"
CONVERSATION_TU_23,"¡Vienen de nuevo a nosotros, Kyle!"
CONVERSATION_TU_24,Estamos superados en número. No podemos con todos ellos
CONVERSATION_TU_25,Ugh. También he alcanzado mi límite.
CONVERSATION_TU_26,"Debemos retroceder, Kyle."
CONVERSATION_TU_26B,¡Nunca mas y ...!
CONVERSATION_TU_27,¡No podemos permitirnos hacer eso! Una oportunidad como esta no vendrá otra vez.
CONVERSATION_TU_27B,¡Déjame ir! ¡Yo mismo me ocuparé del Señor Obscuro!
CONVERSATION_TU_28,Kyle!
CONVERSATION_TU_29,"Bueno, si eso es lo que mi amor quiere, supongo que debo echar una mano."
CONVERSATION_TU_30,Escuché tu petición. Eres mi único amigo.
CONVERSATION_TU_31,"Tarcas, Epis! ¡No, Kyle! ¡No podemos enviarte solo!"
CONVERSATION_TU_32,"María, soy el unico que puede hacer este trabajo. ¿Lo sabes,verdad?"
CONVERSATION_TU_33,"¡No, morirás si vas!"
CONVERSATION_TU_33B,¿Cómo esperas derrotar al Señor Obscuro en esta condición?
CONVERSATION_TU_34,Yo no me llamaría el mejor espadachín de la humanidad si no fuera por lo menos capaz de eso.
CONVERSATION_TU_35,"Por favor, ¿podemos irnos? ¡Ellos estan viniendo!"
CONVERSATION_TU_36,"Ok, voy a atravesar! ¡Apóyenme, todo el mundo!"
CONVERSATION_TU_37,"Kyle! ¡No, por favor, Kyle!"
CONVERSATION_TU_61,¿Quiénes son ustedes? ¿Cómo te atreves a poner los pies aquí sin permiso?
CONVERSATION_TU_62,¿Quién eres tú?
CONVERSATION_TU_63,"Soy Gadra, un poderoso Gnomo guerrero"
CONVERSATION_TU_64,¿Qué está haciendo aquí un gnomo guerrero ?
CONVERSATION_TU_65,Humph. No es asunto tuyo.
CONVERSATION_TU_66,¿Qué estás haciendo aquí?
CONVERSATION_TU_67,Este es la arena
CONVERSATION_TU_68,"A diferencia de la Arena, este es un lugar peligroso."
CONVERSATION_TU_69,Je je. Pero las recompensas son mayores.
CONVERSATION_TU_70,"Si te sientes a la altura, dale una oportunidad."
CONVERSATION_TU_71,¡Detente! ¡Identifícate!
CONVERSATION_TU_72,"Mi nombre es Kasel, un escudero en servicio de Orvelia."
CONVERSATION_TU_73,He sido convocado aquí.
CONVERSATION_TU_74,"Ahh, tú eres Kasel."
CONVERSATION_TU_75,Te hemos estado esperando.
CONVERSATION_TU_76,Descubrimos una bóveda oculta bajo las cámaras reales.
CONVERSATION_TU_77,"Mucha riqueza ha sido descubierta, pero los monstruos siguen apareciendo."
CONVERSATION_TU_78,Te pedimos que elimines a los monstruos por la seguridad de Orvelia.
CONVERSATION_TU_79,"Estoy a su servicio, señor."
CONVERSATION_TU_87,"¡Hola, caballero joven y guapo!"
CONVERSATION_TU_88,"Creo que alguien te está llamando, Kasel."
CONVERSATION_TU_89,Sí claro...
CONVERSATION_TU_90,Hola. Mi nombre es May y trabajo en la Tienda.
CONVERSATION_TU_91,Estamos repartiendo regalos para celebrar la inauguración de nuestra tienda.
CONVERSATION_TU_92,"Si vienes a visitarnos, señor, ¡tendremos algo aún más especial para ti!"
CONVERSATION_TU_93,gr-gracias ...
CONVERSATION_TU_94,"¡Eh, vamos a echar un vistazo a la tienda, caballero joven y guapo!"
CONVERSATION_TU_95,"Frey, ya estoy bastante avergonzado, así que por favor no ..."
CONVERSATION_TU_96,¡Bienvenidos a la Tienda General de May!
CONVERSATION_TU_97,¡Tenemos armas y armaduras para un caballero joven y guapo!
CONVERSATION_TU_98,¡Presiona el botón Tienda para ir a la tienda!
CONVERSATION_TU_99,¡También puedes utilizar Rubies para actualizar la lista de Articulos!
CONVERSATION_TU_100,Pero si echas un vistazo y te marchas sin comprar nada ...
CONVERSATION_TU_101,May estara muy decepcionada!
CONVERSATION_TU_102,"Heh. Parece que no tienes opción, Sr. Joven, Hermoso Caballero."
CONVERSATION_TU_103,"Por favor, detente, Cleo ..."
CONVERSATION_TU_104,"Hace un siglo, un mago solitario abrió la Puerta del Demonio \ny permitió que los Demonios invadieran todo el continente."
CONVERSATION_TU_105,"Cuando la tierra se incendió, los héroes lucharon contra los demonios."
CONVERSATION_TU_106,Los héroes pasaron por encima a los Demonios\n y llegaron a la fortaleza del Señor Obscuro.
CONVERSATION_TU_107,"Kyle mató al Señor Obscuro con la Espada Sagrada de Aea, \ny luego desapareció dejando sólo la sagrada espada detrás."
CONVERSATION_TU_108,"Los demonios sin líder dispersos por todo el continente,"
CONVERSATION_TU_108A,Y los héroes sellaron la sagrada espada en el Árbol del Mundo.
CONVERSATION_TU_109,"Cien años más tarde, la paz ha sido restaurada en el continente, y las heridas de la vieja guerra se han olvidado por mucho tiempo."
CONVERSATION_TU_110,"Sin embargo, un día, la actividad demoníaca se percibió cerca del Árbol Mundial."
CONVERSATION_TU_111,"Orvel, el reino de los humanos, envió un grupo de expedición\npara investigar la situación del Demonio."
CONVERSATION_TU_114,"Kasel, el borde de tu espada parece muy desgastado."
CONVERSATION_TU_115,Sí. La he estado utilizando desde que estaba en la guardia de la ciudad
CONVERSATION_TU_116,¿No tienes una segunda espada? ¿Por qué no la usas?
CONVERSATION_TU_117,Uh ... ¿Cómo hago eso?
CONVERSATION_TU_118,"Primero, presiona el botón Héroes y selecciona un héroe para ir a la ventana de información del héroe."
CONVERSATION_TU_119,"Presiona el elemento que deseas equipar y, a continuación, presiona el botón Equipar."
CONVERSATION_TU_120,"No es difícil, intentalo!"
CONVERSATION_TU_121,"Um, la espada no está mal, pero algo está incorrecto."
CONVERSATION_TU_122,Entonces debes mejorar el artículo.
CONVERSATION_TU_123,¿Mejorar?
CONVERSATION_TU_124,Todos los articulos se pueden mejorar sin importar su tipo.
CONVERSATION_TU_125,"Una vez que un elemento se ha mejorado, sus capacidades se fortalecen."
CONVERSATION_TU_126,Mejorar un articulo es similar a equipar articulos. Presiona el botón Mejorar en lugar de Equipar
CONVERSATION_TU_127,"Vamos a empezar, Kasel!"
CONVERSATION_TU_128,Hmm ... Mis habilidades no parecen causar mucho daño a los enemigos.
CONVERSATION_TU_129,¿Qué te parece adquirir un nuevo atributo de habilidad?
CONVERSATION_TU_130,¿Atributo de habilidad?
CONVERSATION_TU_131,"¿Has terminado el entrenamiento de caballería, Kasel?"
CONVERSATION_TU_132,Jajaja. ¡Por supuesto lo hice!
CONVERSATION_TU_133,"Oh bien, no hay caso. Tienes algun libro de habilidades?"
CONVERSATION_TU_134,"Hay un atributo que puedes recoger con los libros de habilidades que ya posees, Kasel. ¡Vamos a intentarlo!"
CONVERSATION_TU_135,¿Cómo puedo hacer eso?
CONVERSATION_TU_136,"En primer lugar, \nabre la ventana Heroe y selecciona el héroe cuyas habilidades deseas mejorar."
