KEY,Vietnamese
NPC_DarkElf_FRIEND5,Chiến hữu tiên bóng tối 5
NPC_DarkElf_FRIEND6,Chiến hữu tiên bóng tối 6
NPC_DarkElf_FRIEND7,Chiến hữu tiên bóng tối 7
NPC_DARKFORCES_SOLDIER,Lực lượng hắc ám
NPC_SIEL,Siel
NPC_DEVIL,Sinh vật ma quỷ
NPC_ANCIENTMONSTER_HELTANIOS,Heltanios
NPC_GATEKEEPER1,Người giữ cổng 1
NPC_GATEKEEPER2,Người giữ cổng 2
NPC_CHORUS,Đoàn hợp xướng
NPC_LIZARDMAN,Thằn lằn
NPC_LIZARDMAN_GOLD,Người vận chuyển vàng
NPC_VILLAGEHEAD,Trưởng thôn
NPC_DARKSOUL,Linh hồn bóng tối
NPC_GUARD,Liính canh
NPC_WOMAN_1,Nữ 1
NPC_WOMAN_2,Nữ 2
NPC_WOMAN_3,Nữ 3
NPC_WOMAN_4,Nữ 4
NPC_WOMAN_5,Nữ 5
NPC_MAN_1,Nam 1
NPC_MAN_2,Nam 2
NPC_MAN_3,Nam 3
NPC_MAN_4,Nam 4
NPC_MAN_5,Nam 5
NPC_UNDEAD,Thây ma
NPC_UNDEADS,Lính thây ma
NPC_HUMANEZE,Ezekiel (Con người)
NPC_DEMONEZE,Ezekiel (Ác quỷ)
NPC_ALTERVISKA,Viska (?)
NPC_VI,Vi
NPC_COLDNIGHTKING,Vua bóng đêm tàn nhẫn
NPC_SAVAGENIGHTKING,Vua bóng đêm độc ác
NPC_CAT1,Mèo tinh quái
NPC_CAT2,Mèo nhút nhát
NPC_SONGWITCH,Phù thủy hát
NPC_FIREWITCH,Phù thủy lửa
NPC_DARKPRIEST,Đức tin sụp đổ
NPC_DARKQUEEN,Sự rực rỡ sụp đổ
NPC_CRAZEDKNIGHT,Hiệp sĩ bóng đêm cuồng loạn
NPC_SILENTKNIGHT,Hiệp sĩ bóng đêm im lặng
NPC_VALANCE,Valance
NPC_REINHART,Reinhart
NPC_ROA,Loah
NPC_ROZE,Rose
NPC_ESOLDIER,Binh sĩ hoàng gia
NPC_ESOLDIER1,Binh sĩ hoàng gia 1
NPC_ESOLDIER2,Binh sĩ hoàng gia 2
NPC_ESOLDIER3,Binh sĩ hoàng gia 3
NPC_ESOLDIER4,Binh sĩ hoàng gia 4
NPC_QVOICE,Giọng nói bí ẩn
NPC_YMVOICE,Giọng nói của chàng trai trẻ
NPC_YWOFFICER,Nữ sĩ quan trẻ
NPC_MSGIRL,Cô gái bí ẩn
NPC_MSOUND,Âm thanh máy móc
NPC_OLDGENTLEMAN,Quý ông già nua
NPC_PANCIRONNE,Pansirone
NPC_LUCIKIEL,Lucikiel
NPC_ELMORY,El Moriham
NPC_TURAN,Turan
NPC_HANUS,Hanus
NPC_KUMURO,Kumuro
NPC_HAVELOCK,Havelock
NPC_Villager,Dân thị trấn
NPC_CATSOLDIER1,Mèo số 1
NPC_CATSOLDIER2,Mèo số 2
NPC_CATSOLDIER3,Mèo số 3
NPC_EVERYONE,Mọi người
NPC_ORPHANS,Lũ trẻ ở cô nhi viện
NPC_TOWNCHILDREN,Bọn trẻ trong làng
NPC_TOWNPEOPLE,Dân thị trấn
NPC_CHILD1,Đứa trẻ trong làng 1
NPC_CHILD2,Đứa trẻ trong làng 2
NPC_CHILD3,Đứa trẻ trong làng 3
NPC_SCHTE,Schute
NPC_MC,Emcee
NPC_ALIAS1,Người đẹp Viking
NPC_AUDIENCE,Khán giả
NPC_ALIAS2,Cô dâu mùa xuân
NPC_ALIAS3,Hải tặc tóc vàng hoe
NPC_ALIAS4,Người mê cỏ mèo
NPC_Golem,Quái vật đá
NPC_EmpireOfficer,Sĩ quan đế chế
NPC_Hoabis,Hoabis
NPC_Kain,Cain
NPC_Kurtel,Kurtel
NPC_CHILDREN,Những đứa trẻ
NPC_BOY,Cậu bé
NPC_NOBLE1,Quý tộc 1
NPC_NOBLE2,Quý tộc 2
NPC_TARGARIOS,Targarios
NPC_SCHWANHEITE,Schwanheite
NPC_HEXIPOLIA,Hexipolia
NPC_VELLEKIA,Vellekia
NPC_ELLICIAD,Elliciad
NPC_CARTA,Carta
NPC_EUCALETUS,Eucaletus
NPC_NPC_RACIFIL,Lasiphil
NPC_SUSPICIOUS_BOOK,Sách mờ ám
NPC_NOTDIEPEOPLE,Xác sống
NPC_BERMAN,Berman
NPC_CLERK,Nhân viên bán hàng
NPC_DUNNNEMICIA,Dunn Nemecia
NPC_TWISTEDDARK,Bóng tối xiêu vẹo
NPC_TRIBESMEN1,Người dân bộ tộc 1
NPC_TRIBESMEN2,Người dân bộ tộc 2
NPC_SHAKMEH,Shakmeh
NPC_JIN,Jin
NPC_Blacksmith,Thợ rèn Jin
NPC_MERCENARY1,Lính đánh thuê 1
NPC_MERCENARY2,Lính đánh thuê 2
NPC_SERVANT1,Phụ tá 1
NPC_SERVANT2,Phụ tá 2
NPC_SOLDIER6,Binh sĩ 6
NPC_SOLDIER_GROUP,Các binh sĩ
NPC_SUBORDINATE,Cấp dưới trực thuộc
NPC_GUARDIAN,Hộ vệ thường
NPC_MYSTERY_GUARDIAN,Hộ vệ đáng ngờ
NPC_MYSTERY_GUARDIAN_GROUP,Những hộ vệ đáng ngờ
NPC_KIBERA,Kibera
NPC_SNOW_DRYAD1,Nhân mã núi tuyết 1
NPC_SNOW_DRYAD2,Nhân mã núi tuyết 2
NPC_SNOW_DRYAD_DUO,Đôi nhân mã núi tuyết
NPC_IDRIAN,Idrian
NPC_DWARFGROUP,Nhóm người lùn
NPC_COURIERMAN,Nhân viên bưu cục
CHAPTER1_BOSS1_NAME,Marrik
CHAPTER1_BOSS1_TITLE,Frenzied
CHAPTER1_BOSS1_DESC,Một tên cướp yêu tinh chuyên nghiệp mạnh ngang với những hiệp sĩ .
CHAPTER1_BOSS2_NAME,Tarokki
CHAPTER1_BOSS2_TITLE,Quỷ điên
CHAPTER1_BOSS2_DESC,"Một con yêu tinh ranh mãnh, khôn ngoan và chế tạo thuốc súng khéo léo."
CHAPTER1_BOSS3_NAME,Bodakka
CHAPTER1_BOSS3_TITLE,Yêu tinh cưỡi lợn tốc độ
CHAPTER1_BOSS3_DESC,"Một con yêu tinh độc ác, hung dữ là chiến binh dẫn đầu một đám yêu tinh hợp tác với các lực lượng đen tối."
CHAPTER2_BOSS1_NAME,Lafairy
CHAPTER2_BOSS1_TITLE,Ngọn Giáo Công Lý
CHAPTER2_BOSS1_DESC,Nhà lãnh đạo đáng kính của nhóm nhân mã
CHAPTER2_BOSS2_NAME,Himmullis
CHAPTER2_BOSS2_TITLE,Goá phụ Đen
CHAPTER2_BOSS2_DESC,Một thần cánh chim lăng loàn quyến rũ kẻ địch nam đến tổ của mình và tiêu diệt chúng bằng cách hấp thụ linh hồn của họ.
CHAPTER2_BOSS3_NAME,Balalaika
CHAPTER2_BOSS3_TITLE,Vực thẳm của Thiên đình
CHAPTER2_BOSS3_DESC,Những kẻ không chống chọi lại với sự quyến rũ của cô ấy sẽ quên đi nỗi sợ hãi của cái chết và chết một cách hạnh phúc.
CHAPTER3_BOSS1_NAME,Ngai vàng
CHAPTER3_BOSS1_TITLE,Thủ lĩnh đột kích
CHAPTER3_BOSS1_DESC,"Một thuỷ quái độc ác, hung dữ, tinh nhuệ kẻ phục vụ thuỷ quái dưới tư cách kiếm sĩ , cánh tay phải của Sieg."
CHAPTER3_BOSS2_NAME,Dain
CHAPTER3_BOSS2_TITLE,Sự hận thù
CHAPTER3_BOSS2_DESC,"Một thầy phù thủy mạnh mẽ của Bộ lạc Đất Đỏ, người từng là Tù trưởng của bộ lạc."
CHAPTER3_BOSS3_NAME,Sieg
CHAPTER3_BOSS3_TITLE,Chủ nhân vùng Gram
CHAPTER3_BOSS3_DESC,"Từng được biết đến như là một hậu duệ của Kẻ Diệt Rồng, đây là chiến binh thuỷ quái mạnh mẽ nhất."
CHAPTER4_BOSS1_NAME,Ursula
CHAPTER4_BOSS1_TITLE,Đại đao chết chóc
CHAPTER4_BOSS1_DESC,Một ma xương tinh anh đã đi qua Cổng Không Gian với Malduk. Hắn chỉ huy quân đoàn ma xương.
CHAPTER4_BOSS2_NAME,Kellsticks
CHAPTER4_BOSS2_TITLE,Người canh gác
CHAPTER4_BOSS2_DESC,Một ma xương khổng lồ đi qua Cổng Không Gian với Malduk. Hắn canh gác Rừng Krad vùng đất cao hơn.
CHAPTER4_BOSS3_TITLE,Kẻ đánh cắp linh hồn
CHAPTER4_BOSS3_DESC,Một người đầy tớ trung thành của Chúa tể Hắc ám theo sau nhà vua qua Cổng Không Gian. Ông là Thủ lĩnh cai trị những Xác sống.
CHAPTER5_BOSS0_TITLE,Nấm lai
CHAPTER5_BOSS0_DESC,Loài nấm này là giống hỗn hợp.
CHAPTER5_BOSS1_NAME,RoboGnoll
CHAPTER5_BOSS1_TITLE,Kẻ truy tìm Gnoll
CHAPTER5_BOSS1_DESC,Một thầy phù thủy Gnoll. Nó sử dụng phép thuật cấm để hấp thụ sự sống của các sinh vật khác. Nó mạnh hơn những phép thuật cấm hay những phép thuật thông thường.
CHAPTER5_BOSS2_NAME,Bascos
CHAPTER5_BOSS2_TITLE,Thủ lĩnh trinh sát
CHAPTER5_BOSS2_DESC,Đội trưởng của Cung yêu hắc ám. Sử dụng những mũi tên ma thuật để theo đuổi nhiều mục tiêu cùng một lúc.
CHAPTER5_BOSS3_NAME,Tiên Hoa Hồng
CHAPTER5_BOSS3_TITLE,Nữ Hoàng Ác Mộng
CHAPTER5_BOSS3_DESC,Bà ta đứng sau điều khiển thế lựcTiên Hắc ám. Bà ta giao dịch với quỷ dữ và sử dụng ma thuật hắc ám mạnh mẽ và phép thuật ánh trăng.
CHAPTER6_BOSS0_NAME,Tamak
CHAPTER6_BOSS1_NAME,Aguianat
CHAPTER6_BOSS1_TITLE,Thằn lằn Sandcaster
CHAPTER6_BOSS2_NAME,Balutan
CHAPTER6_BOSS2_TITLE,Linh mục hoàng gia cổ đại
CHAPTER6_BOSS3_TITLE,Ánh sáng đường Chân trời
CHAPTER7_BOSS0_NAME,Radeline
CHAPTER7_BOSS0_TITLE,Bài ca lạnh giá
CHAPTER7_BOSS1_NAME,Karad
CHAPTER7_BOSS1_TITLE,Gió sương
CHAPTER7_BOSS2_NAME,Rubelion
CHAPTER7_BOSS2_TITLE,Nỗi oán hận tận xương tủy
CHAPTER7_BOSS3_NAME,Tarkas
CHAPTER7_BOSS3_TITLE,Vua sương giá
CHAPTER7_BOSS4_TITLE,Pháo đài băng đá
CHAPTER8_BOSS0_NAME,Igue
CHAPTER8_BOSS0_TITLE,Thanh kiếm diệt rồng
CHAPTER8_BOSS1_NAME,Ragorlis
CHAPTER8_BOSS1_TITLE,Dung nham tan chảy
CHAPTER8_BOSS2_NAME,Nicia
CHAPTER8_BOSS2_TITLE,Lửa thiêu rồng
CHAPTER8_BOSS3_NAME,Infira
CHAPTER8_BOSS3_TITLE,Kẻ khao khát máu rồng
CHAPTER8_BOSS4_NAME,Nyogtha
CHAPTER8_BOSS4_TITLE,Quái thú địa ngục
CHAPTER9_BOSS4_NAME,Kibeord
CHAPTER9_BOSS4_TITLE,Hộ vệ tháp
GOBLIN_SHIELD_SUPERELITE_TITLE_1,Thép
GOBLIN_SHIELD_SUPERELITE_NAME_1,Kiệt sức
GOBLIN_SHIELD_SUPERELITE_DESC_1,Một yêu tinh hoàn toàn bao phủ trong áo giáp. Đập kẻ địch bằng cách sử dụng trọng lượng của áo giáp của nó
HARPY_ARCHER_SUPERELITE_TITLE_1,Phiến tên
HARPY_ARCHER_SUPERELITE_NAME_1,Perella
HARPY_ARCHER_SUPERELITE_DESC_1,Bắn mũi tên mỏng như phiến lá được bằng lông vũ để tấn công kẻ địch theo một đường thẳng.
ORC_SHAMAN_SUPERELITE_TITLE_1,Lời nguyền Đỏ
ORC_SHAMAN_SUPERELITE_NAME_1,Tash
ORC_SHAMAN_SUPERELITE_DESC_1,Linh mục trưởng của bộ tộc Thuỷ quái kẻ sử dụng lời nguyền ma thuật mạnh mẽ. Thả ma xương khổng lồ để ếm bùa.
SKELETON_GIANT_SUPERELITE_TITLE_1,Đao phủ
SKELETON_GIANT_SUPERELITE_NAME_1,Zaikel
SKELETON_GIANT_SUPERELITE_DESC_1,Một ma xương lớn và mạnh bất thường so với những ma xương khhổng lồ. Nó sử dụng cơ thể to lớn của nó để làm rung mặt đất và dậm kẻ địch.
GOBLIN_SHIELD_SUPERELITE_TITLE_2,Chúa Sắt
GOBLIN_SHIELD_SUPERELITE_NAME_2,Drakka
ORC_SHAMAN_SUPERELITE_TITLE_2,Cơn thịnh nộ Hồng
ORC_SHAMAN_SUPERELITE_NAME_2,Garuk
GOLEM_SUPERELITE_TITLE_1,Vệ binh viễn tưởng
GOLEM_SUPERELITE_NAME_1,Parus
GOLEM_SUPERELITE_DESC_1,Một thạch nhân được tạo ra sử dụng phép thuật bí ẩn cổ xưa. Sử dụng cả hai tay để dậm xuống đất và gây ra vụ nổ bí ẩn.
SPIDER_SUPERELITE_TITLE_1,Nhện Chúa Độc
SPIDER_SUPERELITE_NAME_1,Eraune
SPIDER_SUPERELITE_DESC_1,Một chúa nhện độc. Chiến đấu bằng cách phun chất độctheo  tất cả các hướng.
GIANTWORM_SUPERELITE_TITLE_1,Cơn thịnh nộ của Đất
GIANTWORM_SUPERELITE_NAME_1,Durad
GIANTWORM_SUPERELITE_DESC_1,Một con trùng đầu rồng khổng lồ. Được gọi đến cùng với những con trùng khổng lồ gần đó.
SKELETON_WARRIOR_SUPERELITE_TITLE_1,Thanh gươm han gỉ
SKELETON_WARRIOR_SUPERELITE_NAME_1,Calliope
SKELETON_WARRIOR_SUPERELITE_DESC_1,"Mặc dù nó dùng một thanh đại đao gỉ, nhưng nó vẫn còn là một ma xương nguy hiểm. Đẩy kẻ địch với kỹ năng dùng kiếm mạnh mẽ."
SKELETON_GIANT_SUPERELITE_TITLE_2,Chuỳ Huỷ Diệt
SKELETON_GIANT_SUPERELITE_NAME_2,Helthar
DRYAD_SPEAR_SUPERELITE_TITLE_1,Ngọn giáo Trái Đất
DRYAD_SPEAR_SUPERELITE_NAME_1,Raffriu
DRYAD_SPEAR_SUPERELITE_DESC_1,"Các nhân mã, được gọi là Thẩm phán của Trái Đất. Ném những ngọn giáo để thổi lên năng lượng của trái đất."
WASP_SUPERELITE_TITLE_1,Thú ăn thịt
WASP_SUPERELITE_NAME_1,Spisha
WASP_SUPERELITE_DESC_1,Chụp kẻ địch như con mồi của nó bằng lưỡi hái mạnh mẽ và đuôi độc. 
WOLF_SUPERELITE_TITLE_1,Tiếng gầm băng giá
WOLF_SUPERELITE_NAME_1,Kiril
WOLF_SUPERELITE_DESC_1,Thủ lĩnh của đàn sói với một vóc dáng khổng lồ và cơ thể màu trắng. Điều khiển những con sói với tiếng gầm băng giá.
HORNEDBEAR_SUPERELITE_TITLE_1,Vuốt Thép 
HORNEDBEAR_SUPERELITE_NAME_1,Gust
HORNEDBEAR_SUPERELITE_DESC_1,Thủ lĩnh tàn bạo của gấu sừng. Nghiền nát kẻ địch với móng vuốt và sừng như sắt thép..
BOSS_WARTROLL_TITLE_1,Búa Huỷ Diệt
BOSS_WARTROLL_NAME_1,Argo
BOSS_GOATWARRIOR_TITLE_1,Điên cuồng
BOSS_GOATWARRIOR_NAME_1,Favios
BOSS_MADASSASSIN_TITLE_1,Kẻ cuồng loạn
BOSS_MADASSASSIN_NAME_1,Orléans
BOSS_SCORPION_TITLE_1,Bạo quân sa mạc
BOSS_SCORPION_NAME_1,Tarsil
RAID_DRAGON_FIRE_TITLE_1,Địa ngục Tàn ác
RAID_DRAGON_FIRE_NAME_1,Temeraire
RAID_DRAGON_BLACK_TITLE_1,Thương đen vũ bão
RAID_DRAGON_BLACK_NAME_1,Armarta
RAID_DRAGON_BLUE_TITLE_1,Băng giá Vĩnh hằng Tàn bạo
RAID_DRAGON_BLUE_NAME_1,Scalaxia
RAID_DRAGON_GREEN_TITLE_1,Tai ương của thánh địa chết
RAID_DRAGON_GREEN_NAME_1,Zyrrkinoth
CHAPTER9_CONQUEST_TITLE,Dã thú Rotmarsh
CHAPTER9_CONQUEST_NAME,Ka'shal
CONVERSATION_TU_7,"Argh, argh!"
CONVERSATION_TU_8,"Bạn có ổn không, Kyle?"
CONVERSATION_TU_9,"Vâng, tôi ổn. Nhưng tôi lo lắng về những người chúng ta đã bỏ lại. Mẹ kiếp."
CONVERSATION_TU_10,Không sao đâu. Họ sẽ không bị hạ quá dễ dàng. Họ mạnh mà.
CONVERSATION_TU_11,"Nếu bạn nói như vậy, Tarkas, thì đó phải là sự thật."
CONVERSATION_TU_12,"Hoo, ha. Điều này là khá khó khăn, ngay cả đối với tôi."
CONVERSATION_TU_12B,Tôi biết ma quỷ bám rất dai mà
CONVERSATION_TU_13,nhưng tôi không nghĩ rằng chúng bám theo lâu được. Tôi không thích những loài dai dẳng.
CONVERSATION_TU_14,"Xin lỗi, Epis."
CONVERSATION_TU_15,!
CONVERSATION_TU_16,Malduk. Ngươi đây rồi.
CONVERSATION_TU_17,Không phải sao? Ta thật xấu hổ khi vướng vào kế hoạch ngu xuẩn này.
CONVERSATION_TU_18,Ta sẽ mất danh hiệu của tôi là con quỷ khôn ngoan nhất nếu ta không thể ngăn bọn ngươi ở đây.
CONVERSATION_TU_19,"Bọn ngươi đã chiến đấu anh dũng để đến được đây, nhưng tất cả phải kết thúc bây giờ!"
CONVERSATION_TU_20,Ugh! Những tên này ...! Hãy đợi và xem! Đây chưa phải là kết thúc đâu!
CONVERSATION_TU_21,"Đi đi, Malduk! Tôi ghét gã đó!"
CONVERSATION_TU_22,"Ha ha, đi xa nhất có thể đi ..."
CONVERSATION_TU_22B,Đi đi linh hồn ma quỷ!
CONVERSATION_TU_23,"Chúng lại đến một lần nữa, Kyle!"
CONVERSATION_TU_24,Chúng ta đang bị áp đảo. Chúng ta không thể đánh lại chúng.
CONVERSATION_TU_25,Ugh. Tôi cũng đã chạm giới hạn rồi.
CONVERSATION_TU_26,Chúng ta nên tập trung lại Kyle.
CONVERSATION_TU_26B,Điều này sẽ khiến bạn bị nguy hiểm!
CONVERSATION_TU_27,Chúng ta không đủ khả năng để làm điều đó! Một cơ hội tốt như thế này sẽ không quay lại.
CONVERSATION_TU_27B,Hãy để tôi đi! Tôi sẽ đối phó với Chúa tể Hắc ám!
CONVERSATION_TU_28,Kyle!
CONVERSATION_TU_29,"Phải, nếu đó là điều tình yêu của tôi muốn, tôi nghĩ tôi nên giúp anh ta."
CONVERSATION_TU_30,Tôi đã nghe yêu cầu của bạn. Bạn là người bạn duy nhất của tôi.
CONVERSATION_TU_31,"Tarkas, Epis! Không, Kyle! Chúng tôi không thể để bạn một mình!"
CONVERSATION_TU_32,"Maria, tôi là người duy nhất có thể làm việc này. Bạn biết mà, phải không?"
CONVERSATION_TU_33,"Không, bạn sẽ chết nếu bạn đi!"
CONVERSATION_TU_33B,Làm sao bạn có thể hy vọng đánh bại Chúa tể Hắc ám trong tình trạng này!
CONVERSATION_TU_34,Tôi sẽ không gọi mình là kiếm sĩ tốt nhất.
CONVERSATION_TU_35,Thật tuyệt. Bây giờ chúng ta làm ơn có thể đưa ra quyết định được không? Chúng đang đến!
CONVERSATION_TU_36,"Ok, chúng ta hãy vượt qua! Giúp tôi với, tất cả mọi người!"
CONVERSATION_TU_37,"Kyle! Không, làm ơn, Kyle !!"
CONVERSATION_TU_61,Ai đến đó? Làm thế nào mà bạn dám đặt chân vào đây khi không có sự cho phép ...
CONVERSATION_TU_62,Bạn là ai?
CONVERSATION_TU_63,"Tôi Gadra, một chiến binh Troll hùng mạnh."
CONVERSATION_TU_64,Một chiến binhTroll làm gì ở đây?
CONVERSATION_TU_65,Hừm. Không phải việc của bạn.
CONVERSATION_TU_66,Cậu đang làm gì ở đây?
CONVERSATION_TU_67,Đây là địa ngục.
CONVERSATION_TU_68,"Không giống như Đấu trường, đây là một nơi nguy hiểm."
CONVERSATION_TU_69,Heh heh. Nhưng phần thưởng lớn hơn.
CONVERSATION_TU_70,"Nếu bạn săn tìm phần thưởng, tại sao bạn không thử đi?"
CONVERSATION_TU_71,Dừng lại! Xưng danh đi!
CONVERSATION_TU_72,"Tên tôi là Kasel, và tôi là một cận vệ."
CONVERSATION_TU_73,Tôi đã được triệu tập đến đây.
CONVERSATION_TU_74,"Ahh, bạn là Kasel."
CONVERSATION_TU_75,Chúng tôi đã chờ đợi bạn.
CONVERSATION_TU_76,Chúng tôi đã phát hiện ra một cái hầm mộ ẩn dưới các căn phòng hoàng gia.
CONVERSATION_TU_77,"Phần lớn của cải đã được phát hiện, nhưng quái vật canh giữ xuất hiện."
CONVERSATION_TU_78,Chúng tôi xin bạn loại bỏ những con quái vật vì sự an toàn của Orvelia.
CONVERSATION_TU_79,"Tôi đã sẵn sàng phục vụ, thưa ông."
CONVERSATION_TU_87,"Xin chào hiệp sĩ trẻ, đẹp trai!"
CONVERSATION_TU_88,"Tôi nghĩ rằng có ai đó đang gọi bạn, Kasel."
CONVERSATION_TU_89,"Ừ, đúng ..."
CONVERSATION_TU_90,Xin chào. Tên tôi là May và tôi làm việc tại cửa hàng.
CONVERSATION_TU_91,Chúng tôi đang có quà tặng cho lễ khai trương cửa hàng.
CONVERSATION_TU_92,"Nếu bạn đến thăm chúng tôi, chúng tôi sẽ có một cái gì đó đặc biệt hơn cho bạn!"
