KEY,Russian
HERO_VOICE_JOIN_LEWSIA5,Присоединиться к группе (5 звезд)
HERO_VOICE_VICTORY_LEWSIA5,Победа в битве (5 звезд)
HERO_VOICE_AWAKE_LEWSIA5,Видеозаставка пробуждения (5 звезд)
HERO_VOICE_TRANS_LEWSIA5,Видеозаставка превосходства (5 звезд)
HERO_VOICE_INNREACTION_LEWSIA5,Взаимодействие в таверне (5 звезд)
HERO_VOICE_ATTACK_1_LEWISIA3,Базовая атака (3 – 4 звезды)
HERO_VOICE_SKILL_1_LEWSIA3,Использование навыка 1 (3 – 4 звезды)
HERO_VOICE_SKILL_2_LEWSIA3,Использование навыка 2 (3 – 4 звезды)
HERO_VOICE_SKILL_3_LEWSIA3,Использование навыка 3 (3 – 4 звезды)
HERO_VOICE_SKILL_4_LEWSIA3,Использование навыка 4 (3 – 4 звезды)
HERO_VOICE_HIT_LEWSIA3,Урон (3 – 4 звезды)
HERO_VOICE_LOSE_LEWSIA3,Смерть (3 – 4 звезды)
HERO_VOICE_JOIN_LEWSIA3,Присоединиться к группе (3 – 4 звезды)
HERO_VOICE_VICTORY_LEWSIA3,Победа в битве (3 – 4 звезды)
HERO_VOICE_AWAKE_LEWSIA3,Видеозаставка пробуждения (3 – 4 звезды)
HERO_VOICE_TRANS_LEWSIA3,Видеозаставка превосходства (3 – 4 звезды)
HERO_VOICE_INNREACTION_LEWSIA3,Взаимодействие в таверне (3 – 4 звезды)
HERO_VOICE_SKILL_1_EZEKIEL,Разрушительный Инстинкт (состояние исступления)
HERO_VOICE_SKILL_2_EZEKIEL,Отчаяние Рассвета (состояние исступления)
HERO_VOICE_SKILL_3_EZEKIEL,Удар Рока (состояние исступления)
HERO_VOICE_SKILL_4_EZEKIEL,Проклятая Кровь (состояние исступления)
HERO_VOICE_WELCOME_1,Радушное приветствие 1
HERO_VOICE_WELCOME_2,Радушное приветствие 2
HERO_VOICE_WELCOME_3,Радушное приветствие 3
HERO_VOICE_TOUCH_1,Взаимодействие 1
HERO_VOICE_TOUCH_2,Взаимодействие 2
HERO_VOICE_TOUCH_3,Взаимодействие 3
HERO_VOICE_TOUCH_4,Взаимодействие 4
HERO_VOICE_TOUCH_5,Взаимодействие 5
HERO_VOICE_TOUCH_6,Взаимодействие 6
HERO_VOICE_BUY_1,Благодарность 1
HERO_VOICE_BUY_2,Благодарность 2
ARCHIVE_3D_SHOW,Трехмерное изображение
ARCHIVE_UNIQUE_WEAPON_INTRODUCE,О спецоружии
ARCHIVE_UNIQUE_WEAPON_NOTHOLDING,Это специальное оружие еще не получено.
ARCHIVE_TREASURE_INTRODUCE,О спец. сокровище
ARCHIVE_TREASURE_NOTHOLDING,Это специальное сокровище еще не получено.
ARCHIVE_ARTIFACT_INTRODUCE,О реликвии
ARCHIVE_ARTIFACT_NOTHOLDING,Эта реликвия еще не получена.
ARCHIVE_ITEM_INTRODUCE,О предмете
ARCHIVE_ITEM_NOTHOLDING,Этот предмет еще не получен.
ARCHIVE_ITEM_NO_STORY,Работа над сюжетом уже ведется.
ARCHIVE_KILL_RATE,Процент убийств
ARCHIVE_RAID,Рейд на Дракона
ARCHIVE_CHALLENGERAID,Рейд Вызова
ARCHIVE_GUILDRAID,Рейд гильдии
ARCHIVE_WORLDBOSS,Мировой босс
ARCHIVE_GODKING,Испытания короля-бога
ARCHIVE_ECLIPSE,Затмение
ARCHIVE_CHAPTER_BOSS,Босс главы
ARCHIVE_CONQUEST,Карательная битва
ARCHIVE_NORMAL_MONSTER,Обычные монстры
ARCHIVE_MONSTER_INTRODUCE,Введение
ARCHIVE_STAT,Общее
ARCHIVE_SKILL,Навыки
ARCHIVE_EASY_NORMAL,ур. Easy & Normal
ARCHIVE_RAID_SINGLE,соло Рейд
BIRTH_MONTH_1,Месяц защиты
BIRTH_MONTH_2,Месяц мудрости
BIRTH_MONTH_3,Месяц проницательности
BIRTH_MONTH_4,Месяц жизни
BIRTH_MONTH_5,Месяц надежды
BIRTH_MONTH_6,Месяц любви
BIRTH_MONTH_7,Месяц гармонии
BIRTH_MONTH_8,Месяц энергии
BIRTH_MONTH_9,Месяц истины
BIRTH_MONTH_10,Месяц дружбы
BIRTH_MONTH_11,Месяц удачи
BIRTH_MONTH_12,Месяц выдержки
ARCHIVE_CONSTELL_1,Страж Мертис
ARCHIVE_CONSTELL_2,Мудрец Сатуа
ARCHIVE_CONSTELL_3,Пророк Ласифил
ARCHIVE_CONSTELL_4,Святой Армил
ARCHIVE_CONSTELL_5,Вор Грэм
ARCHIVE_CONSTELL_6,Менестрель Мира
ARCHIVE_CONSTELL_7,Мастер Нотмун
ARCHIVE_CONSTELL_8,Завоеватель Кандала
ARCHIVE_CONSTELL_9,Праведник Лайан
ARCHIVE_CONSTELL_10,Императрица Асифия
ARCHIVE_CONSTELL_11,Стрелок Гисла
ARCHIVE_CONSTELL_12,Страница Гексиполия
HERO_RACE_HUMAN,Человек
HERO_RACE_BABARIAN,Варвар
HERO_RACE_DWARF,Дворф
HERO_RACE_GOBLIN,Гоблин
HERO_RACE_ORC,Орк
HERO_RACE_DEMON,Демон
HERO_RACE_ELF,Эльф
HERO_RACE_TAMIA,Тамианка
HERO_RACE_DARKELF,Темный эльф
HERO_RACE_HARPY,Гарпия
HERO_RACE_DEMON_DRAGON,Демон (темный дракон)
HERO_RACE_UNDEAD,Нежить
HERO_RACE_NOUM,Гном
HERO_RACE_LUNA,Полуживотное (кролик)
HERO_RACE_DRAGON,Дракон
HERO_RACE_ANGEL,Ангел
HERO_RACE_VAMP,Вампир
HERO_RACE_HALFELF,Полуэльф
HERO_RACE_HALFDEMON,Dämonen (Halbblut)
HERO_RACE_REDPER,Рэдпур (в прошлом человек)
HERO_RACE_VISKA,Демон (одержимый человек)
HERO_RACE_REQUINA,Полуживотное (лис)
HERO_RACE_HOMUN,Гомункул
HERO_RACE_PAVEL,Человек (с душой дракона)
HERO_RACE_DRAGON_MAN,Дракон
ARCHIVE_RACE_26,Фея
HERO_RACE_GLADI,Полуживотное (рысь)
HERO_RACE_KARA,Человекоподобный голем
HERO_RACE_NIA,Человек (с демонической кровью)
HERO_RACE_GHOST,Призрак
HERO_RACE_LIZARDMAN,Ящер
HERO_RACE_KIRZE,Полуживотное(Кошка)
HERO_AGE_NO_INFO,???
HERO_AGE_MARIA,125 (на вид всегда 25)
HERO_AGE_DIMAEL,163 (по меркам людей 16)
HERO_AGE_MIRURU,27 (умственное развитие на 12)
HERO_AGE_SONIA,"16 (всегда, с самого создания)"
HERO_AGE_PAVEL,243 (по меркам драконов: ???)
HERO_AGE_MIRRIANE,12 (биологический возраст: 18)
HERO_AGE_TANYA,18 (биологический возраст: 18)
HERO_AGE_EZEKIEL,19 (если верить на слово)
HERO_AGE_VISKA,14 (по меркам демонов: ???)
CREATURE_STORY_1,"Один из оруженосцев Королевства Орвелия. Стал свидетелем смерти родителей от рук демонов, напавших на их деревню, а позже убийства своего учителя фехтования. Из-за этих событий получил психологическую травму и боится, что смерть близких людей на его совести. После того, как его названный брат, Клаус, ушел в военный поход и не вернулся, отправился на его поиски."
CREATURE_STORY_2,"Начинающая жрица, поклоняющаяся богине Луа. Церковь возлагает на ее будущее большие надежды. С самого начала обучения удивляла даже верховных жрецов крепостью своей веры и природным даром владения силой Луа. Считает служение Луа своим предназначением и имеет очень доброе сердце. Тем не менее, совершенно не знает пощады по отношению к тем, кто творит зло."
CREATURE_STORY_3,"Ранние воспоминания Клео связаны с Башней мудреца. Эта гениальная волшебница и проказница с детства была сиротой и воспитывалась великим мудрецом Доминиксом. Ее неспособность управлять собственной силой часто приводила к различным бедам, включая частичное обрушение Красной башни, в которой она жила. Тем не менее, великий мудрец всегда относился к ней с нисхождением, поэтому ее недолюбливали его другие ученики. Из-за этого Клео выросла эгоистичной и невнимательной к другим, но все же глубоко внутри она добрая девочка, которая боится остаться одна."
CREATURE_STORY_4,"Сопровождает Клео и присматривает за ней по поручению Доминикса. Когда-то он входил в банду наемных убийц, но по неизвестным причинам оставил это ремесло. Из-за своего прошлого редко когда проявляет уважение к окружающим, тем не менее, лишения и невзгоды сделали из него опытного и проницательного человека, который умеет отплатить добром тем, кто когда-то ему помог."
CREATURE_STORY_5,"Гау – могучий воин из королевства варваров. Стоило ему взмахнуть своим обоюдоострым топором, как проливались реки крови. Он славился своей лютой жестокостью, пока не исчез на 10 лет. Вернулся он уже совершенно другим человеком. Он стал добряком, который отвечает на насмешку улыбкой и веселым смехом. Еще большее удивление вызывает нежность, с которой он теперь относится к детям и животным."
CREATURE_STORY_6,"Крепкий и стойкий король дворфов, который сражался против армии демонов плечом к плечу с Воином меча еще 100 лет назад. О проявленном им героизме при уничтожении Легиона Темного дракона, главного подразделения армии демонов, известно во всех уголках страны. На самом деле, он сидит на троне лишь из чувства долга, но несмотря на жалобы на скуку королевской жизни, прилежно выполняет свои обязанности."
CREATURE_STORY_7,"Этот эксцентричный гоблин-альбинос больше всего на свете обожает создавать мощное вооружение. Он не питает любви к другим гоблинам, так как те всю жизнь подвергали его насмешкам и травле за цвет кожи. Чтобы опробовать свое оружие, он с радостью застрелит, взорвет и размажет даже своего соплеменника. Однако при этом он умеет быть благодарным тем, кто ему помогает. Именно так он подружился с Роем. К несчастью, у него неважная память на лица, и он каждый раз пытается застрелить Роя, пока не поймет, кто перед ним."
CREATURE_STORY_8,"Этот великий шаман орков может управлять молниями, а еще он вождь племени и уважаемый старейшина Союза орков. Он взрастил множество орочьих шаманов и считается их духовным наставником. Также он один из немногих шаманов, которые видят вещие сны, и достаточно мудрый, чтобы правильно их толковать."
CREATURE_STORY_9,"Этот игривый и очаровательный суккуб всегда идет на поводу у своих капризов. Как и любой демон, она делает только то, что доставляет ей удовольствие. Во время Войны демонов она предпочитала путешествовать по миру, а не участвовать во вторжении. Ради забавы она даже предала своих соплеменников, чтобы сражаться бок о бок с Кайлом. Много позже, когда она встретила Касселя, ей показалось интересным присоединиться к его отряду и отправиться в очередное приключение. Когда она встречает кого-нибудь привлекательного, то иногда приходит к нему во сне."
CREATURE_STORY_10,"Эта благородная эльфийская принцесса без ума от Священного меча Эа и избранного им воина. Она всегда старается делать только то, что считает правильным, и ждет, что окружающие будут поступать так же. По этой причине она подвергает критике любого, кто сходит с пути праведности, даже если это воин Священного меча Эа. К несчастью, ее непримиримая позиция часто отталкивает окружающих. Она довольно часто навещает свою сестру Дозарту на ее посту у башни, чтобы составить ей компанию."
CREATURE_STORY_11,"Когда-то она была Святой девой Луа, но сошла с праведного пути. Теперь эта циничная ведьма, повелевающая воронами, поклоняется тьме и проклинает свою бывшую богиню. В далекие времена она была подругой Кайла и героиней народа, но после исчезновение короля нашла утешение в уединении. Вскоре она появилась уже в качестве падшей ведьмы, возглавляющей армию демонов и угрожающей существованию человечества. В настоящее время она, кажется, планирует что-то недоброе, но уже не как командир демонов, а полагаясь только на свои силы."
CREATURE_STORY_12,"Когда-то эта принцесса пиратов бороздила моря и вселяла страх в сердца моряков. К несчастью, одна проклятая вещица превратила ее в ребенка, и вскоре вся команда от нее отвернулась. Но Мируру не из тех, кто легко сдается: она начала все с самого начала и теперь мечтает вернуть себе былую славу. К сожалению, из-за проклятия она не только выглядит, как ребенок, но и думает, как дитя. Но это не останавливает ее в погоне за мечтой. В настоящее время она командует отрядом из гоблинов и гноллов."
CREATURE_STORY_13,"Великий мудрец Элидоры – мудрейший из друидов. Сражалась против вторгшихся демонов 100 лет назад и часто считается мудрейшим героем на всем континенте Орбис. Она обладает глубоким пониманием мира и владеет таинственными силами, поэтому многие эльфы прошли у нее обучение. Поговаривают, что даже нынешний король Элидоры и его дети были когда-то ее учениками. Недавно она почувствовала присутствие темных сил в лесу Элидоры, поэтому решила помочь владельцу Священного меча Эа."
CREATURE_STORY_15,"Этот стойкий и добродетельный рыцарь нашел свое призвание в служении Орвелу. Многие считают его надежным защитником Орвела, однако отсутствие интереса к богатству и успеху не позволяет ему далеко продвинуться по службе. Он вырос в приюте вместе с Касселем и Фрэйей и любит свою страну, так как здесь живут дорогие его сердцу люди. Недавно он вызвался добровольцем для участия в расследовании происходящего на Королевских равнинах."
CREATURE_STORY_16,"Этот чистый и добрый проводник душ умеет общаться с мертвыми. Представители тамианской расы живут в гармонии с природой, могут чувствовать ее энергию и общаться с душами умерших. Способности Леви в обращении с душами примечательны даже по меркам его народа. Он использует свой дар, чтобы провести души умерших в иной мир и не позволить им стать злыми духами. Он лучше других тамианцев умеет читать по звездам, умиротворять души умерших и помогать им обрести вечный покой."
CREATURE_STORY_17,"Этот одинокий темный эльф поклялся отомстить своим соплеменникам за смерть любимой сестры. По возвращению домой из военного похода в пустыню Аэгина, в котором он едва уцелел, он узнал ужасную весть – эльфы принесли в жертву его сестру. Он почти обезумел, выкрикивая ее имя в ночи, и поклялся, что будет уничтожать представителей своего племени, убийц сестры, при любой возможности."
CREATURE_STORY_18,"Рейна вон Штайн родилась в империи в знатной семье. Ее свободолюбие и энергичность, кажется, заражают всех окружающих. Ей больше по душе свободная жизнь наемника, а не размеренная жизнь аристократки, и она уже так давно работает наемником, что растеряла все свои благородные манеры. С детства она умело обращалась с мечом, а со временем стала настоящим мастером шпаги и даже выработали собственный стиль, лучше всего подходящий для ее хрупкого телосложения. Недавно она отказалась от одного странного контракта, и с тех пор ее не покидает чувство, как будто за ней кто-то постоянно следит."
CREATURE_STORY_19,"Удивительный случай вселения души ледяного дракона в тело человека-волшебника. Этот древний маг льда сражался бок о бок с Кайлом 100 лет назад, но жил он еще задолго до тех событий. Душа дракона обычно дремлет, просыпаясь лишь изредка, чтобы выразить ему свою симпатию. Империя очень дорожит этим героем и даже поручила Дине сопровождать и защищать его. Сам же волшебник хочет просто жить в тишине и покое, подальше от мирской суеты."
CREATURE_STORY_20,"Зилтриона Сай Дэмия. Командир Рыцарей-защитников Орвела. Могущественный и титулованный рыцарь, вооруженный копьем и огромным щитом. Поговаривают, что пробить ее защиту практически невозможно. Она отличный командир, который заботится о своих подчиненных, и готова выполнить любую поставленную задачу во благо своего отечества. Видя, что атмосфера во дворце в последнее время оставляет желать лучшего, она хочет побыстрее назначить командиром Клауса, чтобы ничто не мешало ей защищать Скарлет от нападок аристократии."
CREATURE_STORY_21,"Стойкая и благородная воительница гарпий, владеющая силой ветра. Ставит честь воина гарпии превыше всего на свете. Она не может позволить себе ни отступить, ни сдаться, благодаря чему побеждает любого противника. Ее навыки вызывают восхищение даже среди ее соплеменников, а молодые воины стремятся во всем ей подражать."
CREATURE_STORY_22,"Лучший стрелок империи и любительница медведей. Она любит их так сильно, что даже на ее шапке есть украшения, напоминающие медвежьи уши. Иногда она охотится на тигров, но ни за что на свете не выстрелит в медведя! Благодаря своим навыкам она могла бы стать первоклассной наемной убийцей, но поклялась никогда не применять их во зло. Наоборот, она применяет их только для защиты других. В настоящее время живет с Павлом в заснеженных горах Виндланда в качестве телохранителя, нанятого империей."
CREATURE_STORY_23,"Бывший командир Рыцарей темного дракона и самый доблестный рыцарь армии демонов. В настоящее время по неизвестной причине сопровождает ведьму Марию и во всем ей помогает. Многим кажется странным, что лучший воин армии демонов, уничтоживший бесчисленное количество врагов и даже одолевший нескольких драконов, прислуживает простой ведьме. Как бы там ни было, она продолжает служить своей госпоже верой и правдой."
CREATURE_STORY_24,"Человек, который меньше всего подходит на роль жреца Церкви Луа, и, в некоторой степени, неординарная личность. С самого детства был «белой вороной» в церкви Луа, в которой во главу угла всегда ставилась добродетельность. Попал в церковь благодаря протекторату великого жреца Бермана, однако жизнь священнослужителя всегда его тяготила. Но вот однажды он внезапно решил встать на путь истинный и следовать учению церкви."
CREATURE_STORY_25,"Когда-то она была принцессой исчезнувшей Республики Грэй. На территории этого государства, уничтоженного захватчиками-демонами во время Войны с демонами, располагались древние руины, хранящие тайны и технологии древней цивилизации. Джейн погибла, защищая эти тайны. Позже один высокопоставленный офицер и стратег армии демонов, Мальдук, поднял ее из мертвых и наделил ее сознанием с помощью непостижимой темной магии. Теперь она полна решимости отправиться на поиски своей прошлой жизни и потерянных воспоминаний."
CREATURE_STORY_26,"Девушка благородных кровей родом из Орвела. Одна из самых одаренных волшебниц Башни мудреца, которая даже получила звание «Фиолетовая» в качестве признания ее выдающихся способностей. По настоянию родителей с детства воспитывалась в Башне мудреца, но никогда не забывала своего высокого происхождения. Ребенком она не понимала, почему родители отдали ее из семьи, но сейчас она осознала, что они заботились о ее будущем. Теперь она вернулась домой, и ее везде сопровождает служанка, которая ей словно сестра."
CREATURE_STORY_27,"Говорят, что во дворце Орвела есть бесконечная библиотека. Лео – гном, который отвечает за нее уже очень долгое время. Он выучил все книги библиотеки наизусть и является самым сведущим человеком во всем дворце: некоторые даже специально приходят туда, чтобы спросить у него совета. Несмотря на это, Лео, кажется, все еще чувствует себя неловко при общении с другими."
CREATURE_STORY_28,"Сын командира Имперских рыцарей и искусный мечник, обучавшийся фехтованию с самого раннего детства. Во всем имперском дворце нет бойца, способного одолеть его в поединке. Доказательством его мастерства служит бессчетное количество вражеских рыцарей, павших от его меча. Он быстро дослужился до должности заместителя капитана Имперской гвардии и вызывает всеобщее восхищение. Он очень красив, но при этом питает отвращение к тем, кто интересуется им только из-за внешности. Он считает, что внутренняя красота важнее внешней. Тем не менее, он немного кривит душой, так как и сам иногда засматривается на себя в зеркале."
CREATURE_STORY_29,"Лулу, представители расы полулюдей-полуживотных, встречаются так редко, что считаются мифическими существами. Они обитают в регионе с очень холодным климатом и боятся сталкиваться с внешним миром. Однажды среди лулу появился ребенок, совершенно непохожий характером на своих сородичей, и звали его Луна. Не то чтобы она была недовольна образом жизни, который вел ее народ, или имела какие-то грандиозные планы по исследованию мира за пределами дома. Она просто собирала цветочки. Тут цветочек, там цветочек. Потом она нашла веточку для своей рогатки. Потом она почуяла запах чего-то вкусного. И вот она уже бежит в припрыжку к морковным грядкам, а родной дом остался далеко позади."
CREATURE_STORY_30,"Эта прекрасная и нежная жрица воды – на самом деле трансформировавшийся синий дракон. Когда-то ей даже поклонялись некоторые племена пустыни. По неизвестным причинам она очень долгое время провела в состоянии сна. Она может управлять водой и орошать землю, делая ее плодородной. Она всегда использовала свою силу, чтобы помогать людям. В благодарность люди возвели для нее Золотой храм Потока под озером в оазисе. Когда в пустыне появились злые силы, она пробудилась ото сна и теперь снова использует свой дар, чтобы помогать окружающим."
CREATURE_STORY_31,"Воин-ангел, сошедший с Небес, чтобы уничтожить демонов и остановить распространяющийся хаос. В его задачи входит разведка, изучение противника и уничтожение любого встреченного демона. Он обладает повышенным чувством ответственности и незамедлительно реагирует на любую несправедливость. Он искренне любит людей и всех живых существ, населяющих планету, поэтому полон решимости остановить вторжение демонов."
CREATURE_STORY_32,"Принцесса вампиров, присоединившаяся к Кайлу 100 лет назад. Она чистокровный вампир, живущий уже больше 500 лет. Как и полагается принцессе вампиров, она практически бессмертна. Во время Войны с демонами она потеряла слишком много сил, поэтому в настоящее время поддерживает свое бессмертие, приняв облик ребенка. После войны она стала жить среди людей, медленно восстанавливая свои силы и наблюдая за изменениями, которые претерпевало человечество за эти 100 лет. Как только демоны появились снова и Священный меч Эа пробудился, Рейвиция почувствовала внезапные колебания энергии. Вскоре она отправилась в путь, чтобы воочию увидеть нового избранника Священного меча."
CREATURE_STORY_33,"Этот таинственный волшебник с примечательными глазами разного цвета может перемещаться сквозь пространство. С его лица не сходит загадочная улыбка, как будто он знает что-то, что может знать только человек, смотрящий через всю Вселенную. Его привлекают необычные способности, и он не упустит возможности испытать их владельцев. Его умение перемещаться в пространстве выходит за границы человеческих возможностей, но, по-видимому, он может путешествовать даже в другие миры. Его истинные намерения до конца не ясны, но он точно любит помогать окружающим."
CREATURE_STORY_34,"Гениальный техномаг из Королевства Орвелия. Она очень жизнерадостна, и никакие неудачи не могут ее сломить. Мечтает изобрести устройство, которое позволит любому получить доступ к магическим силам. После многолетних исследований она сумела вдохнуть жизнь в помощника, созданного с помощью магии и механики. С приходом демонов в этот мир переключилась на разработку оружия, с помощью которого любой житель Королевства сможет дать отпор захватчикам."
CREATURE_STORY_35,"Некоторые знают его под именем «Песнь Серебряного Безумия». Он очень неискренен во всем, что делает, и демонстрирует полную безответственность по отношению к окружающим. Однако как только он оказывается в бою, он превращается в неуязвимого серебряного волка, ураганом проносящегося по полю сражения. Никто не знает о его прошлом, но одно известно точно: он не делает различий между врагами и союзниками, когда его накрывает боевое безумие. Лучше находиться от него подальше в такие моменты и не играть с огнем."
CREATURE_STORY_36,"Герой, вырвавший несчетное количество жизней из лап демонов, а в настоящее время командир Священных рыцарей Церкви Луа. Этот храбрый и доблестный рыцарь с юных лет охотится на демонов по всему Королевству Орвелия. Он также руководит приютом, в котором выросли Кассель, Фрэй и Клаус. Он взрастил множество воинов Орвелии и считается их духовным наставником. Он уже давно хочет уйти на пенсию по причине возраста, но никак не может добиться отставки, так как, несмотря на свои годы, выглядит бодрым и полным сил."
CREATURE_STORY_37,"Убийца из группировки «Смеющаяся маска» и коллега Роя. Физически она превосходит Роя, так как является полуэльфом, но ей не хватает его опыта и способности располагать к себе людей – качеств, которые делают его незаменимым в крупномасштабных операциях. Из-за этого она чувствует себя немного неполноценной. В группировке она выполняет роль «чистильщика» и ответственна за ликвидацию предателей. Когда Рой покинул «Смеющуюся маску», она решила отложить все свои задания и найти его, чтобы выяснить, что сподвигло его на такой шаг. Как она поступит, когда найдет его, пока неизвестно."
CREATURE_STORY_38,"Сын Люцикиеля и могущественный офицер армии демонов, который положил конец Республике Грэй. Отличается рассудительностью и осторожностью и, на самом деле, на половину человек. В бою его демоническая натура вырывается наружу, делая его заносчивым и жестоким. Унаследовал свою силу от отца, которого никогда не видел, тем не менее, гордится ею и не пытается скрыть от окружающих. Так как он демон лишь на половину, только одна его рука подверглась трансформации. Но даже в одной руке сосредоточена великая сила, которой он до сих пор не владеет в полной мере. Когда он теряет контроль над рукой, лучше держаться от него как можно дальше."
CREATURE_STORY_39,"Ей принадлежит самая роскошная и большая таверна в Веспии – «Золотой слиток». Однако это не просто таверна, а тайное место встречи социальных элит, где постоянно происходит обмен разной секретной информацией. Благодаря природному обаянию и общительности она легко может расположить к себе любого, но далеко не каждый знает, что занимается она в основном продажей оружия и секретной информации."
CREATURE_STORY_40,"Рыцарь, служивший Республике Грэй 100 лет назад, и поклонник Джейн Грэй. Тэо был Первым рыцарем Республики и владельцем именного оружия «Удар Молнии Легиос». Во время сражения герцогств с армией демонов Горная Крепость освободилась от печати контроля и впала в исступление. По приказу Джейн Тео отправился восстановить печать. Во время его отсутствия могучие офицеры демонов напали на дворец. Вернувшись, Тео, несмотря на тяжелое ранение, бросился в бой, но был не в состоянии одолеть их в одиночку. Когда битва завершилась, он держал мертвое тело принцессы на руках и рыдал посреди разрушенного дворца. Внезапно таинственная сущность предложила ему возможность защищать принцессу до конца времен. Тео согласился и тут же впал в забытье."
