KEY,Spanish
HERO_VOICE_ATTACK_2,Ataque básico 2
HERO_VOICE_ATTACK_3,Ataque básico 3
HERO_VOICE_SKILL_1,Utiliza la habilidad 1
HERO_VOICE_SKILL_2,Utiliza la habilidad 2
HERO_VOICE_SKILL_3,Utiliza la habilidad 3
HERO_VOICE_SKILL_4,Utiliza la habilidad 4
HERO_VOICE_HIT,Daño
HERO_VOICE_LOSE,Muerto
HERO_VOICE_JOIN,Unirse al grupo
HERO_VOICE_VICTORY,Ganar la batalla
HERO_VOICE_AWAKE,Cinemática del despertar
HERO_VOICE_TRANS,Cinemática de trascendencia
HERO_VOICE_INNREACTION,Reacción en la posada
HERO_VOICE_ATTACK_1_LEWISIA5,Ataque básico (5 estrellas)
HERO_VOICE_SKILL_1_LEWSIA5,Esfera de Sangre (5 estrellas)
HERO_VOICE_SKILL_2_LEWSIA5,Zona de Sangre (5 estrellas)
HERO_VOICE_SKILL_3_LEWSIA5,Banquete de Sangre (5 estrellas)
HERO_VOICE_SKILL_4_LEWSIA5,Utiliza la habilidad 4 (5 estrellas)
HERO_VOICE_HIT_LEWSIA5,Daño (5 estrellas)
HERO_VOICE_LOSE_LEWSIA5,Muerto (5 estrellas)
HERO_VOICE_JOIN_LEWSIA5,Unirse al grupo (5 estrellas)
HERO_VOICE_VICTORY_LEWSIA5,Ganar batalla (5 estrellas)
HERO_VOICE_AWAKE_LEWSIA5,Cinemática del despertar (5 estrellas)
HERO_VOICE_TRANS_LEWSIA5,Cinemática de trascendencia (5 estrellas)
HERO_VOICE_INNREACTION_LEWSIA5,Reacción en la posada (5 estrellas)
HERO_VOICE_ATTACK_1_LEWISIA3,Ataque básico (3 - 4 estrellas)
HERO_VOICE_SKILL_1_LEWSIA3,Utiliza la habilidad 1 (3 - 4 estrellas)
HERO_VOICE_SKILL_2_LEWSIA3,Utiliza la habilidad 2 (3 - 4 estrellas)
HERO_VOICE_SKILL_3_LEWSIA3,Utiliza la habilidad 3 (3 - 4 estrellas)
HERO_VOICE_SKILL_4_LEWSIA3,Utiliza la habilidad 4 (3 - 4 estrellas)
HERO_VOICE_HIT_LEWSIA3,Daño (3 - 4 estrellas)
HERO_VOICE_LOSE_LEWSIA3,Muerte (3 - 4 estrellas)
HERO_VOICE_JOIN_LEWSIA3,Unirse al grupo (3 - 4 estrellas)
HERO_VOICE_VICTORY_LEWSIA3,Ganar batalla (3 - 4 estrellas)
HERO_VOICE_AWAKE_LEWSIA3,Cinemática del despertar (3 - 4 estrellas)
HERO_VOICE_TRANS_LEWSIA3,Cinemática de trascendencia (3 - 4 estrellas)
HERO_VOICE_INNREACTION_LEWSIA3,Reacción en la posada (3 - 4 estrellas)
HERO_VOICE_SKILL_1_EZEKIEL,Instinto Destructivo (estado de furia)
HERO_VOICE_SKILL_2_EZEKIEL,Desesperación del Alba (estado de furia)
HERO_VOICE_SKILL_3_EZEKIEL,Golpe de Destrucción (estado de furia)
HERO_VOICE_SKILL_4_EZEKIEL,Maldición Sangrienta (estado de furia)
HERO_VOICE_WELCOME_1,Saludo de bienvenida 1
HERO_VOICE_WELCOME_2,Saludo de bienvenida 2
HERO_VOICE_WELCOME_3,Saludo de bienvenida 3
HERO_VOICE_TOUCH_1,Interacción 1
HERO_VOICE_TOUCH_2,Interacción 2
HERO_VOICE_TOUCH_3,Interacción 3
HERO_VOICE_TOUCH_4,Interacción 4
HERO_VOICE_TOUCH_5,Interacción 5
HERO_VOICE_TOUCH_6,Interacción 6
HERO_VOICE_BUY_1,Agradeciendo 1
HERO_VOICE_BUY_2,Agradeciendo 2
ARCHIVE_3D_SHOW,Modelo 3D
ARCHIVE_UNIQUE_WEAPON_INTRODUCE,Introducción a las armas únicas
ARCHIVE_UNIQUE_WEAPON_NOTHOLDING,Aún no adquiriste esta arma única.
ARCHIVE_TREASURE_INTRODUCE,Introducción de tesoro único
ARCHIVE_TREASURE_NOTHOLDING,Aún no has adquirido este tesoro único.
ARCHIVE_ARTIFACT_INTRODUCE,Introducción a los artefactos
ARCHIVE_ARTIFACT_NOTHOLDING,Aún no adquiriste este artefacto.
ARCHIVE_ITEM_INTRODUCE,Acerca de
ARCHIVE_ITEM_NOTHOLDING,Aún no adquiriste este artículo.
ARCHIVE_ITEM_NO_STORY,Estamos preparando la historia.
ARCHIVE_KILL_RATE,Tasa de muertes
ARCHIVE_RAID,Raid Dragón
ARCHIVE_CHALLENGERAID,Desafío Raid
ARCHIVE_GUILDRAID,Raid del Clan
ARCHIVE_WORLDBOSS,Jefe del Mundo
ARCHIVE_GODKING,Pruebas del Rey Dios
ARCHIVE_ECLIPSE,Eclipse
ARCHIVE_CHAPTER_BOSS,Jefe del capítulo
ARCHIVE_CONQUEST,Conquista
ARCHIVE_NORMAL_MONSTER,Monstruo normal
ARCHIVE_MONSTER_INTRODUCE,Introducción
ARCHIVE_STAT,Comun
ARCHIVE_SKILL,Habilidades
ARCHIVE_EASY_NORMAL,Modo Easy & Normal
ARCHIVE_RAID_SINGLE,Solo Raid
BIRTH_MONTH_1,Mes de la protección
BIRTH_MONTH_2,Mes de la sabiduría
BIRTH_MONTH_3,Mes del conocimiento
BIRTH_MONTH_4,Mes de la vida
BIRTH_MONTH_5,Mes de la esperanza
BIRTH_MONTH_6,Mes del amor
BIRTH_MONTH_7,Mes de la armonía
BIRTH_MONTH_8,Mes de la vitalidad
BIRTH_MONTH_9,Mes de la verdad
BIRTH_MONTH_10,Mes de la amistad
BIRTH_MONTH_11,Mes de la fortuna
BIRTH_MONTH_12,Mes de la paciencia
ARCHIVE_CONSTELL_1,Méritos de guardián
ARCHIVE_CONSTELL_2,Satua el sabio
ARCHIVE_CONSTELL_3,Lasiphil el profeta
ARCHIVE_CONSTELL_4,Armil el santo
ARCHIVE_CONSTELL_5,Graham el ladrón
ARCHIVE_CONSTELL_6,Mira el juglar
ARCHIVE_CONSTELL_7,Notmun el afinador
ARCHIVE_CONSTELL_8,Kandala el conquistador
ARCHIVE_CONSTELL_9,Layan del juicio
ARCHIVE_CONSTELL_10,Asiphia la emperatriz
ARCHIVE_CONSTELL_11,Gisla el disparador preciso
ARCHIVE_CONSTELL_12,Hexipolia el errante
HERO_RACE_HUMAN,Humano
HERO_RACE_BABARIAN,Bárbaro
HERO_RACE_DWARF,Enano
HERO_RACE_GOBLIN,Goblin
HERO_RACE_ORC,Orco
HERO_RACE_DEMON,Demonio
HERO_RACE_ELF,Elfo
HERO_RACE_TAMIA,Tamia
HERO_RACE_DARKELF,Elfo obscuro
HERO_RACE_HARPY,Arpía
HERO_RACE_DEMON_DRAGON,Demonio (dragón obscuro)
HERO_RACE_UNDEAD,Muerto viviente
HERO_RACE_NOUM,Gnomo
HERO_RACE_LUNA,Animal híbrido
HERO_RACE_DRAGON,Dragón
HERO_RACE_ANGEL,Ángel
HERO_RACE_VAMP,Vampiro
HERO_RACE_HALFELF,Medio elfo
HERO_RACE_HALFDEMON,Dämonen (Halbblut)
HERO_RACE_REDPER,Redpur (antes humano)
HERO_RACE_VISKA,Demonio (humano poseído)
HERO_RACE_REQUINA,Animal híbrido (zorro)
HERO_RACE_HOMUN,Homúnculo
HERO_RACE_PAVEL,Humano (Poseer un alma de dragón)
HERO_RACE_DRAGON_MAN,Dragón
ARCHIVE_RACE_26,Hada
HERO_RACE_GLADI,Animal híbrido (lince)
HERO_RACE_KARA,Gólem humanoide
HERO_RACE_NIA,Humana (con sangre endemoniada)
HERO_RACE_GHOST,Fantasma
HERO_RACE_LIZARDMAN,Hombre Lagarto
HERO_RACE_KIRZE,Animal Híbrido (Gato)
HERO_AGE_NO_INFO,???
HERO_AGE_MARIA,125 (Físicamente siempre 25)
HERO_AGE_DIMAEL,163 (Años humanos: 16)
HERO_AGE_MIRURU,27 (Mentalidad: 12)
HERO_AGE_SONIA,16 (Sin crecimiento desde su creación)
HERO_AGE_PAVEL,243 (Dragón: ???)
HERO_AGE_MIRRIANE,12 (Edad física: 18)
HERO_AGE_TANYA,18 (Edad física: 18)
HERO_AGE_EZEKIEL,19 (Autoproclamado)
HERO_AGE_VISKA,14 (Demonio: ¿?)
CREATURE_STORY_1,"Un escudero del Reino de Orvelia. Traumatizado por presenciar la muerte de sus padres a manos de los demonios que invadieron el pueblo, y después, el asesinato de su maestro de espada, ahora teme la idea de que alguien cercano muera. Su pasado le ha llevado a buscar a su hermano de sangre desde que era un niño en el orfanato, Clause, quien se unió a una expedición pero nunca más regreso."
CREATURE_STORY_2,"Una clériga aprendiz que sirve a la diosa Lua, la iglesia tiene altas expectativas como futura clériga. Desde los primeros momentos de su entrenamiento, ha sorprendido a los clérigos más destacados con su firme fe y talento natural para canalizar el poder de Lua. Ella misma considera que el sacerdocio es su camino de destino y su corazón bondadoso refleja su determinación. Sin embargo, no muestra piedad hacia los malhechores."
CREATURE_STORY_3,"Los primeros recuerdos de Cleo comienzan en la Torre del Sabio. Fue criada como una huérfana por Dominiks, el gran sabio. Es una estupenda maga pero también es alborotadora. Su incapacidad de controlar su propio poder le ha causado problemas muchas veces, incluyendo la destrucción parcial de la Torre roja, su propio hogar. A pesar de esto, su aparente inmunidad a la ira del gran sabio ha hecho con que sea aislada de sus iguales. Aunque esto ha hecho que se convierta en egoísta y desconsiderada, en el fondo, ella sigue siendo la niña de corazón bondadoso que teme a que otros la abandonen."
CREATURE_STORY_4,"Él es el escolta de Cleo y la protege a pedido de Dominik. Solía pertenecer a un grupo de asesinos, arriesgó su vida y se convirtió en asesino por un motivo desconocido. Al haber vivido como asesino, en raras ocasiones muestra respeto hacia otros, pero las dificultades por las que pasó lo transformaron en un hombre experimentado y astuto que trata con justicia a quienes le ayudan."
CREATURE_STORY_5,"Gau es un poderoso guerrero del Reino Bárbaro. Siembre que utiliza sus hachas gemelas se produce un baño de sangre. Como un guerrero, era temido por su ferocidad inigualable. Sin embargo, de repente desapareció durante 10 años. Cuando regresó, era un hombre completamente distinto. Sus tendencias bárbaras desaparecieron, incluso cuando otros le criticaban. En cambio, ahora los enfrenta con sonrisas y carcajadas alegres. La cálida y amable mirada que ahora muestra a los niños y animales es especialmente sorprendente."
CREATURE_STORY_6,"Él es el robusto y correcto Rey de los enanos. Peleó junto al guerrero de la sagrada espada contra el Ejército de demonios hace 100 años. Su heroísmo está derrotando la legión del dragón oscuro, la principal división del Ejército de demonios, es reconocido por toda la tierra. En realidad, solo se sienta en el trono por obligación. A pesar de que se queja sobre el aburrimiento de sus deberes de la realeza, sigue trabajando de forma diligente."
CREATURE_STORY_7,"Este excéntrico goblin albino disfruta desarrollar armas potentes más que cualquier otra cosa. Al haber sido acosado y hecho a un lado por otros goblins debido al color de su piel, no siente compasión hacia sus pares. No tendría problemas en disparar, hacer explotar o incluso aplastar a un compañero goblin con el fin de probar sus armas. Sin embargo, también expresa su gratitud a quienes le ayudan, y fue así como se convirtió en el amigo de Roi. Lamentablemente, no es su fuerte recordar caras, así que muy a menudo intenta disparar a Roi antes de acordarse quién es."
CREATURE_STORY_8,Este gran orco chaman utiliza el poder del relámpago. Es el jefe de la tribu Skywind y es un respetado anciano de la alianza de Orcos. Ha entrenado a innumerables orcos chamanes y se lo considera un líder espiritual. También es uno de los pocos chamanes que tiene sueños clarividentes y es lo suficientemente sabio para interpretarlos correctamente.
CREATURE_STORY_9,"Esta fascinante y juguetona súcubo actúa bajo sus propios caprichos. Como es de esperarse de su linaje de demonio, es una hedonista impulsada por lo que ella considera divertido y disfrutable. Incluso durante la guerra de demonios, decidió viajar por su cuenta en vez de unirse a la invasión. Según ella, pelear junto a Kyle era bastante interesante como para traicionar a su propia raza. Luego, cuando conoció a Kasel, se unió contenta a su equipo, sabiendo que encontraría otra aventura para ella. Cuando encuentra hombres atractivos, a veces los visita en sus sueños."
CREATURE_STORY_10,"Ésta noble princesa de elfos admira a la sagrada espada y a su guerrero escogido. Ella lucha con todo lo que está a su alcance para hacer lo correcto, y quiere que los demás hagan los mismo. Es por eso que ofrece una crítica genuina a quien se desvíe del camino de la justicia, aunque sea el guerrero de la sagrada espada. Lamentablemente, su sólida determinación a veces es malentendida por los demás. A menudo visita a su hermana menor, Dosarta en su torre para hacerle compañía."
CREATURE_STORY_11,"A pesar de que era una doncella sagrada de Lua en el pasado, eventualmente se corrompió. Ahora, esta bruja cínica y comandante de cuervos maldice a su antigua diosa de la obscuridad. Hubo una época en la que era amiga de Kyle y era una heroína del pueblo. Sin embargo, cuando Kyle desapareció, ella también se ocultó del mundo. Eventualmente, regresó como la bruja caída, amenazando a la humanidad como la cabecilla del Ejército de demonios. Sin embargo, recientemente, parece estar planeando algún plan, no como comandante de los demonios, sino que completamente por su cuenta."
CREATURE_STORY_12,"Una vez navegó por los mares como la emperatriz pirata, infundiendo miedo en los corazones de los marineros. Sin embargo, un elemento maldito la ha convertido en una niña y todos sus fieles aliados y tripulación la abandonaron pronto. Como no es de rendirse, comenzó nuevamente desde cero, y ahora sueña con volver a su antigua gloria. Lamentablemente, la maldición de la niñez también ha afectado para que piense de forma inmadura. Aún así, continúa persiguiendo su sueño. Actualmente, lidera el segundo Miruru de piratas que está formado por goblins y gnolls"
CREATURE_STORY_13,"La gran sabia de Elidora es la más sabia de los druidas. Como una de los heroínas que peleó contra los invasores demonio hace más de 100 años, se la considera la persona más sabia en todo el continente Orbis. Ha enseñado y entrenado a un sinnúmero de elfos y posee un profundo conocimiento y poderes místicos que le benefician a su edad. Se dice que incluso el rey actual de Elidora, al igual que sus hijos fueron sus estudiantes. Recientemente ha sentido una perturbación extraña del Bosque de Elidora, está preparando el camino para el portador de la sagrada espada."
CREATURE_STORY_15,"Este hombre correcto y justo protege a Orvel como uno de sus caballeros. Mucha gente lo considera un defensor confiable de Orvel, pero debido a su falta de interés en la riqueza y el éxito, su rango actual dentro de la orden nunca ha sido muy alto. Creció junto a Kasel y a Frey en el mismo orfanato, y ama a su tierra como el hogar de todo lo que es preciado para él. Recientemente se ofreció como voluntario para unirse a la expedición a investigar las Llanuras del Rey."
CREATURE_STORY_16,"Este guía de almas tamiano puro y bondadoso puede comunicarse con los muertos. La raza tamiana vive en armonía con la naturaleza y tiene la capacidad de leer su flujo y guiar las almas de los muertos. La habilidad como guía de almas de Rephy es excepcional, incluso para un tamiano. Él la utiliza para guiar las almas de aquellos que murieron en el bosque y los ayuda a cruzar al otro lado, con lo que impide que se vuelvan malignos. Entre los tamianos, él es quien mejor puede discernir los caminos de las estrellas; pacifica las almas de los muertos y las guía correctamente hacia la otra vida."
CREATURE_STORY_17,"Este elfo obscuro solitario juró venganza contra su propia raza por la muerte de su hermana. Después de haber sobrevivido a duras penas al Desierto de Aegina, lo único que le esperaba en su regreso a casa era la terrible noticia que su hermana había sido asesinada como un sacrificio elfo. Mientras gritaba su nombre en la obscuridad, comenzó a sucumbir en la locura. Eventualmente, hizo un juramento de odio y venganza contra su propia raza, los asesinos de su hermana."
CREATURE_STORY_18,"Reina von Stein nació como hija de una noble familia del imperio. Su libre espíritu y personalidad energética parecen alegrar a quienes están a su alrededor. Ella prefiere una vida de libertad como una mercenaria en vez de la vida sofocante de un aristócrata. Después de trabajar como mercenaria durante un tiempo ya ha perdido todo rastro de buenos modales de su noble crianza. Incluso cuando era niña, mostraba tener un talento natural con las espadas. Con el transcurso de los años, ha desarrollado sus habilidades con un estoque, usando un estilo que se encaja mejor a su pequeño cuerpo. Recientemente, rechazó un contrato raro. Desde entonces, ha estado sintiendo como si alguien la estuviera siguiendo y observando."
CREATURE_STORY_19,"Un caso curioso de un mago humano poseído por el alma de un dragón de hielo. Ha luchado junto a Kyle hace 100 años, este mago de hielo ancestral ya existía mucho antes de entonces. El alma del dragón normalmente está dormida, pero despierta ocasionalmente para hablar con él a través de la voz de una amante. El imperio lo considera una figura clave, y ha mandado a Rodina a controlarlo y a protegerlo. Sin embargo, él solo desea vivir en paz y tranquilo, alejado de las preocupaciones del mundo."
CREATURE_STORY_20,"Ziltrion Si Demia. La comandante de los caballeros guardianes de Orvel. Es una caballera digna y poderosa que porta una lanza y un escudo gigante. Se dice que es casi imposible penetrar su escudo. Como comandante de caballeros, ella aprecia a sus subordinados, y está preparada para realizar cualquier misión por su tierra. Al haber sentido el cambio reciente en la atmósfera en el palacio real, ella espera nombrar pronto a Clause como su nuevo comandante para que ella pueda proteger a Scarlet del ataque de los nobles."
CREATURE_STORY_21,"Una guerrera honorable de las arpías, las portadoras del poder del viento. No hay nada más importante en este mundo que su dignidad como guerrera arpía. Ella utiliza su fuerza de voluntad y deseo para defender su honor de guerrera y derrotar a cualquier enemigo. Sus habilidades son excepcionales incluso entre su gente, y es el ejemplo a seguir de las jóvenes guerreras arpías."
CREATURE_STORY_22,"La mejor francotiradora del imperio y amante de los osos. Le gustan tanto que siempre utiliza accesorios para que parezca que lleva orejas de oso en su sombrero. Por tanto, a veces, caza tigres, pero nunca dispara a un oso. Aunque sus habilidades de tiro son más útiles para asesinar, ella juró nunca usarla por motivos injustos. En cambio, las utiliza para proteger a los demás. Actualmente, vive con Pavel en la Montaña nevada de tierras del viento como su guardia personal delegado por el imperio."
CREATURE_STORY_23,"La antigua comandante de los caballeros del dragón obscuro, es la caballera demonio más valiente del ejército de demonios. Actualmente, por algún motivo desconocido, está siguiendo a la bruja María y la ayuda en su trabajo. A muchos les parece raro que la antigua campeona del ejército de demonios, quien asesinó a incontables enemigos e incluso devoró dragones, ahora trabaje con una simple bruja como su sirviente. Sin embargo, continúa sirviendo fielmente a su maestra."
CREATURE_STORY_24,"Como el menos probable clérigo de la Iglesia de Lua, se puede describir a Baudouin en una sola palabra: inconformista. Desde que era un niño, siempre fue la oveja negra en la Iglesia de Lua que enfatiza la devoción. Entró a la iglesia con la ayuda del sumo sacerdote Berman, pero la vida religiosa era dolorosamente inapropiada para él. Sin embargo, un día, de repente decidió salir de su camino disfuncional y comenzó a seguir el camino del sacerdocio."
CREATURE_STORY_25,"Una vez fue la princesa de la caída Republica de Gray. La Republica de Gray, borrada del mapa por los invasores demonio durante la guerra de demonios. Fue la protectora de incontables secretos, incluso las ruinas y tecnologías de una civilización ancestral. Jane, también, perdió su vida para proteger aquellos secretos. Después, Malduk, un oficial de alto rango y estratega del ejército de demonios, la trajo de vuelta al mundo como muerto viviente. Una magia obscura y desconocida le dio una nueva consciencia. Ahora, busca emprender el viaje para reencontrarse a sí misma en el pasado y recuperar sus recuerdos perdidos."
CREATURE_STORY_26,"Hija de una noble familia de Orvel. Como una da las más talentosas magas en la Torre del Sabio, se le ha otorgado el título de 'Púrpura' en reconocimiento por su capacidad mágica. Fue criada en la Torre del Sabio desde su niñez a pedido de sus padres, pero aún mantiene su dignidad como aristócrata. Cuando era una niña, nunca se dio cuenta por qué sus padres la enviaron lejos y por su cuenta, pero ahora entiende sus motivos. Ahora, volvió a casa, y su doncella, a quien ella considera como otro miembro de la familia, siempre está a su servicio."
CREATURE_STORY_27,"En el palacio real de Orvel, hay una biblioteca que se dice que es infinita en el espacio. Leo es un duende que ha estado protegiendo esta biblioteca durante mucho tiempo. Se ha memorizado cada libro en la biblioteca, es la persona con mayor conocimiento en todo el palacio y muchos visitan el palacio en busca de su sabiduría. Sin embargo, parece aún tener dificultades para interactuar con otros."
CREATURE_STORY_28,"Como hijo del comandante de los caballeros imperiales, ha recibido entrenamiento riguroso desde su niñez para convertirse en un verdadero espadachín. Nadie puede dudar de su título como el espadachín más rápido en el palacio imperial. El número de caballeros enemigos que ha derrotado en el campo de batalla es un testamento de sus habilidades. Subió rápidamente al rango como vice capitán de la Guardia Imperial y es el sujeto admirado por todos. Aunque es consciente de su hermosa apariencia, odia a quienes se le aproximan por su belleza exterior. Él considera que la belleza interna es más importante de lo que es visible. Sin embargo, es un tanto hipócrita cuando, a veces, es cautivado por su propia belleza."
CREATURE_STORY_29,"Los lulus, rara vez vistos y a menudo considerados mítico, son una raza de animales híbridos. Viven en una región extremadamente fría y temen mucho entrar en contacto con el mundo exterior. Un día, una niña lulu nació con una personalidad completamente opuesta a la convencional en su raza. Esa niña es Luna. No es que haya sido infeliz por la forma en que se comportaba la gente de su raza, ni tampoco tenía un gran propósito de experimentar el mundo exterior. Simplemente recogía flores, un paso a la vez. Otro paso para recoger unas ramas congeladas para su resortera. Y otro paso para seguir el aroma de algún fruto rojo y dulce. Antes de darse cuenta, ya estaba fuera, corriendo hacia una plantación de zanahorias lejos de la montaña."
CREATURE_STORY_30,"Esta hermosa y gentil clériga de agua es, en realidad un dragón azul transformado. En el pasado distante, era venerada por ciertas tribus del desierto. Sin embargo, por algún motivo desconocido ha estado durmiendo durante años. Puede hacer que el agua convierta las tierras fértiles y siempre utilizó su poder para ayudar a la gente. Los humanos, a cambio, construyeron un Templo de la corriente dorado en su honor bajo el lago en un oasis. Un flujo de energía maligna en el desierto la ha despertado y, una vez más, comenzó a utilizar sus poderes para ayudar a quienes la rodean."
CREATURE_STORY_31,"Un ángel guerrero que descendió de los cielos para castigar a los demonios y detener el caos de expandirse en la tierra. Sus tareas delegadas incluyen la exploración, el reconocimiento y la ejecución de cualquier demonio que encuentre en la tierra. Tiene un fuerte sentido de responsabilidad y es rápido y decisivo contra cualquier injusticia. Realmente ama a la humanidad y a toda la vida que habita en la tierra. Es por eso que lucha para evitar que los demonios profanen este mundo."
CREATURE_STORY_32,"Una princesa vampiro que se unió a Kyle en su guerra contra los demonios hace 100 años. Ella es una vampiro pura sangre que ha vivido más de 500 años. A menudo considerada como la reina de los vampiros, es prácticamente inmortal. Los efectos del gran gasto de poder durante la guerra contra demonios la ha afectado, y ahora la princesa inmortal adquirió la forma de una niña. Después de la guerra, se mezcló entre la sociedad de humanos y observó el cambio en el mundo durante los próximos 100 años mientras lentamente recuperaba su poder. Cuando los demonios reaparecieron y la sagrada espada despertó, Lewicia sintió los cambios repentinos de energía. Poco después, emprendió un viaje para encontrar y observar al recién escogido guerrero."
CREATURE_STORY_33,"Un mago misterioso que cruza dimensiones con heterocromia notablemente reconocible. La sonrisa perpetua en su rostro parece provenir de la sabiduría de alguien que ve a través del universo. Muestra bastante interés en aquellos con habilidades especiales y disfruta ponerlos a prueba. Su habilidad de transportarse en el espacio permite sobrepasar el reino de los mortales, y puede viajar a través de dimensiones. No está seguro cuál es su motivación, pero parece tener caro que siempre pretende ayudar a los demás."
CREATURE_STORY_34,"Una tecnomaga genio del reino de Orvelia. Es altamente optimista y las derrotas nunca parecen molestarla. Sueña con un día inventar un dispositivo que permita a cualquiera hacer magia. Ha diseñado mágicamente a su asistente que ha traído a la vida después de años de investigación. Después de la llegada de los demonios, ella incorporó su investigación a desarrollar armas que permitirían a cualquiera luchar contra los invasores."
CREATURE_STORY_35,"Para algunos, conocido como la canción de la locura plateada, es increíblemente falso en todo lo que hace. No muestra ningún sentido de responsabilidad sobre quienes están a su alrededor. Pero, una vez que entra en combate, se convierte en un lobo plateado que atraviesa el campo de batalla; no distingue entre un amigo y un rival una vez que la locura de la batalle se apodera de él. Quedarse cerca de él en este estado puede ser mucho más peligroso que sujetar una bomba de tiempo."
CREATURE_STORY_36,"Un héroe que salvó innumerables vidas contra los demonios, y el comandante actual de los caballeros sagrados de la Iglesia de Lua. Este valiente y experto caballero ha estado cazando demonios en toda Orvelia desde que era joven. También es el director del orfanato donde Kasel, Frey y Clause crecieron. Entrenó a incontables guerreros en Orvelia y se lo considera un líder espiritual. Se está preparando para renunciar al cargo debido a su edad, pero su fuerza que derrota a la edad siempre ha provocado el rechazo de su solicitud de renuncia."
CREATURE_STORY_37,"Una asesina de la Máscara de Risa, y compañera de Roi. Aunque tiene ventaja física sobre Roi al ser una media elfo, no tiene su sabiduría mundial ni su habilidad para conectarse con otros, características que le han hecho crucial en operaciones a gran escala. Esto ha hecho que tenga una especie de complejo de inferioridad. Como la 'Limpiadora' de la organización, se le delegó la tarea de eliminar a cualquier traidor. Cuando Roi abandonó la organización, se dispuso a seguirlo para descubrir su motivación, dejando atrás sus otras tareas. Sus planes después de encontrarlo aún se desconocen."
CREATURE_STORY_38,"El hijo de Lucikiel es un poderoso oficial demonio que acabó con la República de Gray. Normalmente considerado y cuidadoso, actualmente es medio humano. En el campo de batalla, su sangre de demonio se apodera de él, y lo convierte en arrogante y violento. Heredó este poder de su padre, a quien nunca conoció. Sin embargo, se enorgullece de su poder y no intenta ocultarlo. Como solo es parcialmente demonio, solo un brazo sufre la transformación. Pero, incluso este brazo por sí solo contiene inmenso poder, y evidentemente no le es fácil poder controlarlo en su totalidad aún. Si pierde el control del brazo, la única decisión inteligente es inmediatamente alejarse de él lo máximo posible."
CREATURE_STORY_39,"Es la dueña del 'Bar de oro', la taberna más grande y lujosa de Vespia. Por debajo de su llamativo exterior, la taberna en realidad se utiliza como un lugar secreto de reuniones para las élites de la sociedad, dónde constantemente se intercambia información secreta inmensurable. Su encanto natural y habilidades de conversación pueden romper barreras personales y ganar la confianza de los demás. Su verdadera identidad es la de una distribuidora de armas e información secreta."
