KEY,German
E_C19_Dec_Pavel01_27,(Du bist zusammen mit den Überlebenden aus einem untergegangenen Land aufgetaucht. Du sahst so schwach aus.)
E_C19_Dec_Pavel01_28,(Aber du warst anders als andere Menschen.)
E_C19_Dec_Pavel01_29,"(Du warst immer nett zu mir, obwohl alle mich rausschmeißen wollten.)"
E_C19_Dec_Pavel01_30,"(Um ehrlich zu sein, war ich manchmal auch verärgert ...)"
E_C19_Dec_Pavel01_31,"(Aber die Zeit, als wir uns unterhielten, war ganz nett.)"
E_C19_Dec_Pavel01_32,Und ich erinnere mich.
E_C19_Dec_Pavel01_33,Was damals in den Keksen war und seit wann du Kyle mochtest ...
E_C19_Dec_Pavel01_34,"Daran, wo Kyle dich und Maria hingebracht hat, als wir jung waren, erinnere ich mich auch."
E_C19_Dec_Pavel01_35,"Jetzt wo ich darüber nachdenke, sind es sehr persönliche Geschichten."
E_C19_Dec_Pavel01_36,(Aber ihr zuzuhören ... war nie langweilig.)
E_C19_Dec_Pavel01_37,"Hey, Pavel ..."
E_C19_Dec_Pavel01_38,"Irgendwann ... wird es jemanden geben, der dich verstehen wird ..."
E_C19_Dec_Pavel01_39,Was war das? Es fühlt sich an wie eine wichtige Erinnerung ...
E_C19_Dec_Pavel01_40,... Niemand ist hier?
E_C19_Dec_Pavel01_41,Ich habe noch nichts von Lewisia gehört ...
E_C19_Dec_Pavel01_42,Rodina ist ...
E_C19_Dec_Pavel01_43,"Hahaha! Es ist so toll, dass ich es schneller geschafft habe, als gedacht!"
E_C19_Dec_Pavel01_44,Ich hoffe es gefällt Pavel!
E_C19_Dec_Pavel01_45,Rodina.
E_C19_Dec_Pavel01_46,"Pavel, Ihr seid früh angekommen! Gut. Ich wollte so oder so ..."
E_C19_Dec_Pavel01_47,Pavel?
E_C19_Dec_Pavel01_48,...Du sollst heute früher zurückgehen. Es schneit zu stark.
E_C19_Dec_Pavel01_49,"Pavel, machst Ihr Euch Sorgen um mich?"
E_C19_Dec_Pavel01_50,Das braucht Ihr nicht. Ich hatte nur etwas im Dorf zu tun.
E_C19_Dec_Pavel01_51,"Übrigens, ich möchte Euch etwas geben."
E_C19_Dec_Pavel01_52,"Etwas, das du mir geben willst?"
E_C19_Dec_Pavel01_53,"Alles Gute zum Geburtstag, Pavel! Ich habe es extra vorbereitet, weil Ihr in letzter Zeit so einsam ausseht."
E_C19_Dec_Pavel01_54,Geburtstag ...?
E_C19_Dec_Pavel01_55,Ihr habt es mir doch vor ein paar Tagen gesagt.
E_C19_Dec_Pavel01_56,Ihr meintet Euch daran zu erinnern irgendwann zu dieser Jahreszeit euren Geburtstag gefeiert zu haben.
E_C19_Dec_Pavel01_57,"Bedeutete das nicht, dass Ihr heute Geburtstag habt?"
E_C19_Dec_Pavel01_58,Uhmm ... irre ich mich etwa?
E_C19_Dec_Pavel01_59,Wenn ich irgendwann nicht da bin ...
E_C19_Dec_Pavel01_60,"Ich möchte, dass jemand für Euch da ist, der Euch versteht."
E_C19_Dec_Pavel01_61,"Jemand, der böse auf Euch sein und gleichzeitig Euch Geschenke geben kann ..."
E_C19_Dec_Pavel01_62,"Ich möchte, dass so jemand an Euer Seite ist."
E_C19_Dec_Pavel01_63,(So ist es also gewesen ... damals hatte Arlette ... Ich habe ihr aber alles gesagt.)
E_C19_Dec_Pavel01_64,"(Jemand, der mich versteht ...und bei mir sein möchte ...)"
E_C19_Dec_Pavel01_65,Pavel ...?
E_C19_Dec_Pavel01_66,Ich werde es gut gebrauchen.
E_C19_Dec_Rodina01_01,...
E_C19_Dec_Rodina01_02,"Lange nicht gesehen, Rodina. Du wirst an deinem Geburtstag auf die neue Stelle versetzt. Gute Arbeit geleistet."
E_C19_Dec_Rodina01_03,Unteroffizier Rodina Klein! Es ist mir eine Ehre den Vize-Hauptmann der Kaiserlichen Garde zu treffen!
E_C19_Dec_Rodina01_04,Bei inoffiziellen Anlässen muss man nicht so höflich sein.
E_C19_Dec_Rodina01_05,"Dann ... Lange nicht gesehen, Fluss."
E_C19_Dec_Rodina01_06,"Ja. Bist du hier für das Geburtstagsgeschenk? Oder den Auftrag, den du diesmal bekommen hast?"
E_C19_Dec_Rodina01_07,"Oh, Ihr müsst mir kein Geschenk geben. Ich bin wegen dem Auftrag hier."
E_C19_Dec_Rodina01_08,"Anfangs dachte ich, dass es nur ein Wachdienst wäre."
E_C19_Dec_Rodina01_09,"Aber nachdem ich es akzeptiert und mehr davon erfahren habe, ist es doch ein ..."
E_C19_Dec_Rodina01_10,Ein reiner Überwachungsauftrag.
E_C19_Dec_Rodina01_11,...
E_C19_Dec_Rodina01_12,"Weißt du was für eine Person derjenige ist, den du überwachen ... ach nein ... beschützen sollst?"
E_C19_Dec_Rodina01_13,"Ja. Ich habe gehört, dass er ein großer Zauberer ist, den das Kaiserreich weiterhin im Auge behalten muss."
E_C19_Dec_Rodina01_14,"Ja. Es gibt niemanden, der es persönlich in seinem Umfeld gegen ihm aufnehmen kann. Nicht mal jemand aus dem Kaiserreich."
E_C19_Dec_Rodina01_15,Daher wurde dieser Auftrag an dich gegeben.
E_C19_Dec_Rodina01_16,Du bist der beste Scharfschütze in diesem Land. Du kannst ihn außerhalb des magischen Umfelds erschießen.
E_C19_Dec_Rodina01_17,...
E_C19_Dec_Rodina01_18,"Das Problem dabei ist, dass du eigentlich ein Gewehr in die Hand genommen hast, um die Menschen zu beschützen."
E_C19_Dec_Rodina01_19,Aber du brauchst dir keine Sorgen zu machen.
E_C19_Dec_Rodina01_20,"Du musst einfach das machen, was du schon immer als Teil der Armee gemacht hast."
E_C19_Dec_Rodina01_21,Ist ... das so? Verstanden. Dann werde ich mein Bestes geben.
E_C19_Dec_Rodina01_22,Es ist nur ... weiter entfernt als ich dachte ... und kälter ... als ich dachte!
E_C19_Dec_Rodina01_23,"Der Zauberer des Eisdrachen, der hier lebt ..."
E_C19_Dec_Rodina01_24,...
E_C19_Dec_Rodina01_25,... Ich glaube das ist er ...
E_C19_Dec_Rodina01_26,"Hallo, ich bin Unteroffizier Rodina Klein, die aus dem Kaiserreich geschickt wurde."
E_C19_Dec_Rodina01_27,Seid Ihr Pavel?
E_C19_Dec_Rodina01_28,... Ja.
E_C19_Dec_Rodina01_29,Ich werde Euch vorerst beschützen. Hoffe auf gute Zusammenarbeit!
E_C19_Dec_Rodina01_30,"... Ich brauche zwar keine Wache, aber nun ja."
E_C19_Dec_Rodina01_31,"Ich mag keinen Lärm, also sei vorsichtig."
E_C19_Dec_Rodina01_32,Jawohl!
E_C19_Dec_Rodina01_33,Dieser Auftrag scheint hart zu sein ...
E_C19_Dec_Rodina01_34,Werde ich gut mit ihm auskommen ...?
E_C19_Dec_Rodina01_35,Rodina! Bist du hier?
E_C19_Dec_Rodina01_36,Hallo Yanne. Herzlich willkommen.
E_C19_Dec_Rodina01_37,Was bringt Euch hierher?
E_C19_Dec_Rodina01_38,Ich habe einen Auftrag von einer hochrangigen Person aus dem Kaiserreich bekommen.
E_C19_Dec_Rodina01_39,Er möchte dir ein Geburtstagsgeschenk geben.
E_C19_Dec_Rodina01_40,Eine hochrangige Person will mir ein Geburtstagsgeschenk geben? Vielleicht ...
E_C19_Dec_Rodina01_41,Hpp ...
E_C19_Dec_Rodina01_42,Ist das alles für mich ...?
E_C19_Dec_Rodina01_43,"Ja, aber nicht alles ist von ihm."
E_C19_Dec_Rodina01_44,Hier. Hier ist ein Brief.
E_C19_Dec_Rodina01_45,"Ich wusste doch, dass es Fluss ist."
E_C19_Dec_Rodina01_46,... Und auch diesmal hat er alle möglichen kitschigen Sachen geschrieben ...
E_C19_Dec_Rodina01_47,Und das hier ist ... von meiner Familie.
E_C19_Dec_Rodina01_48,Das alles? Das ist zu viel! Kann ich kurz reinschauen?
E_C19_Dec_Rodina01_49,"Ach ja, stimmt ... Du bist die jüngste Tochter einer Großfamilie. Kein Wunder, dass es so viel ist!"
E_C19_Dec_Rodina01_50,"Hmm, ehrlich gesagt habe ich auch was für dich."
E_C19_Dec_Rodina01_51,"Ihr habt was für mich vorbereitet, Yanne?"
E_C19_Dec_Rodina01_52,"Entschuldige, dass es nur eine Kleinigkeit ist. Ich musste es leider in Eile vorbereiten. Alles Gute zum Geburtstag."
E_C19_Dec_Rodina01_53,Ach was. Vielen lieben Dank!
E_C19_Dec_Rodina01_54,"Wow, hast du schon viele Geschenke bekommen. Ist deine Geburtstagsfeier schon vorbei?"
E_C19_Dec_Rodina01_55,"Lewisia? Herzlich willkommen. Aber woher wusstet Ihr, dass ich Geburtstag habe?"
E_C19_Dec_Rodina01_56,"Jemand fragte mich nach einem passenden Geburtstagsgeschenk, daher war es leicht herauszufinden."
E_C19_Dec_Rodina01_57,"Hier. Alles Gute zum Geburtstag, Rodina."
E_C19_Dec_Rodina01_58,Oh ... Die Prinzessin gab mir ein Geschenk ...?
E_C19_Dec_Rodina01_59,Dank dir geht es Pavel besser als zuvor.
E_C19_Dec_Rodina01_60,"Danke dafür, dass du das hingekriegt hast, was wir als seine alten Freunde lange versucht haben, aber gescheitert sind."
E_C19_Dec_Rodina01_61,Die vielen Komplimente verdiene ich aber nicht. Danke schön.
E_C19_Dec_Rodina01_62,... Das ist aber laut.
E_C19_Dec_Rodina01_63,"Oh, Pavel. Wir waren aber sehr laut, nicht wahr?"
E_C19_Dec_Rodina01_64,Es ist in Ordnung ... Alles Gute zum Geburtstag.
E_C19_Dec_Rodina01_65,Hmm? Ich habe dir diesbezüglich sogar einen Rat gegeben. Du hast es aber ignoriert und nach deinen Wünschen entschieden?
E_C19_Dec_Rodina01_66,".... Ich habe es in Betracht gezogen. Ich dachte, das könnte besser zu ihr passen."
E_C19_Dec_Rodina01_67,"Ja, ja!"
E_C19_Dec_Rodina01_68,... Früher hat er ...
E_C19_Dec_Rodina01_69,Ent... Entschuldigt mich.
E_C19_Dec_Rodina01_70,Was ist los?
E_C19_Dec_Rodina01_71,Heute habe ich Geburtstag.
E_C19_Dec_Rodina01_72,... Und?
E_C19_Dec_Rodina01_73,Meine Familie hat einen Kuchen vorbereitet. Möchtet Ihr es zusammen essen?
E_C19_Dec_Rodina01_74,Schon gut.
E_C19_Dec_Rodina01_75,Ver...standen ...
E_C19_Dec_Rodina01_76,"Pavel, seid Ihr hier?"
E_C19_Dec_Rodina01_77,Was ist?
E_C19_Dec_Rodina01_78,Zu meinem Geburtstag habe ich einen Kuchen bekommen.
E_C19_Dec_Rodina01_79,Möchtet Ihr es zusammen essen?
E_C19_Dec_Rodina01_80,... Lass es lieber.
E_C19_Dec_Rodina01_81,Verstanden ...
E_C19_Dec_Rodina01_82,"Damals hat er nicht einmal reagiert, als ich ihn angesprochen habe. Auf meine Fragen hat er auch nie geantwortet."
E_C19_Dec_Rodina01_83,Aber nach und nach hat er angefangen mir zuzuhören
E_C19_Dec_Rodina01_84,und immer wieder meine Fragen beantwortet.
E_C19_Dec_Rodina01_85,Schritt für Schritt ... hat Pavel sich sehr verändert.
E_C19_Dec_Rodina01_86,"Wenn das, was Lewisia meinte wirklich war ist und es ihm ein bisschen besser geht ..."
E_C19_Dec_Rodina01_87,Und das alles auch mir zu verdanken ist ...
E_C19_Dec_Rodina01_88,"So denke ich, dass es ein gutes Geburtstagsgeschenk ist."
E_C19_Dec_Rodina01_89,"... Wer weiß, vielleicht wird er diesmal sogar mitessen ..."
E_C19_Dec_Viska01_01,"Och Mensch, hier gibt es auch keine starken Dämonen!"
E_C19_Dec_Viska01_02,Das ist heutzutage immer so ... so nervig.
E_C19_Dec_Viska01_03,... Ich sollte lieber zum Dorf gehen und dort zur Entspannung etwas Leckeres essen.
E_C19_Dec_Viska01_04,...
E_C19_Dec_Viska01_05,Das ist heute echt komisch. Ich habe absolut keinen Appetit und bin sehr traurig.
E_C19_Dec_Viska01_06,"... Welcher Tag ist heute? Ich habe nicht einmal mehr Lust, Dämonen zu essen."
E_C19_Dec_Viska01_07,Kellner! Einen Moment bitte.
E_C19_Dec_Viska01_08,Ich möchte etwas nachfragen. Welcher Tag ist heute?
E_C19_Dec_Viska01_09,...
E_C19_Dec_Viska01_10,"Hey, Mensch."
E_C19_Dec_Viska01_11,"Wach auf, Mensch."
E_C19_Dec_Viska01_12,Hey!! Vi!!
E_C19_Dec_Viska01_13,... Hmm? Was ist los?
E_C19_Dec_Viska01_14,Im Ernst jetzt.
E_C19_Dec_Viska01_15,Warum bist du um diese Jahreszeit immer so komisch drauf?
E_C19_Dec_Viska01_16,Oh ... Entschuldige...
E_C19_Dec_Viska01_17,"Ich sagte doch, dass menschliche Gefühle immer so unangenehm sind."
E_C19_Dec_Viska01_18,"Denk doch mal nach. Egal ob heute dein Dorf verbrennt,"
E_C19_Dec_Viska01_19,die bekannten Gesichter alle tot sind
E_C19_Dec_Viska01_20,"und dein Körper zerstreut wird,"
E_C19_Dec_Viska01_21,du wirst trotzdem leben.
E_C19_Dec_Viska01_22,"Du hast jetzt die Macht, dich zu rächen."
E_C19_Dec_Viska01_23,Was ist das Problem?
E_C19_Dec_Viska01_24,...
E_C19_Dec_Viska01_25,"Hallo? Hey, Mensch!"
E_C19_Dec_Viska01_26,Ernsthaft. Was willst du nur?!
E_C19_Dec_Viska01_27,Oh? Ist das nicht Krabbenbein?
E_C19_Dec_Viska01_28,Hmm? Kennst du sie?
E_C19_Dec_Viska01_29,Ein Mensch ... Wie soll ich es am Besten erklären? Sie ist mir ähnlich.
E_C19_Dec_Viska01_30,"Sie ist die Person, die ich am Vulkan getroffen habe."
E_C19_Dec_Viska01_31,Jedenfalls scheint sie heute sehr irritiert zu sein.
E_C19_Dec_Viska01_32,"Hey, Krabbenbein!"
E_C19_Dec_Viska01_33,Auch heute frisst du wie so’n Schwein.
E_C19_Dec_Viska01_34,Wie kannst du so viel in diesem menschlichen Magen stopfen ...
E_C19_Dec_Viska01_35,"Huh? Was sagst du da, du Halbblut?"
E_C19_Dec_Viska01_36,Geh’ mir heute nicht auf die Nerven. Ich habe schon so schlechte Laune.
E_C19_Dec_Viska01_37,... Was ist los?
E_C19_Dec_Viska01_38,Du siehst zehnmal so sauer aus als an normalen Tagen.
E_C19_Dec_Viska01_39,...
E_C19_Dec_Viska01_40,Wie auch immer. Der menschliche Gastgeber nervt mich.
E_C19_Dec_Viska01_41,"Sie ist besessen, traurig, und weint wegen den Dingen, die sie bereits verloren hat ..."
E_C19_Dec_Viska01_42,... Menschen ...
E_C19_Dec_Viska01_43,Du Idiot.
E_C19_Dec_Viska01_44,Das ist offensichtlich deine Schuld.
E_C19_Dec_Viska01_45,Was habe ich getan!
E_C19_Dec_Viska01_46,Das ist so sinnlos!
E_C19_Dec_Viska01_47,Warum sie nur an diesen sinnlosen Dinge von früher denkt -
E_C19_Dec_Viska01_48,Du hast genau diese sinnlose Geistbesessenheit vertraglich gemacht. Also wovon redest du?
E_C19_Dec_Viska01_49,"Von Epis habe ich gehört, dass normalerweise eine Geistbesessenheit gewaltsam stattfindet?"
E_C19_Dec_Viska01_50,".... Das liegt daran, dass viele Idioten dumme Dinge tun, sowas wie -"
E_C19_Dec_Viska01_51,"Wie auch immer, deine Situation interessiert mich nicht!"
E_C19_Dec_Viska01_52,"Ich bin zwar kein Experte,"
E_C19_Dec_Viska01_53,"aber wie würdest du dich fühlen,"
E_C19_Dec_Viska01_54,"wenn dich etwas ärgert und wütend macht, du es aber nicht auslassen kannst?"
E_C19_Dec_Viska01_55,.... Tz.
E_C19_Dec_Viska01_56,"Wenn du verstanden hast, was ich meine, so kümmere dich darum."
E_C19_Dec_Viska01_57,"Puh, dieser Fresssack ..."
E_C19_Dec_Viska01_58,... Wraaar! Verdammt!!
E_C19_Dec_Viska01_59,"Halbblut, das nächste Mal werde ich dich nicht so einfach gehen lassen ..."
E_C19_Dec_Viska01_60,"Hey! Lass uns reden, Mensch!"
E_C19_Dec_Viska01_61,...
E_C19_Dec_Viska01_62,"Ah, so ist das ..."
E_C19_Dec_Viska01_63,"Ach, was soll’s."
E_C19_Dec_Viska01_64,"Wenn du dich nicht so gut fühlst,"
E_C19_Dec_Viska01_65,dann werde ich dir heute die Kontrolle überlassen.
E_C19_Dec_Viska01_66,Mach was du willst. Ich werde mich nicht einmischen.
E_C19_Dec_Viska01_67,"Geh doch zu der Grabstätte deiner Familie in deiner Heimatstadt, wenn du möchtest."
E_C19_Dec_Viska01_68,Laut Vertrag bist du eigentlich nicht an der Reihe. Also sei dankbar.
E_C19_Dec_Viska01_69,(Murrt ...)
E_C19_Dec_Viska01_70,...
E_C19_Dec_Viska01_71,Heimatort ...
E_C19_Dec_Viska01_72,Mutter ... Vater ...
E_C19_Dec_Viska01_73,"... Danke, Viska ..."
E_C19_Dec_Chase01_1,Die Prinzessin sieht an ihrem Geburtstag aber sehr traurig aus.
E_C19_Dec_Chase01_2,Also werde ich das ihr geben.
E_C19_Dec_Chase01_3,"Alle werden lachen, wenn sie lacht."
E_C19_Dec_Chase01_4,"Blumen. Ich bin froh, dass sie noch frisch sind."
E_C19_Dec_Chase01_5,Ach stimmt. Es ist lange her seit meinem Geburtstag ...
E_C19_Dec_Chase01_6,Du hast mich immer beschützt und wertvolle Geschenke gemacht.
E_C19_Dec_Chase01_7,Aber ich habe nichts für dich getan. Ich sollte mich schämen ...
E_C19_Dec_Chase01_8,Nicht wahr. Ihr habt mir einen Namen gegeben.
E_C19_Dec_Chase01_9,"Und mir Aufträge gegeben ... Ihr habt mir sogar vergeben, obwohl ich Euch töten wollte."
E_C19_Dec_Chase01_10,Ihr habt mir alles gegeben. Ich habe viel bekommen.
E_C19_Dec_Chase01_11,... Haha. Schön das von dir zu hören.
E_C19_Dec_Chase01_12,Aber da wir nun bei diesem Thema sind ...
E_C19_Dec_Chase01_13,"Hast du dir überlegt, was du als Geschenk erhalten möchtest?"
E_C19_Dec_Chase01_14,"Urlaub, Lohn, was auch immer du willst ..."
E_C19_Dec_Chase01_15,"Ich werde dir alles geben, was ich kann."
E_C19_Dec_Chase01_16,Natürlich erst nach dieser Reise.
E_C19_Dec_Chase01_17,... Das ist schwer. Fühlt sich an wie eine Hausaufgabe von Demia.
E_C19_Dec_Chase01_18,Haha. Denke gut darüber nach.
E_C19_Dec_Chase01_19,"Das, was ich haben möchte ..."
E_C19_Dec_Chase01_20,"Das, was ich brauche ... was ich will ..."
E_C19_Dec_Chase01_21,Hmmm ...
E_C19_Dec_Chase01_22,"Mensch, wo ist er nur hin?"
E_C19_Dec_Chase01_23,Sonst werden wir von Frau Hauptmann zurecht gewiesen.
E_C19_Dec_Chase01_24,Ich hab ihn! Chase!!
E_C19_Dec_Chase01_25,Hmm ... Chase?
E_C19_Dec_Chase01_26,Schläft er etwa im Stehen?
E_C19_Dec_Chase01_27,Chase!!
E_C19_Dec_Chase01_28,... Clause.
E_C19_Dec_Chase01_29,"Wenn du hier einschläfst, wirst du noch krank."
E_C19_Dec_Chase01_30,"Oder bist du traurig, weil Frau Hauptmann dich bestraft hat?"
E_C19_Dec_Chase01_31,"Nein, ich dachte nur ..."
E_C19_Dec_Chase01_32,... Es ist zu spät ...
E_C19_Dec_Chase01_33,Zu spät? Wofür?
E_C19_Dec_Chase01_34,"Die Prinzessin hat mir gesagt, ich soll über mein Geburtstagsgeschenk nachdenken."
E_C19_Dec_Chase01_35,Mir fällt aber nichts ein ... Dabei ist schon der ganze Tag vergangen.
E_C19_Dec_Chase01_36,Haha. Das ist tatsächlich eine harte Aufgabe.
E_C19_Dec_Chase01_37,(Hmm ... Will sie sich damit für das Geburtstagsgeschenk bedanken?)
E_C19_Dec_Chase01_38,Wenn dir aber nichts einfällt ...
E_C19_Dec_Chase01_39,Was magst du denn?
E_C19_Dec_Chase01_40,Was ist mit Essen!!
E_C19_Dec_Chase01_41,... Das was ich mag ...
E_C19_Dec_Chase01_42,Ich hab’s.
E_C19_Dec_Chase01_43,Oh! Dann solltest du der Prinzessin sofort mitteilen ...
E_C19_Dec_Chase01_44,Mein Name. Ich mag meinen Namen.
E_C19_Dec_Chase01_45,... Was?
E_C19_Dec_Chase01_46,"Ich mag auch die Schulterplatten, die Demia mir gegeben hat."
E_C19_Dec_Chase01_47,"Und auch das Taschentuch, das mir die Prinzessin gegeben hat."
E_C19_Dec_Chase01_48,"Patrouille, Garde, Clause, Loman, Demia, Prinzessin ..."
E_C19_Dec_Chase01_49,Ich mag euch alle.
E_C19_Dec_Chase01_50,... obwohl Demia ein wenig beängstigend ist.
E_C19_Dec_Chase01_51,"Hahaha. Frau Hauptmann ist wirklich beängstigend, wenn sie wütend ist."
E_C19_Dec_Chase01_52,Hmm. Ich habe meine Antwort gefunden. Ich werde die Prinzessin aufsuchen.
E_C19_Dec_Chase01_53,"Die Prinzessin wartet. Ich werde zurück sein, bevor es zu spät ist."
E_C19_Dec_Chase01_54,Oh? Warte doch!!
E_C19_Dec_Chase01_55,Haha ... Nun ja ...
E_C19_Dec_Chase01_56,"Er wird schon in Ordnung sein, oder?"
E_C19_Dec_Chase01_57,"Die Prinzessin wird sich freuen, das zu hören."
E_C19_Dec_Chase01_58,"Ich sagte, er solle nachdenken ... aber wo ist er nur hin?"
E_C19_Dec_Chase01_59,"Ich habe Clause zu ihm geschickt, also dürfte er bald hier sein."
E_C19_Dec_Chase01_60,... Wenn es aber zu spät wird oder etwas mit Clause passiert ...
E_C19_Dec_Chase01_61,Das wird nie passieren. Mach dir keine Sorgen.
E_C19_Dec_Chase01_62,Du weißt doch. Er ist keine Gefahr mehr.
E_C19_Dec_Chase01_63,Aber ...
E_C19_Dec_Chase01_64,Es ist Zeit für das Abendessen. Ich sollte langsam alles vorbereiten.
E_C19_Dec_Chase01_65,Ich werde es übernehmen.
E_C19_Dec_Chase01_66,"Nur dumm rumstehen, kann ich leider nicht."
E_C19_Dec_Chase01_67,Gut. Danke.
E_C19_Dec_Chase01_68,Prinzessin!!
E_C19_Dec_Chase01_69,Chase. Wo warst du ....
E_C19_Dec_Chase01_70,"Das, was ich mag. Ich habe es gefunden ..."
E_C19_Dec_Chase01_71,"Hmm? Das, was du magst ..."
E_C19_Dec_Chase01_72,... Gut. Sag es. Was magst du am liebsten?
E_C19_Dec_Chase01_73,Da gibt es eine Menge.
E_C19_Dec_Chase01_74,Ich mag meinen Namen.
E_C19_Dec_Chase01_75,... Was?
E_C19_Dec_Chase01_76,Mein Name. Patrouillieren. Prinzessin. Demia. Clause. Loman.
E_C19_Dec_Chase01_77,"Das Taschentuch, das Ihr mir gegeben hat. Unseren Spaziergang. Euch zu beschützen ..."
E_C19_Dec_Chase01_78,"Genug, genug ..."
E_C19_Dec_Chase01_79,... Dafür brauchtest du so lange?
E_C19_Dec_Chase01_80,Clause hat mir geholfen. Ich habe es nach langem Überlegen herausgefunden.
E_C19_Dec_Chase01_81,... Haha ...
E_C19_Dec_Chase01_82,Hahahaha.
E_C19_Dec_Chase01_83,Prinzessin?
E_C19_Dec_Chase01_84,... Habe ich etwas Falsches gesagt?
E_C19_Dec_Chase01_85,"Nein, überhaupt nicht."
E_C19_Dec_Chase01_86,Danke. Dass du mir das erzählt hast.
E_C19_Dec_Chase01_87,"Lass mich sehen ... Du hast dir viele Gedanken gemacht, also muss ich dich dafür belohnen."
E_C19_Dec_Chase01_88,"Dein Name ... die Dinge, die du magst."
E_C19_Dec_Chase01_89,Chase. Dein Name ist von jetzt an Chase.
E_C19_Dec_Chase01_90,... Chase ...
E_C19_Dec_Chase01_91,Ist mein Name.
E_C19_Dec_Chase01_92,"Wenn du dich an nichts erinnerst,"
E_C19_Dec_Chase01_93,werde ich dir einen Sinn des Lebens geben.
E_C19_Dec_Chase01_94,Lebe von nun an nur für mich.
E_C19_Dec_Chase01_95,... Ja ... Das finde ich gut.
E_C19_Dec_Chase01_96,Das ...?
E_C19_Dec_Chase01_97,Du kannst jetzt ein neues Leben mit einem neuen Namen leben.
E_C19_Dec_Chase01_98,"Es sollte einen Tag geben, an dem du es feiern kannst."
E_C19_Dec_Chase01_99,Lass uns heute zu deinem Geburtstag machen. Wie ist das?
E_C19_Dec_Chase01_100,... Geburtstag ...
E_C19_Dec_Chase01_101,Ein weiteres Geschenk von Prinzessin ...
E_C19_Dec_Chase01_102,Ich mag es. Es gefällt mir sehr gut.
E_C19_Dec_Chase01_103,"Ich mag alles, was die Prinzessin mir gibt."
E_C19_Dec_Chase01_104,Und das hier mag ich genauso sehr wie mein Name.
E_C19_Dec_Chase01_105,"Ich bin froh, dass es dir gefällt."
E_C19_Dec_Chase01_106,"Wir sollten aber eine Geburtstagsfeier veranstalten, auch wenn es etwas spät ist."
E_C19_Dec_Chase01_107,"Ich werde Demia sagen, dass sie mehr Essen zubereiten soll."
E_C19_Dec_Chase01_108,Ich bin Chase.
E_C19_Dec_Chase01_109,"Egal was von jetzt an passiert und egal, ob ich meine Erinnerungen zurückbekomme."
E_C19_Dec_Chase01_110,"Solange diejenigen, die ich mag, an meiner Seite sind ..."
E_C19_Dec_Chase01_111,Werde ich für immer als Chase leben ...
E_C19_Dec_Esker01_01,Esker! Alles Gute zum Geburtstag!
E_C19_Dec_Esker01_02,"Nun ... Es ist zwar nur eine Kleinigkeit, aber ich habe etwas vorbereitet!"
E_C19_Dec_Esker01_03,Warum erinnerst du dich an meinen Geburtstag?
E_C19_Dec_Esker01_04,Natürlich werde ich mich daran erinnern!
E_C19_Dec_Esker01_05,...
E_C19_Dec_Esker01_06,"Jedes Jahr, wenn mein Geburtstag kommt, träume ich von dieser Erinnerung."
E_C19_Dec_Esker01_07,Hmm? Worüber redet Ihr?
E_C19_Dec_Esker01_08,"Wie auch immer, ich bin gerührt. Haha."
