KEY,ChineseSimplified
HERO_VOICE_JOIN_LEWSIA3,参加队伍（3－4星）
HERO_VOICE_VICTORY_LEWSIA3,战斗胜利（3－4星）
HERO_VOICE_AWAKE_LEWSIA3,觉醒剧情画面（3－4星）
HERO_VOICE_TRANS_LEWSIA3,突破剧情画面（3－4星）
HERO_VOICE_INNREACTION_LEWSIA3,在旅馆的反应（3－4星）
HERO_VOICE_SKILL_1_EZEKIEL,使用技能1（暴走状态）
HERO_VOICE_SKILL_2_EZEKIEL,使用技能2（暴走状态）
HERO_VOICE_SKILL_3_EZEKIEL,使用技能3（暴走状态）
HERO_VOICE_SKILL_4_EZEKIEL,使用技能4（暴走状态）
HERO_VOICE_WELCOME_1,欢迎词1
HERO_VOICE_WELCOME_2,欢迎词2
HERO_VOICE_WELCOME_3,欢迎词3
HERO_VOICE_TOUCH_1,互动1
HERO_VOICE_TOUCH_2,互动2
HERO_VOICE_TOUCH_3,互动3
HERO_VOICE_TOUCH_4,互动4
HERO_VOICE_TOUCH_5,互动5
HERO_VOICE_TOUCH_6,互动6
HERO_VOICE_BUY_1,感谢词1
HERO_VOICE_BUY_2,感谢词2
ARCHIVE_3D_SHOW,浏览3D
ARCHIVE_UNIQUE_WEAPON_INTRODUCE,专属武器介绍
ARCHIVE_UNIQUE_WEAPON_NOTHOLDING,这是还没获得的专属武器。
ARCHIVE_TREASURE_INTRODUCE,专属宝物介绍
ARCHIVE_TREASURE_NOTHOLDING,这是尚未获得的专属宝物。
ARCHIVE_ARTIFACT_INTRODUCE,神器介绍
ARCHIVE_ARTIFACT_NOTHOLDING,这是尚未获得的神器。
ARCHIVE_ITEM_INTRODUCE,道具介绍
ARCHIVE_ITEM_NOTHOLDING,这是还没获得的道具。
ARCHIVE_ITEM_NO_STORY,准备介绍中。
ARCHIVE_KILL_RATE,击杀率
ARCHIVE_RAID,龙之战役
ARCHIVE_CHALLENGERAID,挑战战役
ARCHIVE_GUILDRAID,公会战役
ARCHIVE_WORLDBOSS,世界BOSS
ARCHIVE_GODKING,新王的试炼
ARCHIVE_ECLIPSE,赤月模式
ARCHIVE_CHAPTER_BOSS,章节BOSS
ARCHIVE_CONQUEST,讨伐战斗
ARCHIVE_NORMAL_MONSTER,一般怪物
ARCHIVE_MONSTER_INTRODUCE,介绍
ARCHIVE_STAT,一般
ARCHIVE_SKILL,技能
ARCHIVE_EASY_NORMAL,简单＆一般模式
ARCHIVE_RAID_SINGLE,单人战役
BIRTH_MONTH_1,守护之月
BIRTH_MONTH_2,智慧之月
BIRTH_MONTH_3,观察之月
BIRTH_MONTH_4,生命之月
BIRTH_MONTH_5,希望之月
BIRTH_MONTH_6,爱情之月
BIRTH_MONTH_7,和谐之月
BIRTH_MONTH_8,活力之月
BIRTH_MONTH_9,真理之月
BIRTH_MONTH_10,义理之月
BIRTH_MONTH_11,幸运之月
BIRTH_MONTH_12,忍耐之月
ARCHIVE_CONSTELL_1,守护者梅勒帝司
ARCHIVE_CONSTELL_2,贤者萨图亚
ARCHIVE_CONSTELL_3,预言者罗希毕尔
ARCHIVE_CONSTELL_4,圣者阿勒米尔
ARCHIVE_CONSTELL_5,大盗葛拉翰
ARCHIVE_CONSTELL_6,吟游诗人米拉
ARCHIVE_CONSTELL_7,协调者诺特穆恩
ARCHIVE_CONSTELL_8,征服者坎达拉
ARCHIVE_CONSTELL_9,审判者雷安
ARCHIVE_CONSTELL_10,女帝阿希彼雅
ARCHIVE_CONSTELL_11,名射手奇瑟拉
ARCHIVE_CONSTELL_12,流浪者赫西波利亚
HERO_RACE_HUMAN,人类
HERO_RACE_BABARIAN,野蛮人
HERO_RACE_DWARF,矮人族
HERO_RACE_GOBLIN,哥布林
HERO_RACE_ORC,兽人族
HERO_RACE_DEMON,魔族
HERO_RACE_ELF,精灵族
HERO_RACE_TAMIA,灵鹿族
HERO_RACE_DARKELF,黑暗精灵
HERO_RACE_HARPY,鹰身人族
HERO_RACE_DEMON_DRAGON,魔族（恶龙）
HERO_RACE_UNDEAD,不死族
HERO_RACE_NOUM,矮人
HERO_RACE_LUNA,半兽（兔子）
HERO_RACE_DRAGON,龙
HERO_RACE_ANGEL,天堂神族
HERO_RACE_VAMP,吸血鬼
HERO_RACE_HALFELF,半精灵
HERO_RACE_HALFDEMON,魔族（混血）
HERO_RACE_REDPER,赤绒族（过去曾是人类）
HERO_RACE_VISKA,魔族（附身人类）
HERO_RACE_REQUINA,半兽（狐狸）
HERO_RACE_HOMUN,人工生命体
HERO_RACE_PAVEL,人类（龙的灵魂附身）
HERO_RACE_DRAGON_MAN,龙族
ARCHIVE_RACE_26,妖精
HERO_RACE_GLADI,半兽（山猫）
HERO_RACE_KARA,人形魔像
HERO_RACE_NIA,人类（具备魔兽之血）
HERO_RACE_GHOST,幽灵
HERO_RACE_LIZARDMAN,蜥蜴人
HERO_RACE_KIRZE,兽人（猫）
HERO_AGE_NO_INFO,？？？
HERO_AGE_MARIA,125岁（身体停留在25岁）
HERO_AGE_DIMAEL,163岁（人类年龄：16）
HERO_AGE_MIRURU,27岁（精神年龄：12岁）
HERO_AGE_SONIA,16岁（被创造出来后身体就没有继续成长）
HERO_AGE_PAVEL,243岁（龙：？？？）
HERO_AGE_MIRRIANE,12岁（身体年龄：18）
HERO_AGE_TANYA,18岁（身体年龄：18岁）
HERO_AGE_EZEKIEL,19岁（自称）
HERO_AGE_VISKA,14岁（恶魔：？？？）
CREATURE_STORY_1,奥勒贝利亚王国的见习骑士，年幼时便目睹双亲被侵略村庄的魔族杀害，长大后又亲眼看见刺客团杀死剑术师傅的情景，对他的内心造成创伤，也因为这样他非常害怕周围的人死去。这也成为他寻找同样身为孤儿且前往远征却迟迟未归的结拜兄弟克劳斯的一大契机。
CREATURE_STORY_2,追随女神露亚的见习牧师，在教团中备受期待，拥有高度的信仰，在使用露亚之力操控物质方面拥有相当程度的天赋，见习初期连高阶牧师们都因为她的天分感到相当震惊。虽然她拥有温和的心性且认为牧师是最适合自己的职业，但面对不义之事时她绝不心软。
CREATURE_STORY_3,克丽欧的记忆始于贤者之塔，从小由大贤者多米尼加抚养长大的她是一个天赋异禀的闯祸精，因为她无法驾驭强大的魔力，导致部分红色之塔不幸遭受破坏，但贤者之塔的大贤者多米尼加并未因此惩罚她，所以其他同伴都很讨厌且排挤她。她也因此而变得相当任意妄为与目中无人，但事实上她是一个感情丰富且害怕被抛弃的人。
CREATURE_STORY_4,受恩人多米尼加的拜托，目前正在担任克丽欧的护卫，因为某个因素而赌上性命逃离自己原本隶属的刺客团。由于先前一直都是过着刺客的生活，所以不太懂得去尊重他人，相对地，由于他经历过许多事情，无论遇到何种情况皆能立刻做出判断，对于自己有恩的人，他同样也会给予回报。
CREATURE_STORY_5,野蛮人王国的坚强战士高尔，只要他挥动双斧就一定会溅血！战士高尔非常凶残且不允许任何人接近他，这样的他突然消声匿迹了10年，后来他再度现身时，从前那残暴的个性已经荡然无存。偶尔自己无心的行为遭到数落时，他也不会再露出野蛮人好战的特性，反而是以微笑与豪爽的笑声响应。特别是他观看孩童与动物时那温暖的眼神更是常让人觉得惊讶。
CREATURE_STORY_6,如同坚石般的矮人之王，100年前和圣剑勇者共同对抗魔王军，因为击溃了魔王军的轴心势力恶龙军团，所以被视为是最知名的英雄。其实他是受他人所托才会勉强接下王位，虽然经常抱怨王的生活非常枯燥乏味，但他还是全心全意扮演好自己的角色。
CREATURE_STORY_7,最喜欢研发强大武器的白化症哥布林，从小就因为肤色而被其他哥布林欺负，对于同族没有任何情感可言。为了测试武器的性能，甚至会毫不犹豫地以同族为对象进行射击、爆破、以及摧毁！话虽如此他还是懂得向帮助自己的人道谢，也因为这样他和罗伊成为了朋友。但因为他不太擅长记住他人的长相，所以也经常会对罗伊开枪。
CREATURE_STORY_8,操控雷电的兽人族的大萨满，同时是天风兽人族的酋长和兽人联盟中备受敬仰的伟大长老。是无数兽人族萨满的师父，也是他们的精神支柱。他是少数能做预知梦的预知能力者，而且还拥有能解析梦境的丰富智慧。
CREATURE_STORY_9,喜欢恶作剧的迷人魅魔，她比任何人都更像魔族，唯一的生存目的是寻找乐趣和享受。魔族战争时她并没有入侵大陆，而是选择独自流浪寻找乐趣。对她来说，凯尔是不惜让她背叛同族也想一起奋战的有趣人类。遇见凯瑟后她彷佛找到了另一个乐趣，于是便心怀期待参加了他的冒险，偶尔遇见俊俏的男子时，她也会造访该男子的梦境。
CREATURE_STORY_10,憧憬圣剑及被圣剑选中的勇者的高贵精灵族公主，因为个性正直，于是便付出一切的努力执行正义，同时也希望他人能和自己一样行侠仗义。若是有人走上歧路，就算对方是圣剑勇者，她也会不吝惜给予忠告。但她的强硬态度偶尔也会让其他人误会。目前为了抚慰妹妹朵莎尔妲的孤寂而经常造访塔。
CREATURE_STORY_11,过去曾是露亚圣女的她堕落了，她诅咒露亚且被黑暗污染，变成一个操控乌鸦且愤世嫉俗的魔女。曾经是凯尔同伴且身为英雄的此一美丽女子在凯尔行踪不明时也一起消声匿迹了。后来她以堕落魔女的身分担任魔王军的先锋，并且对许多人造成了威胁。但最近她似乎不是以魔王军的身分行动，而是以个人的身分在策划其他事情。
CREATURE_STORY_12,曾经是让人闻风丧胆的海盗女帝，自从触碰到诅咒道具而导致身体变小后便失去部下与同伴。但她并未因此而屈服，并且重新组成海盗团朝向目标迈进。因为身体变小的关系，精神也有变幼稚的倾向，但她很努力想恢复成全盛期的自己，目前率领由哥布林与豺狼人组成的2代「米露露海盗团」。
CREATURE_STORY_13,艾莉朵拉的大贤者，同时也是最具智慧的德鲁伊。她是100年前对抗魔族侵略的英雄之一，长久岁月生存至今的她被视为奥斐斯大陆最具智慧的人，她不仅深具慧眼且拥有神秘的力量，同时也是无数精灵族的师父，艾莉朵拉现任的王与其子孙们几乎都曾获得罗兰的指导。近来她感应到艾莉朵拉森林的异常，于是便在等待圣剑的主人出现，并且准备为他开启通往未来的路。
CREATURE_STORY_15,正直且比任何人都富有正义感的他隶属奥勒贝尔守护骑士团，王城内的许多人都称他为奥勒贝尔的守护骑士且相当依靠他，但因为物欲或权力对克劳斯本人毫无任何吸引力，他在骑士团当中的影响力并不大。和凯瑟、芙莱儿都在孤儿院长大，因此他和朋友们都深爱着这个和大家一起共同成长的国家。自愿加入了这次前往调查王之平原的远征队。
CREATURE_STORY_16,与灵魂交流且引导他们的善良天真的灵鹿族引渡者，灵鹿族是与大自然共处，能洞悉大自然流动且拥有引导亡者力量的种族。即使是在「灵鹿族」里，乐皮拥有的灵魂引导能力也可说是数一数二的优秀，为了避免在森林迷路的灵魂变成恶灵，他会引导灵魂前往正确的方向。他能掌握星之路、歌颂亡者的灵魂且引导他们返回冥界，可以说是最佳的引渡者。
CREATURE_STORY_17,沉浸于失去妹妹的悲伤，誓言要向同族报仇的孤独黑暗精灵。他被派遣到埃伊纳沙漠时差一点丧命，好不容易回到故乡却发现妹妹早已被当作祭品，此一消息让他深深受到打击。他在黑暗中呼喊妹妹的名字，并且逐渐失去理智，后来他诅咒害死妹妹的同族，并且誓言要復仇。
CREATURE_STORY_18,帝国的千金小姐，全名是「蕾娜‧波恩‧修坦因」，自由奔放且充满力量，扮演为周围的人带来正向影响的角色。比起贵族令人喘不过气的生活，更喜欢自由的佣兵生活。或许是担任佣兵的期间经常和他人接触的关係，从她的行为举止中很难看出一丝丝的贵族气息。因为她从小就具备剑术的天赋，于是便练就了符合其纤细体型的细剑术。近来自从她拒绝可疑的委託后就一直感觉有人在监视自己。
CREATURE_STORY_19,冰龙的灵魂附身于人类躯体的特殊存在，是100年前凯尔的同伴之一，也是从非常久以前便生存至今的上古冰法师，虽然附身的龙魂一直都处于沉睡状态，但偶尔会醒来并向他传达爱的私语。在派遣罗迪娜的帝国内被视为重要人物，并受到他们的监视与保护，但本人只想过与世无争的低调生活。
CREATURE_STORY_20,吉特里昂‧希‧黛弥儿，奥勒贝尔王国守护骑士团的队长。她使用巨大盾牌与长矛的英姿看起来几乎能以一挡百，要穿透她的盾牌几乎是一件不可能的任务。她相当疼惜部下，为了国家不惜赴汤蹈火，个性非常正直。她看出王城的气氛和以前完全不一样，于是便想快点将守护骑士团队长的职务让给克劳斯，自己守护独自承受贵族强大攻势的史嘉蕾。
CREATURE_STORY_21,正直、重视名誉的战士，是操作风的鹰身人的一员，也是重视鹰身人战士荣誉感的光荣战士。为了那份荣誉感，无论对手是谁都一定会奋不顾身地将其击倒，拥有相当强烈的意志。目前在鹰身人战士中也是相当出色的战士，深受年幼的鹰身人战士尊敬，同时也被视为目标。
CREATURE_STORY_22,帝国第一狙击手，非常喜欢熊。帽子经常都会有熊耳朵形状的装饰…会狩猎老虎，但绝对不会狩猎熊！下定决心不会利用自己的射击技能做坏事，儘管自己的技能最适合进行暗杀，但他却反其道而行选择守护他人。目前负责护卫被分类为帝国主要人物的帕菲，并且和他一起生活在风地雪山。
CREATURE_STORY_23,魔王军最勇勐的恶魔骑士，同时也是最精锐的恶龙骑士团的队长。因为某种契机而和现在的魔女玛莉亚一起行动，并且协助她。100年前担任魔王军的先锋击败了无数的联合军，并且狩猎了身为世界守护者的龙群，虽然许多人对于她会甘愿待在魔女底下工作且将她视为主人的情况感到相当疑惑，但她并不介意，只想全心全意向魔女效忠。
CREATURE_STORY_24,露亚教团的异端分子，最不适合担任牧师的人物。巴杜因从小就是重视健全的露亚教团眼中的「不良分子」，后来获得高阶牧师裴勒曼的帮助而进入教团，穿上教服后的巴杜因却觉得相当彆扭，而且教团的生活对他来说也很煎熬。但后来他突然开始改邪归正，并且踏上高阶牧师之路。
CREATURE_STORY_25,目前已消失的克莱儿公国的公主。克莱儿公国于魔族战争刚开始时便被魔族消灭，那是一个守护包含上古文明遗迹与技术等无数祕密的魔导公国。珍最后带着那些秘密一起迎接了死亡，后来魔王军的军师，同时也是干部的莫铎克将她创造成不死族，于是她便因为某种魔法而获得了自我意识。目前她为了寻找失去的记忆与踪迹而准备踏上旅程。
CREATURE_STORY_26,奥勒贝尔的贵族千金，在贤者之塔是首屈一指的天才，获得代表「魔力量」的「紫色」称号。小时候便因为大人们的一些苦衷而被带来贤者之塔，但却一直不失身为贵族千金的高贵。小时候一直无法理解为何父母亲要和自己分开生活，但现在她终于明白自己在这里的原因了。现在回到家后，身旁总是有如同家人般的女仆陪伴。
CREATURE_STORY_27,奥勒贝尔皇宫内存在一个空间无限的书库，长久以来守护那个书库的是矮人族的里欧。他已经将书库里的书全都背到滚瓜烂熟，是王城内最博学的人，许多人都会前来书库想要借助他的智慧。但至今和他人接触时他还是觉得有些别扭。
CREATURE_STORY_28,深受身为皇室骑士团团长的父亲影响，是一名从小就接受严厉训练的精锐剑士。如果有人问：「皇室中攻击速度最快的是谁呢？」，大家都会异口同声回答说是「弗鲁斯！」。他的剑术在战场上让无数的骑士都跪下臣服，他甚至晋升为皇室直属护卫骑士团的副团长，深受皇室所有人的敬仰。因为他很清楚自己的外貌出众，所以非常讨厌光看外表而接近他的人。他自己本身也比较重视内在的美丽，但偶尔会因为陶醉于自己的美丽而触发另一个自我。
CREATURE_STORY_29,很难见到的梦幻兽人－鲁鲁族，居住在非常寒冷的地区，忌讳和其他种族接触。但是露娜在鲁鲁族中却是一个异类，她并不是对种族感到不满，也不是想到外面的世界学习与实现某个目标。只是为了摘取绽放在雪堆中的花朵，并且想要利用结冻的树枝制作弹弓，以及被红色果实的香甜味道吸引，就这样不自觉一步步地走出了冰山，看见眼前满满的红萝卜后，因为一时太激动就向前冲，结果莫名其妙就来到了这个地方。
CREATURE_STORY_30,美丽的水之牧师，同时也是温柔且感性的蓝龙。她在遥远的过去曾经是沙漠部落追崇的对象，但因为某种原因而陷入了沉睡。她治水使土地丰饶，并且总是为了他人贡献自己的力量，人类为了她在绿洲湖泊内侧使用黄金打造了一座流动神殿，当沙漠散发不详的气息时，她会再次苏醒并运用力量守护人类。
CREATURE_STORY_31,为了惩罚在地上引起溷乱的魔族而降临的天堂神族天使，扮演斥侯和侦查的角色，也会对在地上发现的魔族进行处刑，责任感强烈且对于错误的事情皆能果断下判断。深爱着地上的人类与生物，努力让这个世界不再继续被魔族玷污。
CREATURE_STORY_32,100年前在和魔族之间的战斗中与凯尔同行的吸血鬼公主。她是至今已生存500年以上的高贵纯种吸血鬼，被吸血鬼们称为女王的她拥有几乎等于不死的躯体。由于在和魔族之间的战争中协助凯尔战斗，所以几乎耗尽了大部分的力量，导致拥有不死之躯的公主其身形变得跟小孩一样。后来连续100年间，她融入人类世界观看世界的变化，消耗的力量也一点一滴慢慢恢复了。不过，原本静悄悄的魔族再次出现后，圣剑也随之觉醒，感受到那股力量波动的露伊希亚便踏上旅程寻找新的勇者人选。
CREATURE_STORY_33,拥有双色瞳孔且能穿梭次元的神秘魔法师，总是露出从容的笑容，这全都是因为他具备能看穿一切的观察力。他对具备特殊能力的人特别感兴趣，也很喜欢测试他们。如同神力般的空间转移魔法甚至能穿越次元，虽然他的一切行动都是谜，但可以确定的是他也想帮助大家。
CREATURE_STORY_34,奥勒贝利亚王国的天才魔导工学者，个性开朗且不会因为失败而屈服。她的梦想是制作让一般人也能使用的魔法装置，经过数年的研究终于创造出了魔导生命体，并且让该生命体担任自己的助手。在魔族出现后，为了让一般人也能对抗魔族，她在进行研究的同时也研发了武器。
CREATURE_STORY_35,被称为银色狂曲的这名男子对于每一件事都超没诚意，对他人毫无任何责任感，而这也是众所皆知的事情。不过一旦开始战斗，他就会化身为任何人都不敢侵犯的银狼驰骋战场。直到现在都没有人知道他的过去，可以确定的是，他在战斗时会疯狂到敌友不分。另外，战斗时待在他身旁比抱着一颗不定时炸弹战斗还更危险。
CREATURE_STORY_36,露亚教团的圣骑士团团长，从魔族手中拯救许多人的英雄。他是一名身经百战的勇勐圣骑士，年轻时便是一名对抗奥勒贝利亚各地魔族的勇者。过去也曾是凯瑟、芙莱儿、克劳斯隶属的孤儿院的院长，是训练无数奥勒贝利亚勇者的精神支柱。步入老年时便认为自己差不多该退休了，但因为身体一直都很健壮，所以他的退休申请一直迟迟未能通过。
CREATURE_STORY_37,狞笑面具团的刺客，同时也是罗伊的同学。身为半精灵的她因为身体能力较为卓越，所以刺客能力优于罗伊，但大规模作战时需要的处世之道与人际关係都远远落后罗伊，因此她觉得非常自卑。原本她一直都是独自处理组织内叛徒的「清道夫」，罗伊背叛组织离开后，为了确定事情的真相，于是她便抛下其他任务且开始寻找罗伊。见到罗伊后，她会做出何种选择呢…
CREATURE_STORY_38,他是让克莱儿公国灭亡的强悍魔族干部之一的鲁希基耶的儿子，身为魔族与人类溷血的他平常非常深思熟虑且谨慎，战斗开始后，他体内的魔族血就会沸腾让个性变狂妄且充满暴力倾向。儘管他连父亲的长相和名字都不清楚，但他并不会刻意隐瞒父亲传承下来的这股力量。因为他并非完全继承魔族的血缘，目前只有一隻手臂会变形是其缺点，而且那还是加工而成的力量，所以为了能完全控制手臂的力量，他吃了非常多的苦头。倘若手臂的力量完全失控的话，就必须立刻逃跑才行。
CREATURE_STORY_39,菲斯彼亚最大、最华丽的酒店「金砖」的老闆，儘管金砖外观是华丽的酒店，但它也是最高阶层与财团隐密会面的地方，以及许多高级资讯流通的地方。与生俱来的魅力和口才让她深得人心，她之所以会不断收集资讯…是因为她真正的身分是贩售机密的资讯商人，同时也是武器商人。
CREATURE_STORY_40,100多年前就存在的克莱儿公国的骑士，深深爱慕着珍‧克莱儿。希欧是克莱儿公国的第一骑士，也是被赏赐蕴含雷电力量的雷吉欧斯的珍的长矛。在与魔族军队战斗的过程中，封印被解除的山脉堡垒突然失控了，于是希欧便奉珍的命令前往处理这件事，但魔族却趁机派遣强悍的干部对克莱儿王城发动总攻击，满身疮痍回来的希欧很快地就和魔族干部展开了激烈的战斗，但光凭他一人根本就难以挽回局势。战斗结束后，王城早已被魔族摧残殆尽，而希欧则抱着珍的遗骸哽咽，后来他为了能永远守护珍而和某个特殊的存在缔结契约，并因此而陷入沉睡。
CREATURE_STORY_41,牧师不足的那段时期，她继承了能治疗他人的医疗术。和父亲一样具备身为医者的天赋，但因为研究欲望太强烈了，她甚至还研究了身为医者不该碰的毒物。最后她被包含父亲在内的其他医者们抛弃，但因为只有埋首于研究时才让她觉得自己还活着，所以她并不介意，而且继续专心地进行研究。由于她对于生命有基本的伦理意识，所以一直无法确认毒物的实验结果，然而，自从名为「魔族」的珍贵实验体出现后，让她觉得非常兴奋。
CREATURE_STORY_42,非常久以前受到灵物赤毧族的诅咒（？），身体因此变成和赤毧族一样的奥勒贝利亚皇家机械工，自从身体变成和赤毧族一样后，他也就获得了永生，所以让他几乎忘了自己的年纪。他还是人类时发明了最早的携带型钟表，但奥勒贝利亚的人却不了解其中的价值。他为了让自己的发明获得认同而前往帝国，但在途中却被赤毧族误会是盗猎者而被施下了诅咒。由于当时魔力凝聚在怀表中，使其获得能调整生物体时间的能力，结果就连自己的时间都停止了。
CREATURE_STORY_43,「魔族异端分子」，她是一个将吞噬强悍魔族借此增强自身力量视为目标的真正的恶魔！为了吞噬来到物质世界的强悍魔族，于是便穿越了次元裂缝。她对自己立下誓约，为了让即将被自己吞噬的对象感到屈辱，她会附身在濒临死亡的女童身上显灵。她看不惯那些假装自己很强的弱者，相反地，对于那些明知自己很弱却会努力变强的人则给予认同。
CREATURE_STORY_44,她原本是奥勒贝利亚军方的军官，在举发内部的腐败后选择离开军队。高层为了掩饰自己的腐败，不断地派遣刺客企图杀她灭口，独自与军队战斗的她身心慢慢呈现满身疮痍的状态。正巧就在那个时候奥勒贝尔的高阶贵族达芙尼尔‧波恩家族向她提出一项交易，交易内容是希望她当某个特别人物的仆人，如此一来她也能获得保护。最后她成为贤者之塔拥有紫色称号的爱纱的专属仆人。目前她以仆人兼护卫的身分活跃当中，并且持续地将自己的薪资寄送到某个地方。
CREATURE_STORY_45,猎捕威胁人类的怪物是其专长的野蛮人终结者，由于体质特殊，所以她拥有优于一般野蛮人战士好几倍的腕力。因为她能轻易操控体积比自己庞大的巨大弓箭，因而获得了行动攻城兵器的称号。她是一个乐于协助他人的善良女性，但开始战斗后便会展现她野蛮人好战的天性，过去曾独自击败萨尔达狂龙，也因此被大家称为屠龙者。
CREATURE_STORY_46,继承上古沙漠王国血统的王子，拥有随心所欲操控沙子的能力。\n他是被称为沙漠战士的马瓦塔部落的年轻族长，并接受过王国继承者的教育训练。\n与特洛帕帝亚族的关系良好，当他们在流动神殿举行仪式，准备唤醒上古神龙时，查毕勒率领战士歼灭了所有接近的魔族，守护了绿洲周围。\n他以战士的身份和再次苏醒的神龙、侍奉神龙的舞姬劳蒂亚一起守护沙漠。\n为了成为不让祖先蒙羞的继承者…
