KEY,Thai
MONTHLYHERO_OPHELIA_BIRTHDAY_DESC,Ophelia มุ่งหน้าไปยังป่าลึกลับกับ Esker Esker ยิ้มเจ้าเล่ห์แบบนี้จะพานางไปไหนกันนะ
MONTHLYHERO_CROW_BIRTHDAY_DESC,Mitra กับ Pansirone พยายามอบเค้กวันเกิดสำหรับวันเกิดของ Crow อยู่ พวกเขาจะสามารถทำเค้กได้โดยปราศจากปัญหาหรือไม่
MONTHLYHERO_LAIAS_BIRTHDAY_DESC,Lilia กับ Neraxis สร้างพันธมิตรเพื่อวันเกิดของ Laias ปีนี้จะเกิดอะไรขึ้นกันนะ
MONTHLYHERO_SELENE_BIRTHDAY_DESC,ผู้อาศัยในป่ารวมตัวกันเพื่อฉลองวันเกิดขององค์หญิง และมีแขกที่ไม่คาดคิดมาเข้าร่วมด้วย
MONTHLYHERO_MARIA_BIRTHDAY_DESC,Morrah เตรียมของขวัญวันเกิดเล็ๆ ให้ Maria ทว่า Maria โกรธ Morrah หลังจากได้รับของขวัญ
MONTHLYHERO_ZAFIR_BIRTHDAY_DESC,Hoabis เตรียมบางอย่างสำหรับวันเกิดของ Zafir ในวันที่พวกเขามาถึง Orvel!
MONTHLYHERO_CLEO_BIRTHDAY_TITLE,~ ไปด้วยกันตอนนี้กับของขวัญที่ใหญ่ยักษ์ ~
MONTHLYHERO_PHILLOP_BIRTHDAY_TITLE,~ วันแปลกประหลาด ~
MONTHLYHERO_LUNA_BIRTHDAY_TITLE,~ ตำนานแห่งทุ่งหิมะ ~
MONTHLYHERO_EPIS_BIRTHDAY_TITLE,~ อยากตอบแทนบุญคุณ ~
MONTHLYHERO_CECILIA_BIRTHDAY_TITLE,~ ไม่มีวันหยุดพักผ่อนสำหรับคนร้าย ~
MONTHLYHERO_RICARDO_BIRTHDAY_TITLE,~ เกษียณนั้น ยังอีกยาวไกล ~
MONTHLYHERO_DOSARTA_BIRTHDAY_TITLE,~ ลูกค้าคนไหนๆก็ต้อนรับ ~
MONTHLYHERO_GLADI_BIRTHDAY_TITLE,~ เชิญมาที่ร้านค้าอารีน่า! ~
MONTHLYHERO_CLEO_BIRTHDAY_DESC,Cleo ผู้รอคอยให้ Kasel กับพรรคพวกจัดงานเลี้ยงวันเกิดให้ ต้อนรับ Cleo กลับมาจากข้างนอกอย่างระแวดระวัง...
MONTHLYHERO_PHILLOP_BIRTHDAY_DESC,วงเหล้าแสนพิเศษที่ Yanne และ Gau เตรียมไว้สำหรับงานวันเกิด Phillop แต่เวลายิ่งผ่านไป อาการของเขาก็ดูจะแปลกไป..
MONTHLYHERO_LUNA_BIRTHDAY_DESC,"Juno, May และ Yanne ออกไปแอบหาของขวัญให้ Luna แต่ระหว่างทางไปหาแครอทในตำนานก็ช่างยากลำบากเหลือเกิน... "
MONTHLYHERO_EPIS_BIRTHDAY_DESC,Epis ผู้ออกไปเที่ยวเล่นและสำราญไปกับวันเกิด หลังจากส่งนาง Jane ก็จะเตรียมตัวออกไปไหน
MONTHLYHERO_CECILIA_BIRTHDAY_DESC,ถึงจะเป็นวันเกิด แต่ Cecilia ก็ไม่พลาดที่จะออกไปลาดตระเวนหมู่บ้าน...
MONTHLYHERO_RICARDO_BIRTHDAY_DESC,พอถึงวันเกิดปีที่ 71 ยังไง Ricardo ก็จะส่งใบเกษียณ แต่สิ่งที่กำลังรอเขาอยู่นั้น...
MONTHLYHERO_DOSARTA_BIRTHDAY_DESC,Dosarta ที่กำลังรอ Selene อยู่อย่างเหงาๆ แต่อยู่ๆก็มีลูกค้ามาหานาง Dosarta ก็เลยสร้างของขวัญพิเศษให้เขา...
MONTHLYHERO_GLADI_BIRTHDAY_DESC,วันนี้ก็นึกว่าจะเป็นวันสงบๆของร้านค้าอารีน่าอีกวัน... แต่กลับไม่เป็นอย่างที่คิด! การทดสอบได้ตามมาหา Gladi แล้ว!
MONTHLYHERO_ARCH_BIRTHDAY_TITLE,~ ยินดีต้อนรับทุกท่าน ~
MONTHLYHERO_SCARLET_BIRTHDAY_TITLE,~ หัวใจที่ถูกล็อกในทะเลสาบ ~
MONTHLYHERO_ARCH_BIRTHDAY_DESC,Arch ผู้ไม่ให้ความสำคัญในวันเกิดเท่าไหร่นัก\nกับความทรงจำอันอบอุ่นเกี่ยวกับสาวน้อยที่ฉลองวันเกิดให้เขาเป็นครั้งแรก
MONTHLYHERO_SCARLET_BIRTHDAY_DESC,Scarlet ที่โตเป็นสาวในวันเกิดแต่กลับดูเบื่อหน่ายทั้งวัน\nChase และ Clause จึงช่วยกันแอบหาของขวัญล้ำค่ามาให้...
MONTHLYHERO_GAU_BIRTHDAY_TITLE,~ คู่ควรที่จะได้รับการเฉลิมฉลอง ~
MONTHLYHERO_GAU_BIRTHDAY_DESC,ถึงจะเป็นวันเกิดแต่ Gau กลับรู้สึกเศร้าทั้งวัน\nเพราะงั้นเพื่อนร่วมงานจึงจัดเซอร์ไพรส์วันเกิดให้เขา...
MONTHLYHERO_CHRISHA_BIRTHDAY_TITLE,~ วันนี้วันหยุด!? ~
MONTHLYHERO_CHRISHA_BIRTHDAY_DESC,Glenwys และ Fluss มาหา Chrisha เพื่อฉลองวันเกิดให้ แต่ Chrisha กลับกำลังปฏิบัติหน้าที่อยู่...
MONTHLYHERO_BAUDOUIN_BIRTHDAY_TITLE,~ เรื่องราวที่ไม่มีวันลืม ~
MONTHLYHERO_BAUDOUIN_BIRTHDAY_DESC,Baudouin ยอดนักบวชอันธพาลแห่งศาสนจักร Lua กับเวลาเย็นอันน่าสนุกของเขาซึ่งรวมไปถึงการเลิกดื่มและตามหาสถานที่ไร้ผู้คน
MONTHLYHERO_LILIA_BIRTHDAY_TITLE,~ วันพิเศษของธิดาแห่งน้ำ~
MONTHLYHERO_LILIA_BIRTHDAY_DESC,วันเกิดที่รอคอยมานานของ Lilia มาถึงแล้ว\nLilia ที่กำลังตื่นเต้น ในที่สุดก็ได้รับของขวัญที่ไม่คาดฝัน...
MONTHLYHERO_NYX_BIRTHDAY_TITLE,~ บอกว่าเวลาเพียงพอไง! ~
MONTHLYHERO_NYX_BIRTHDAY_DESC,Rephy และ Oddy ได้เตรียมฉลองวันเกิดอย่างพิเศษให้กับ Nyx ผู้ที่คิดว่าวันเกิดไม่สำคัญ
MONTHLYHERO_ASELICA_BIRTHDAY_TITLE,~ วันที่นางฟ้าถูกปลุก ~
MONTHLYHERO_ASELICA_BIRTHDAY_DESC,ถึงจะเป็นวันเกิดแต่ Aselica ก็ยังหมกมุ่นกับการฝึกซ้อม\nในขณะที่กำลังพักก็ได้ยินเพลงที่คุ้นเคยและความทรงจำเก่าๆก็กลับมา
MONTHLYHERO_CLAUSE_BIRTHDAY_TITLE,~ เจ้ามันสุดยอดที่สุดอย่างที่คิดไว้เลย ~
MONTHLYHERO_CLAUSE_BIRTHDAY_DESC,Kasel และ Frey พยายามจะเข้าไปอวยพรวันเกิดให้ Clause แต่มีผู้คนมากมายกำลังอวยพรอยู่เช่นกัน ทั้งคู่จึงไม่สามารถเข้าไปได้ ในขณะเดียวกัน Clause ก็นึกถึงของขวัญที่พวกเขาเคยให้เมื่อยังเป็นเด็ก...
MONTHLYHERO_KASEL_BIRTHDAY_TITLE,~ วันเกิดที่สุดยอดที่สุด ~
MONTHLYHERO_KASEL_BIRTHDAY_DESC,ช่วงสุดท้ายของการเดินทาง Frey จำได้ว่าเป็นวันเกิดของ Kasel จึงได้ปรึกษากับเพื่อนร่วมทาง Roi เพื่อเตรียมอะไรบางอย่างให้กับ Kasel ที่แบกภาระอันใหญ่หลวงในฐานะนักรบแห่งดาบศักดิ์สิทธิ์และ Roi ได้เสนอให้ทำอะไรบางอย่าง...
MONTHLYHERO_MIRIANNE_BIRTHDAY_TITLE,~ ความทรงจำ ของขวัญและการรักษา ~
MONTHLYHERO_MIRIANNE_BIRTHDAY_DESC,ขณะที่กำลังเดินทางอยู่กับ Sonia ก็เป็นวันเกิดของ Mirianne เรื่องราวความทรงจำและของขวัญของเธอ
MONTHLYHERO_LAUDIA_BIRTHDAY_TITLE,~ เรื่องเล่าโบราณแห่งทะเลทราย ~
MONTHLYHERO_LAUDIA_BIRTHDAY_DESC,ปีนี้ Laudia คิดจะฉลองวันเกิดอย่างเงียบๆ แต่ขณะที่ไปสถานที่แห่งความทรงจำในวัยเด็กกลับพบกับแขกที่ไม่คาดฝัน
MONTHLYHERO_NERAXIS_BIRTHDAY_TITLE,~ ดาบสู่สายฟ้าในวันที่แสนเท่ ~
MONTHLYHERO_NERAXIS_BIRTHDAY_DESC,ถึงจะเป็นเช้าวันเกิดแต่ Neraxis กลับดูอารมณ์ไม่ค่อยดี เพื่อฉลองวันเกิดให้กับ Neraxis ใครบางคนได้เตรียมของขวัญและวิธีการฉลองวันเกิดแสนพิเศษเอาไว้
MONTHLYHERO_REPHY_BIRTHDAY_TITLE,~ ฉลองวันเกิดกับทุกคน ~
MONTHLYHERO_REPHY_BIRTHDAY_DESC,Rephy เกิดหมดแรงในขณะที่กำลังนำทางวิญญาณที่ถูกความมืดครอบงำ ณ ที่ราบ Galluah แต่ในขณะที่กำลังจะหมดสติ หัวหน้าชนเผ่าเทเมีย ครอบครัวคนสำคัญก็ปรากฎตัวขึ้นเพื่อมาให้กำลังใจ...
MONTHLYHERO_ODDY_BIRTHDAY_TITLE,~ ของขวัญที่ดีที่สุดก็คือมิตรภาพ ~
MONTHLYHERO_ODDY_BIRTHDAY_DESC,Oddy หนีจากพวกเด็กน่ารำคาญในวันเกิด แต่เมื่อเห็นวิวทิวทัศน์สวยงามก็รู้สึกได้ถึงความสำคัญของเพื่อนใหม่
MONTHLYHERO_REQUINA_BIRTHDAY_TITLE,~ ความโชคดีในวันเกิด ~
MONTHLYHERO_REQUINA_BIRTHDAY_DESC,เพราะคำอธิฐานของ Requina แด่เทพธิดา Lua ในวันเกิด แน่นอนว่าวันนี้ต้องมีเรื่องดีๆเกิดขึ้น...\nแล้วปีนี้จะเป็นเรื่องดีๆแบบไหนกันนะ
MONTHLYHERO_REINA_BIRTHDAY_TITLE,~ คุณลุงตัวสูง ~
MONTHLYHERO_REINA_BIRTHDAY_DESC,Reina ได้รับของขวัญจากใครบางคนเมื่อครั้งยังเด็ก\nเป็นความลับระหว่างเธอกับคนผู้นั้นที่ไม่สามารถบอกใครได้
MONTHLYHERO_AISHA_BIRTHDAY_TITLE,~ สิ่งที่อยากได้มากที่สุด ~
MONTHLYHERO_AISHA_BIRTHDAY_DESC,ตระกูล Daphnel จัดงานวันเกิดให้กับ Aisha ที่คฤหาสน์ เมื่อ Priscilla มองดู Aisha ที่ยุ่งกับการรับแขกมากมายแล้ว ก็ได้เกิดความกังวลเล็กๆ...
MONTHLYHERO_MAY_BIRTHDAY_TITLE,~ จริงๆแล้วไม่ใช่ความบังเอิญ! ~
MONTHLYHERO_MAY_BIRTHDAY_DESC,ยิ่งวันเกิดใกล้เข้ามาเท่าไหร่ May ก็ยิ่งตื่นเต้นเท่านั้น Juno และ Luna ที่มองดู May อยู่จึงได้เตรียมวันแห่งความโชคดีไว้เพื่อเป็นของขวัญให้...
MONTHLYHERO_JUNO_BIRTHDAY_TITLE,~ อาหารมอนสเตอร์เพื่อร่างกายที่แข็งแกร่ง ~
MONTHLYHERO_JUNO_BIRTHDAY_DESC,Yanne คิดจะทำอาหารมอนสเตอร์เพื่อเป็นของขวัญในวันเกิดของ Juno แต่สุดท้ายแล้วเธอจะทำอาหารมอนสเตอร์พิเศษนี้เพื่อเป็นของขวัญให้แก่ Juno ที่เกลียดและสยดสยองกับอาหารมอนสเตอร์นี้ได้ไหมนะ
MONTHLYHERO_NIA_BIRTHDAY_TITLE,~ หัวหน้าเผ่าผู้ยอดเยี่ยม ~
MONTHLYHERO_NIA_BIRTHDAY_DESC,Nia รู้สึกเศร้าเมื่อคิดถึงเรื่องในอดีต ส่วน Yanne ที่อยากจะปกป้อง Nia ที่เป็นแบบนั้น\nก็ได้ยินจาก Requina ว่าวันนี้เป็นวันเกิดของ Nia...
