KEY,ChineseTraditional
CREATURE_NAME_34,安妮特
CREATURE_TITLE_34,皇宮魔導工學者 安妮特
CREATURE_DESC_34,希望一般人也能使用魔法的天才魔導工學者。\n操控親手製作的魔導生命體攻擊敵人。
CREATURE_NAME_35,米特拉
CREATURE_TITLE_35,白銀戰狼 米特拉
CREATURE_DESC_35,也被稱為銀色狂曲。是個對任何事都漫不經心的男子，也毫無責任感可言。開始戰鬥後就會化身為任何人不敢侵犯的銀狼馳騁戰場。
CREATURE_NAME_36,瑞卡德
CREATURE_TITLE_36,露亞審判者 瑞卡德
CREATURE_DESC_36,長期守護人類世界不被魔族威脅的勇猛英雄，利用蘊含女神祝福的柱子殲滅敵人。
CREATURE_NAME_37,譚雅
CREATURE_TITLE_37,沉默之刃 譚雅
CREATURE_DESC_37,獰笑面具團最頂尖的刺客，和羅伊同一時期加入組織。\n在組織中扮演「清道夫」的角色，專門負責處理叛徒。\n利用任何人都察覺不到的技巧奇襲消滅敵人。
CREATURE_NAME_38,伊茲凱爾
CREATURE_TITLE_38,詛咒之血 伊茲凱爾
CREATURE_DESC_38,高階魔族與人類的混血，詛咒自己的存在。\n使用流著強大魔族之血的右手撕裂敵人。
CREATURE_NAME_39,卡珊卓
CREATURE_TITLE_39,誘惑之風 卡珊卓
CREATURE_DESC_39,金磚的女主人，性感且深具魅力，給人蛇蠍美人的印象。\n總是以嫵媚的姿態鼓舞著同伴。
CREATURE_NAME_40,希歐
CREATURE_TITLE_40,忠誠騎士 希歐
CREATURE_DESC_40,現在已消失的克萊兒公國首席騎士，為了尋找消失的主人珍而在世界各地流浪。\n若是眼前出現魔族，他那充滿可怕力量的雙長矛\n會毫不留情地發動攻擊。
CREATURE_NAME_41,梅蒂安娜
CREATURE_TITLE_41,看似危險的醫療人員 梅蒂安娜
CREATURE_DESC_41,牧師不足的那段時期，他繼承了能治療他人的醫療術。\n巨大的注射器中發射注射藥能治癒或增強友軍，\n或者削弱敵人。
CREATURE_NAME_42,歐迪
CREATURE_TITLE_42,永生的鐘錶術士 歐迪
CREATURE_DESC_42,受靈物赤毧族的詛咒，外觀變成和赤毧族一樣的鐘錶匠。\n透過蘊含魔法的鐘錶攻擊敵人使其麻痺，\n或者也能讓友軍的動作變得迅速。
CREATURE_NAME_43,薇絲卡
CREATURE_TITLE_43,惡魔捕食者 薇絲卡
CREATURE_DESC_43,魔族異端份子，她是一個目標為吞噬強悍魔族藉此增強力量的真正惡魔。\n為了吞噬來到物慾世界的強悍魔族，於是便穿越了次元裂縫來到人間。\n她背後的刺是為了攻擊敵人而存在。
CREATURE_NAME_44,普莉西拉
CREATURE_TITLE_44,鋼鐵的隨從 普莉西拉
CREATURE_DESC_44,原本是奧勒貝利亞軍官的她後來變成賢者之塔稱為天才的達芙尼爾‧波恩家族獨生女愛紗的專屬僕人，使用巨大的長戟迅速粉碎敵人。
CREATURE_NAME_45,雅妮
CREATURE_TITLE_45,屠龍者 雅妮
CREATURE_DESC_45,專門狩獵欺負弱小的怪物，是在大陸各個地方旅行的野蠻人女戰士。\n她是一個能獨自對付薩爾達瘋龍的屠龍者，\n使用連城門都能射穿的大型箭矢擊潰敵陣。
CREATURE_NAME_46,查畢勒
CREATURE_TITLE_46,沙塵暴王子 查畢勒
CREATURE_DESC_46,擁有上古王室血統的後裔。\n流著神聖之血的人物，為了守護沙漠挺身而出的孤傲青年。\n他的弓箭所呼喚的沙塵暴將會埋葬所有敵人。
CREATURE_NAME_47,尤利婭
CREATURE_TITLE_47,神祕的裁縫師 尤利婭
CREATURE_DESC_47,浪跡大陸，替各方名人製作衣服的頂尖裁縫師，她會感知當事人的命運並隨之移動針線。星星在她的針上飛舞，光芒在她的線上躍動。
CREATURE_NAME_48,蕾哈特娜
CREATURE_TITLE_48,親切的使者 蕾哈特娜
CREATURE_DESC_48,樂器工坊艾瑟崙達的工匠兼老闆。\n私底下以反抗軍的身份活動，主要負責聯絡所以需要到處走動。\n她親手製作的特殊樂器會發出超音波，能夠激勵友軍或擾亂敵軍。
CREATURE_NAME_49,歐菲莉亞
CREATURE_TITLE_49,命運尋路者 歐菲莉亞
CREATURE_DESC_49,在大陸各個地方漂泊的表演團體「星塵」專屬的占星術師，\n是魔女協會的一份子，沒有和其他人一樣進行巡禮，為了尋找夢中的真命天子而踏上旅程。\n操控自己周圍的塔羅牌攻擊遠距離的敵人。
CREATURE_NAME_50,芮奎娜
CREATURE_TITLE_50,毒藥商 芮奎娜
CREATURE_DESC_50,在大陸各個地方漂泊且販售毒物的行腳商。\n她會使用添加各種毒的風槍削弱敵人。
CREATURE_NAME_51,艾希莉卡
CREATURE_TITLE_51,太陽守護者 艾希莉卡
CREATURE_DESC_51,身為正義的天空騎士，也是消滅邪惡的劍及守護弱者的盾牌。\n為了擊退毀壞物質世界的魔族們，降臨到了這片大地。\n她美麗的劍及盾牌發散出光芒，保護同伴並消滅敵人。
CREATURE_NAME_52,克洛
CREATURE_TITLE_52,懲罰的子彈 克洛
CREATURE_DESC_52,曾任帝國海軍長官，現在則是做著賞金獵人及終結者的工作。\n不太信任人而且憤世忌俗。他的槍根據不同的用途可以分為三種類型。
CREATURE_NAME_53,薩蜜拉
CREATURE_TITLE_53,詛咒的容器 薩蜜拉
CREATURE_DESC_53,身上蘊含三千萬種詛咒的高階魔族。\n只對經歷苦痛與苦思後也不願意屈服且展現強烈意志的人類感興趣，\n利用墮落之弓與箭矢攻擊敵人，施下詛咒折磨對手。
CREATURE_NAME_54,拉薇兒
CREATURE_TITLE_54,可愛惡靈 拉薇兒
CREATURE_DESC_54,眾多無辜死亡的智慧生命體靈魂被禁錮後創造出來的幽靈。\n雖然是冤枉和怨恨的集合體，卻保有著單純。\n會利用幽靈的力量，慢慢吸走敵人的精氣。
CREATURE_NAME_55,賽莉亞
CREATURE_TITLE_55,深淵暗影 賽莉亞
CREATURE_DESC_55,狩獵非人類的超自然生物的家族－「雪朵希爾特」的第101位繼承人，\n繼同伴慘死在變成吸血鬼的妹妹手下後，為了幫同伴報仇，同時為了盡身為吸血鬼獵人的義務，為了處決最愛的妹妹而一路尾隨來到了奧勒貝利亞。
CREATURE_NAME_56,愛兒琪
CREATURE_TITLE_56,無止盡的渴求 愛兒琪
CREATURE_DESC_56,和賽莉亞是姊妹，在過去也曾經是吸血鬼獵人的一員，\n醉心於力量的她最終殺害了分部的所有同僚，選擇成為了一名吸血鬼，\n不僅如此，她還殺害了當時咬自己，也就是讓自己成為吸血鬼的高層吸血鬼，進而取得他的力量。最後她拋下了唯一的生存者，也就是自己的姐姐－賽莉亞後，移居至奧勒貝利亞。
CREATURE_NAME_57,黎莉雅
CREATURE_TITLE_57,大海與暴風的女兒 黎莉雅
CREATURE_DESC_57,剛脫離幼龍的藍龍少女，同時也是水之聖女萊雅絲的妹妹。\n雖然還是不成熟的年幼龍，但若是小看那股力量，下場可能會很慘。\n利用無止盡的水之力壓制對手。
CREATURE_NAME_58,勞蒂亞
CREATURE_TITLE_58,綠洲的舞姬 勞蒂亞
CREATURE_DESC_58,埃伊納沙漠流浪民族的舞姬。\n她的舞蹈能讓對方的心融化，\n她鋒利的刀會在神不知鬼不覺的狀態下奪走敵人的性命。
CREATURE_NAME_59,魯西亞司
CREATURE_TITLE_59,祝福聖者－魯西亞司
CREATURE_DESC_59,露亞教的大祭司，同時也是芙萊兒的師兄。\n具備能讓露亞的祝福降臨的堅定信仰，\n只要被他施予祝福的物品都會蘊藏光的力量，在面對惡魔時不失為一項有用的利器。
CREATURE_NAME_60,克莉莎
CREATURE_TITLE_60,鐵血監察官 克莉莎
CREATURE_DESC_60,使用帝國最先進魔導工學武器的魔法騎士團－維爾吉亞騎士團的團長。\n在她的指揮下，部隊以立於不敗之地為榮，其中特別擅長殲滅戰。\n她是一名強大的騎士，能利用各種屬性的光芒折磨敵人。
CREATURE_NAME_61,奈洛希思
CREATURE_TITLE_61,漆黑的傲慢 奈洛希思
CREATURE_DESC_61,操控黑暗閃電的黑龍後裔。\n由於厭惡魔族，特別是惡龍，所以四處討伐他們。\n使用蘊含黑暗雷電的衝擊錐突破敵人的防禦。
CREATURE_NAME_62,史嘉蕾
CREATURE_TITLE_62,銀白信念 史嘉蕾
CREATURE_DESC_62,深愛百姓的奧勒貝利亞的公主。\n是一位保護弱者，為了正義揮劍的真正騎士。\n使用讓對手的魔力失效的巨劍將敵人劈成兩半。
CREATURE_NAME_63,索妮亞
CREATURE_TITLE_63,深藍颶風 索妮亞
CREATURE_DESC_63,並不隸屬賢者之塔，因出眾的魔法實力而深受肯定的天才。\n獲得「藍色」稱號的她實際上是仿造人類創造出來的人工生命體，\n她的水晶球中發射的電擊會讓目標連灰燼都不剩。
CREATURE_NAME_64,阿蒂蜜雅
CREATURE_TITLE_64,光之女皇 阿蒂蜜雅
CREATURE_DESC_64,100年前和魔族交戰時，從未被攻破的鐵壁王國－潘特歐尼亞的公主，\n她的手杖會綻放出正義之光殲滅敵人。
CREATURE_NAME_65,米芮安
CREATURE_TITLE_65,深藍女僕 米芮安
CREATURE_DESC_65,獲得「藍色」稱號的大法師索妮亞的助手兼僕人。\n只會為了自己的好友兼雇主，情同姊妹的那個人而行動，\n利用鷹眼與卓越的分析力掌握敵人的弱點，然後投擲匕首攻擊。
CREATURE_NAME_66,希婭
CREATURE_TITLE_66,夢幻旋律 希婭
CREATURE_DESC_66,以神秘的旋律治療人們的神祕少女，\n以美麗的嗓音及高貴的魔法豎琴音色治療人們。
CREATURE_NAME_67,卡菈
CREATURE_TITLE_67,古代文明的精華 卡菈
CREATURE_DESC_67,被遺忘的古代文明的工程法師研發的人形機器魔像。\n她的身體是古代技術的結晶，也是魔導工學的巔峰。\n是一個能利用強烈密集火力殲滅敵人的強大兵器。
CREATURE_NAME_68,倪婭
CREATURE_TITLE_68,吞噬黑暗的雙眼 倪婭
CREATURE_DESC_68,率領偏遠南部叢林野蠻族的年幼族長。\n繼承了祖先的魔獸之血與石化魔眼，\n會在束縛敵人後進行亂刀攻擊了結敵人。
CREATURE_NAME_69,艾斯克
CREATURE_TITLE_69,幻術賭徒 艾斯克
CREATURE_DESC_69,地下賭界最危險的人物。\n具有看穿人心的神祕洞察力。\n被他擲出的骰子迷惑的瞬間，等同落敗。
CREATURE_NAME_70,塞西莉亞
CREATURE_TITLE_70,正義赤風 塞西莉亞
CREATURE_DESC_70,極富正義感的少女，總想成為別人的支柱。\n對於折磨人類的魔族她絕不饒恕，用她穿著的魔導長靴粉碎敵人已綽綽有餘。
CREATURE_NAME_71,凱樂潔
CREATURE_TITLE_71,赤朱的晶貓 凱樂潔
CREATURE_DESC_71,英雄概念設計比賽當選作品[87CEFA]Mochi00(JPN)[-]\n帶著稀有的魔力誕生的獸人族少女。\n年幼時就被魔王軍抓住，強制進行了把身體變為水晶的實驗。\n獲得力量後脫逃的她，利用構成身體的赤色水晶來與敵交戰。
CREATURE_NAME_73,伽司
CREATURE_TITLE_73,Type.0 伽司
CREATURE_DESC_73,失去過往記憶的實驗體，開始戰鬥後就會爆發強大力量的狂戰士，\n他同時也是會毫不猶豫地破壞阻擋自己的一切的強大戰鬥兵器。
CREATURE_NAME_75,塔卡利斯
CREATURE_TITLE_75,湖之賢者 塔卡利斯
CREATURE_DESC_75,是帝國所佔領的艾雷塔納湖附近的原住民蜥蜴人的賢者。\n為了找回被武力鎮壓的故鄉，8年前參與了反抗軍的成立。\n會利用部落的傳統魔法讓敵人陷入混沌。
CREATURE_NAME_78,伯倫海姆
CREATURE_TITLE_78,破壞之劍 伯倫海姆
CREATURE_DESC_78,沉默的騎士、閃耀著黑色光芒的劍士、震動山脈的劍。他是活躍於帝國領地，擁有許多稱號、傳說中的傭兵。他那巨大的劍可吸收世界上的所有力量並進行單純的破壞。
CREATURE_NAME_87,格蘭薇絲
CREATURE_TITLE_87,帝國的盾牌 格蘭薇絲
CREATURE_DESC_87,帝國平民出身的女騎士。\n憑藉實力登上首都防衛騎士團副團長的位置，是無數平民嚮往的對象。\n發誓要成為守護帝國市民的堅強盾牌，是比任何人都要忠誠的騎士。
CREATURE_NAME_90,梅伊
CREATURE_TITLE_90,發財夢少女 梅伊
CREATURE_DESC_90,在奧勒貝爾王城經營綜合商店的少女。\n充滿活力且開朗的模樣相當惹人疼愛，有人會不喜歡這樣的她嗎？\n會從自己的籃子裡取出各種物品協助友軍。
CREATURE_NAME_91,格拉帝
CREATURE_TITLE_91,競技場猛獸 格拉帝
CREATURE_DESC_91,稱霸首都奧勒貝爾競技場的男人。\n大家都害怕站在競技場頂端的他，且稱他為競技場猛獸。\n他的拳法能在瞬間粉碎對手。
CREATURE_NAME_92,薇若妮卡
CREATURE_TITLE_92,洞察之眼 薇若妮卡
CREATURE_DESC_92,出身於賢者之塔，重新奠定符石魔法公式的天才。\n目前不僅是奧勒貝爾的財務官，也擔任著所有公會的總負責人。\n她出色的分析能力及符石魔法能束縛住敵人。
CREATURE_NAME_93,洛曼
CREATURE_TITLE_93,信賴的守衛 洛曼
CREATURE_DESC_93,把守奧勒貝爾王室的守衛者。\n若沒有經過許可，誰也別想突破他的防守。\n他的長槍中湧出強大的力量可以使敵人屈服。
CREATURE_NAME_94,朱諾
CREATURE_TITLE_94,英雄的廚師 朱諾
CREATURE_DESC_94,身為奧勒貝爾最傑出的廚師之一，\n不管是高級美食還是平民小吃，沒有她不會做的料理。\n她做的料理既可以治癒身體又能提升勇氣。
CREATURE_NAME_95,妮琪
CREATURE_TITLE_95,殘酷的監獄長 妮琪
CREATURE_DESC_95,在囚禁最凶猛怪物的奧勒貝爾的地下監牢中獨自擔任監獄長的粗魯女戰士。\n擁有僅次於競技場猛獸格拉帝的實力，是怪物們恐懼的對象。\n她的強力鐵球能粉碎敵人的骨頭與撕裂敵人的肉，讓目標變得血肉模糊。
CREATURE_NAME_96,朵莎爾妲
CREATURE_TITLE_96,純真之風 朵莎爾妲
CREATURE_DESC_96,守護著位於艾莉朵拉王國的挑戰之塔的精靈公主。\n對於古代的神器，還有那其中潛藏的力量比任何人都要熟悉。
CREATURE_NAME_97,哈奴斯
CREATURE_TITLE_97,砲火的教官 哈奴斯
CREATURE_DESC_97,在公會聯合軍的指揮中心培養聯合軍的最年輕的教官，也是改造武器和策劃戰略的奇才。\n會使用親手製作的槍械來掃蕩敵人。
CREATURE_NAME_98,該隱
CREATURE_TITLE_98,不朽的新王 該隱
CREATURE_DESC_98,上古塞奇雷奈爾王國的偉大新王。\n將自己的靈魂和沙漠牽連在一起，只要沙漠存在就能永遠不滅。\n經由念力可自由自在地操縱象徵新王權威的環刃來進行攻擊。
GETHERO_DESC_1,能拯救世界的聖劍埃亞選擇的勇者，揮舞聖劍擊敗敵人，透過聖劍的力量能強化自己。
GETHERO_DESC_2,凱瑟的青梅竹馬，同時也是供奉女神的神官。利用光之力治癒和保護我軍，還能藉由女神的祝福增強魔力與魔法抵抗力。
GETHERO_DESC_3,來自法師聚集地－紅色之塔的一位精明靈巧的小姐，利用強大的火焰魔法在讓多數敵人當中燃起火花，進而引爆火苗造成更大的傷害。
GETHERO_DESC_4,有著不為人知的過去且前一份工作是刺客。對單一對象能發揮強大的殺傷力，能避開敵人的視線不斷發動猛攻與蹂躪對方。
GETHERO_DESC_5,居住在酷寒雪原地帶的野蠻人王國的戰士。強大的吶喊聲能降低敵人的士氣，如同暴風般貫穿敵陣。
GETHERO_DESC_6,過去狩獵無數巨龍的矮人族王，同時也是名英雄豪傑。利用小小身軀爆發的強大力量揮動盾破壞陣型，以強力的一擊終結敵人的生命。
GETHERO_DESC_7,精通機械工學的白化哥布林。使用巨大火槍造成爆炸性傷害，利用特製彈藥妨礙敵人且造成致命傷。
GETHERO_DESC_8,長期以來守護天風族的酋長。使用風和天空的力量消滅敵人，召喚強大的閃電麻痺敵人，賦予我軍風的祝福並治癒他們。
GETHERO_DESC_9,一心只想追求樂趣的殘忍惡魔。使用巨大鐮刀奪取敵人的靈魂，也會突然現身在敵陣當中斬殺周圍的所有敵人。
GETHERO_DESC_10,守護神聖之森的精靈族公主。蘊含月光之力的箭矢會依照她的意志追擊敵人，蘊含風之力的箭矢會成為她的力量射穿敵人。
GETHERO_DESC_11,過去曾賜予祝福給拯救世界的英雄的聖女。充滿憎恨的詛咒烏鴉會對敵人發射尖銳的羽毛，並且破壞敵人的陣型。
GETHERO_DESC_12,遭受詛咒而變成年幼少女的傳說中的海賊。能利用從船艦上拆下的大炮精準射中敵人。
GETHERO_DESC_13,先前魔王入侵時曾加入人類聯軍的精靈族德魯伊。與大自然產生共鳴，透過樹木攻擊敵人。
GETHERO_DESC_14,操控裝甲怪獸的冷酷獵人。利用迴轉的迴旋鏢切斷敵人退路，藉由裝甲怪獸強大的咬合力無情地撕裂敵人。
GETHERO_DESC_15,凱瑟的義兄，同時也是正式的騎士。如同鋼鐵般堅強的他會在前線保護我軍，人們說他抵擋敵人攻擊且壓制敵人的英姿就像是堅固的堡壘一樣。
GETHERO_DESC_16,可利用靈魂之燈引導靈魂的獸人族。借助靈魂的力量治癒我軍，也會利用靈魂妨礙敵人和補充魔力。
GETHERO_DESC_17,從影子中狩獵敵人的黑暗精靈。他的報復之弩在黑暗中射穿敵人。
GETHERO_DESC_18,使用輕盈單手劍的傭兵。藉由敏捷的身手避開敵人的攻擊，利用如同光一般的速度擊倒敵人。
GETHERO_DESC_19,受冰龍詛咒獲得力量的法師。使用強大冰魔法凍結敵人是其主要技能。
GETHERO_DESC_20,使用巨大長矛與盾牌的守護騎士。利用如同要塞般的堅強擋住敵人的攻擊，使用巨大的長矛擊敗敵人。
GETHERO_DESC_21,專門使用拳套近距離戰鬥的鷹身人族。穿梭在敵陣當中肆意蹂躪敵人，使用強烈的連續攻擊粉碎敵人。
GETHERO_DESC_22,來自酷寒環境的帝國狙擊手。無論在何種狀況下都能冷靜瞄準敵人，只要集中精神就能變得更強。
