KEY,Vietnamese
ARCHIVE_HERO_BIRTH_DESC,{1}(Tháng) {2}(Ngày)
ARCHIVE_HERO_CONSTELL,Chòm sao
ARCHIVE_HERO_LIKE,Thích
ARCHIVE_HERO_UNLIKE,Không thích
ARCHIVE_HERO_STORY,Câu chuyện
ARCHIVE_HERO_NOTHOLDING,Bạn không sở hữu anh hùng này.
ARCHIVE_CV_NAME,Người lồng tiếng (CV)
ARCHIVE_VOCIE_NOINFO,Không có thông tin về người lồng tiếng
HERO_VOICE_ATTACK_1,Thét lên
HERO_VOICE_ATTACK_2,Tấn công cơ bản 2
HERO_VOICE_ATTACK_3,Tấn công cơ bản 3
HERO_VOICE_SKILL_1,Dùng kỹ năng 1
HERO_VOICE_SKILL_2,Dùng kỹ năng 2
HERO_VOICE_SKILL_3,Dùng kỹ năng 3
HERO_VOICE_SKILL_4,Dùng kỹ năng 4
HERO_VOICE_HIT,Thiệt hại
HERO_VOICE_LOSE,Hy sinh
HERO_VOICE_JOIN,Gia nhập nhóm
HERO_VOICE_VICTORY,Thắng trận
HERO_VOICE_AWAKE,Đoạn cắt cảnh thức tỉnh
HERO_VOICE_TRANS,Đoạn cắt cảnh siêu việt
HERO_VOICE_INNREACTION,Phản ứng ở quán trọ
HERO_VOICE_ATTACK_1_LEWISIA5,Tấn công cơ bản (5 sao)
HERO_VOICE_SKILL_1_LEWSIA5,Quả cầu máu (5 sao)
HERO_VOICE_SKILL_2_LEWSIA5,Vùng đất máu (5 sao)
HERO_VOICE_SKILL_3_LEWSIA5,Bữa tiệc máu (5 sao)
HERO_VOICE_SKILL_4_LEWSIA5,Dùng kỹ năng 4 (5 sao)
HERO_VOICE_HIT_LEWSIA5,Chịu sát thương (5 sao)
HERO_VOICE_LOSE_LEWSIA5,Chết (5 sao)
HERO_VOICE_JOIN_LEWSIA5,Gia nhập nhóm (5 sao)
HERO_VOICE_VICTORY_LEWSIA5,Thắng trận (5 sao)
HERO_VOICE_AWAKE_LEWSIA5,Đoạn cắt cảnh thức tỉnh (5 sao)
HERO_VOICE_TRANS_LEWSIA5,Đoạn cắt cảnh siêu việt (5 sao)
HERO_VOICE_INNREACTION_LEWSIA5,Phản ứng ở quán trọ (5 sao)
HERO_VOICE_ATTACK_1_LEWISIA3,Tấn công cơ bản (3 - 4 sao)
HERO_VOICE_SKILL_1_LEWSIA3,Dùng kỹ năng 1 (3 - 4 sao)
HERO_VOICE_SKILL_2_LEWSIA3,Dùng kỹ năng 2 (3 - 4 sao)
HERO_VOICE_SKILL_3_LEWSIA3,Dùng kỹ năng 3 (3 - 4 sao)
HERO_VOICE_SKILL_4_LEWSIA3,Dùng kỹ năng 4 (3 - 4 sao)
HERO_VOICE_HIT_LEWSIA3,Chịu sát thương (3 - 4 sao)
HERO_VOICE_LOSE_LEWSIA3,Chết (3 - 4 sao)
HERO_VOICE_JOIN_LEWSIA3,Gia nhập nhóm (3 - 4 sao)
HERO_VOICE_VICTORY_LEWSIA3,Thắng trận (3 - 4 sao)
HERO_VOICE_AWAKE_LEWSIA3,Đoạn cắt cảnh thức tỉnh (3 - 4 sao)
HERO_VOICE_TRANS_LEWSIA3,Đoạn cắt cảnh siêu việt (3 - 4 sao)
HERO_VOICE_INNREACTION_LEWSIA3,Phản ứng ở quán trọ (3 - 4 sao)
HERO_VOICE_SKILL_1_EZEKIEL,Bản năng phá hủy (trạng thái Thịnh nộ)
HERO_VOICE_SKILL_2_EZEKIEL,Tuyệt vọng tìm đến (trạng thái Thịnh nộ)
HERO_VOICE_SKILL_3_EZEKIEL,Cú đấm hủy diệt (trạng thái Thịnh nộ)
HERO_VOICE_SKILL_4_EZEKIEL,Máu nhiệm chú (trạng thái Thịnh nộ)
HERO_VOICE_WELCOME_1,Chào mừng 1
HERO_VOICE_WELCOME_2,Chào mừng 2
HERO_VOICE_WELCOME_3,Chào mừng 3
HERO_VOICE_TOUCH_1,Tương tác 1
HERO_VOICE_TOUCH_2,Tương tác 2
HERO_VOICE_TOUCH_3,Tương tác 3
HERO_VOICE_TOUCH_4,Tương tác 4
HERO_VOICE_TOUCH_5,Tương tác 5
HERO_VOICE_TOUCH_6,Tương tác 6
HERO_VOICE_BUY_1,Cảm ơn 1
HERO_VOICE_BUY_2,Cảm ơn 2
ARCHIVE_3D_SHOW,Xem mô hình 3D
ARCHIVE_UNIQUE_WEAPON_INTRODUCE,Giới thiệu vũ khí chuyên dụng
ARCHIVE_UNIQUE_WEAPON_NOTHOLDING,Bạn chưa sở hữu vũ khí chuyên dụng này.
ARCHIVE_TREASURE_INTRODUCE,Giới thiệu bảo vật chuyên dụng
ARCHIVE_TREASURE_NOTHOLDING,Bạn chưa sở hữu bảo vật chuyên dụng này.
ARCHIVE_ARTIFACT_INTRODUCE,Giới thiệu cổ vật
ARCHIVE_ARTIFACT_NOTHOLDING,Báu vật này chưa được chiếm giữ.
ARCHIVE_ITEM_INTRODUCE,Giới thiệu vật phẩm
ARCHIVE_ITEM_NOTHOLDING,Bạn chưa sở hữu vật phẩm này.
ARCHIVE_ITEM_NO_STORY,Chúng tôi đang soạn chuyện.
ARCHIVE_KILL_RATE,Tỉ lệ hạ gục
ARCHIVE_RAID,Raid Rồng
ARCHIVE_CHALLENGERAID,Raid Thử Thách
ARCHIVE_GUILDRAID,Guild Raid
ARCHIVE_WORLDBOSS,Boss Thế Giới
ARCHIVE_GODKING,Thử thách của Thần vương
ARCHIVE_ECLIPSE,Eclipse
ARCHIVE_CHAPTER_BOSS,Boss chương
ARCHIVE_CONQUEST,Chinh phạt
ARCHIVE_NORMAL_MONSTER,Quái vật thường
ARCHIVE_MONSTER_INTRODUCE,Giới thiệu
ARCHIVE_STAT,Chung
ARCHIVE_SKILL,kỹ năng
ARCHIVE_EASY_NORMAL,Chế độ dễ & thường
ARCHIVE_RAID_SINGLE,Raid đơn
BIRTH_MONTH_1,Tháng bảo vệ
BIRTH_MONTH_2,Tháng thông thái
BIRTH_MONTH_3,Tháng hiểu biết
BIRTH_MONTH_4,Tháng sự sống
BIRTH_MONTH_5,Tháng hy vọng
BIRTH_MONTH_6,Tháng tình yêu
BIRTH_MONTH_7,Tháng hài hòa
BIRTH_MONTH_8,Tháng sức sống
BIRTH_MONTH_9,Tháng sự thật
BIRTH_MONTH_10,Tháng tình bạn
BIRTH_MONTH_11,Tháng may mắn
BIRTH_MONTH_12,Tháng kiên nhẫn
ARCHIVE_CONSTELL_1,Hộ vệ Mertis
ARCHIVE_CONSTELL_2,Triết gia Satua
ARCHIVE_CONSTELL_3,Nhà tiên tri Lasiphil
ARCHIVE_CONSTELL_4,Thánh Armil
ARCHIVE_CONSTELL_5,Tên trộm Graham
ARCHIVE_CONSTELL_6,Người hát rong Mira
ARCHIVE_CONSTELL_7,Bộ dò Notmun
ARCHIVE_CONSTELL_8,Kẻ chinh phục Kandala
ARCHIVE_CONSTELL_9,Phán quyết Layan
ARCHIVE_CONSTELL_10,Nữ hoàng Asiphia
ARCHIVE_CONSTELL_11,Gisla thiện xạ
ARCHIVE_CONSTELL_12,Kẻ lang thang Hexipolia
HERO_RACE_HUMAN,Loài người
HERO_RACE_BABARIAN,Barbarian
HERO_RACE_DWARF,Người lùn
HERO_RACE_GOBLIN,Yêu tinh
HERO_RACE_ORC,Orc
HERO_RACE_DEMON,Ác quỷ
HERO_RACE_ELF,Tiên
HERO_RACE_TAMIA,Tamia
HERO_RACE_DARKELF,Tiên bóng tối
HERO_RACE_HARPY,Thần cánh chim
HERO_RACE_DEMON_DRAGON,Ác quỷ (Rồng bóng tối)
HERO_RACE_UNDEAD,Xác sống
HERO_RACE_NOUM,Địa tinh
HERO_RACE_LUNA,Thú lai (Thỏ)
HERO_RACE_DRAGON,Rồng
HERO_RACE_ANGEL,Thiên thần
HERO_RACE_VAMP,Ma cà rồng
HERO_RACE_HALFELF,Bán tiên
HERO_RACE_HALFDEMON,Ác quỷ (Lai)
HERO_RACE_REDPER,Redpur (Trước đây là người)
HERO_RACE_VISKA,Ác quỷ (Người bị chiếm hữu)
HERO_RACE_REQUINA,Thú lai (Cáo)
HERO_RACE_HOMUN,Homunculus
HERO_RACE_PAVEL,Người (Chiếm hữu linh hồn rồng)
HERO_RACE_DRAGON_MAN,Rồng
ARCHIVE_RACE_26,Nàng tiên
HERO_RACE_GLADI,Thú lai (Linh miêu)
HERO_RACE_KARA,Quái vật đá hình người
HERO_RACE_NIA,Con người (Có dòng máu ác quỷ)
HERO_RACE_GHOST,Hồn ma
HERO_RACE_LIZARDMAN,Thằn lằn
HERO_RACE_KIRZE,Thú lai (Mèo)
HERO_AGE_NO_INFO,???
HERO_AGE_MARIA,125 (Theo quy luật tự nhiên luôn là 25)
HERO_AGE_DIMAEL,163 (Số tuổi người: 16)
HERO_AGE_MIRURU,27 (Về tinh thần: 12)
HERO_AGE_SONIA,16 (Không phát triển kể từ khi ra đời)
HERO_AGE_PAVEL,243 (Rồng: ???)
HERO_AGE_MIRRIANE,12 (Tuổi thể chất: 18)
HERO_AGE_TANYA,18 (Tuổi thể chất: 18)
HERO_AGE_EZEKIEL,19 (Tự nhận)
HERO_AGE_VISKA,14 (Ác quỷ:???)
CREATURE_STORY_1,"Một cận vệ của Vương quốc Orvelia. Bị thương tổn tinh thần khi phải chứng kiến bố mẹ chết trong tay lũ Ác quỷ xâm chiếm ngôi làng và sau đó là sư phụ dạy kiếm bị ám sát, anh trở nên sợ hãi khi nghĩ đến việc bất kỳ người nào quanh mình qua đời. Quá khứ đã thúc đẩy anh tìm kiếm người anh em kết nghĩa từ thời còn nhỏ trong trại trẻ mồ côi. Đó là Clause, người đã gia nhập quân viễn chinh nhưng chưa một lần trở lại."
CREATURE_STORY_2,"Một nữ tu học việc đang phục vụ Nữ thần Lua, với nhiều hy vọng của nhà thờ rằng nàng sẽ trở thành nữ tu trong tương lai. Ngay từ những năm đầu được dạy dỗ, nàng đã khiến các thầy cả cũng phải sửng sốt với niềm tin mãnh liệt cũng như tài năng thiên bẩm của mình hướng về quyền năng của Lua. Chính bản thân nàng cũng coi giáo giới là con đường định mệnh của mình và lòng tốt của nàng cho thấy quyết tâm đó. Tuy nhiên, nàng không dung thứ cho những kẻ làm điều ác."
CREATURE_STORY_3,"Ký ức đầu tiên mà Cleo có được là ở Tháp hiền triết. Được Triết gia vĩ đại Dominiks nuôi lớn từ khi còn là một đứa trẻ mồ côi, nàng vừa là phù thủy thiên tài vừa là kẻ chuyên gây rối. Vì không thể kiểm soát sức mạnh của chính mình, nàng thường gặp phải rắc rối, trong đó có việc phá hủy một phần Tháp đỏ, nơi ở của chính nàng. Bất chấp điều đó, vì rõ ràng luôn miễn dịch trước cơn thịnh nộ của Triết gia vĩ đại mà nàng bị bạn bè tẩy chay. Mặc dù điều này khiến nàng trở nên ích kỷ và vô tâm nhưng sâu bên trong, nàng vẫn là một cô gái tốt bụng lo sợ bị những người khác bỏ rơi."
CREATURE_STORY_4,"Anh là người tùy tùng của Cleo và đang bảo vệ nàng theo yêu cầu của Dominiks. Vì lí do nào đó mà anh đã phải liều mạng chạy trốn khỏi nhóm sát thủ mà anh từng trực thuộc. Đã từng sống như một sát thủ, anh hiếm khi thể hiện sự tôn trọng rõ ràng với những người khác. Nhưng cuộc sống gian khổ đã luyện cho anh trở thành người đàn ông từng trải và khôn ngoan, biết đối xử công bằng với những người giúp đỡ mình."
CREATURE_STORY_5,"Gau là một chiến binh mạnh mẽ đến từ Vương quốc Barbarian. Mỗi khi anh vung lên cây rìu đôi của mình, không tránh khỏi sẽ có một trận tắm máu. Là một chiến binh, anh khiến mọi người sợ hãi vì sự tàn bạo không có giới hạn của mình. Tuy nhiên, anh đột ngột biến mất trong 10 năm. Khi trở lại, anh đã trở thành một người hoàn toàn khác. Xu hướng bạo lực của người Barbarian đã hoàn toàn biến mất, kể cả khi những người khác chỉ trích anh. Thay vào đó, giờ anh đối mặt với họ bằng nụ cười mỉm và tiếng cười vui vẻ. Ánh nhìn ân cần, ấm áp anh dành cho trẻ nhỏ và động vật khiến mọi người đặc biệt bất ngờ."
CREATURE_STORY_6,"Ngài chính là vị vua can đảm và chính trực của những Người lùn. Ngài đã sát cánh chiến đấu cùng Chiến binh kiếm thánh chống lại Đội quân ác quỷ 100 năm trước. Trên khắp vùng đất, mọi người đều biết đến sự anh hùng của ngài trong trận chiến chống lại Quân đoàn rồng bóng tối, là binh đoàn chủ chốt của Đội quân ác quỷ. Trên thực tế, ngài chỉ tiếp nhận ngai vàng vì ý thức trách nhiệm. Kể cả khi phàn nàn về sự tẻ nhạt của các nghĩa vụ hoàng gia, ngài vẫn không ngừng nỗ lực chăm chỉ."
CREATURE_STORY_7,"Yêu tinh bạch tạng lập dị này thích phát triển các món vũ khí mạnh hơn bất cứ thứ gì khác. Do đã từng bị những tên Yêu tinh khác quấy rối và tẩy chay bởi màu da của mình, hắn không có chút lòng trắc ẩn nào đối với giống loài của mình. Hắn sẵn sàng bắn, cho nổ tung và nghiền nát ngay cả một tên Yêu tinh đồng đội để thử vũ khí của mình. Tuy nhiên, hắn cũng thể hiện sự cảm kích với những người giúp đỡ mình và trở thành bạn của Roi theo cách đó. Không may là hắn rất kém cỏi trong việc ghi nhớ các gương mặt nên thường chỉa súng bắn vào cả Roi."
CREATURE_STORY_8,Pháp sư Orc vĩ đại sở hữu sức mạnh của tia chớp. Ông là thủ lĩnh của Bộ tộc Skywind và là vị trưởng lão được kính trọng của Liên minh Orc. Ông đã đào tạo vô số pháp sư Orc và được coi là thủ lĩnh tinh thần của họ. Ông cũng là một trong số ít những pháp sư có các giấc mơ ngoại cảm và ông đủ thông thái để diễn giải hợp lý những giấc mơ đó.
CREATURE_STORY_9,"Nữ yêu ham chơi và quyến rũ này luôn hành động theo ý thích nhất thời của mình. Đúng như dòng giống Ác quỷ của mình, nàng là người theo chủ nghĩa khoái lạc, luôn làm những điều mà bản thân thấy vui thích và hưởng thụ. Kể cả trong Cuộc chiến chống ác quỷ, lựa chọn của nàng vẫn là tự do bay nhảy thay vì tham gia vào cuộc xâm lược. Trong mắt nàng, chiến đấu sát cánh bên Kyle đã đủ lý thú để nàng thậm chí có thể phản bội chính giống loài của mình. Sau này, khi gặp Kasel, nàng vui vẻ tham gia phe của anh, biết rằng mình đã tìm thấy một cuộc phiêu lưu thú vị khác cho bản thân. Khi tìm được những người đàn ông hấp dẫn, đôi khi nàng sẽ đến thăm họ qua những giấc mơ."
CREATURE_STORY_10,"Nàng công chúa Tiên cao quý này ngưỡng mộ Kiếm thánh và chiến binh được Kiếm thánh lựa chọn. Nàng nỗ lực hết sức để làm điều đúng đắn và muốn những người khác cũng làm như vậy. Đó là lý do vì sao nàng đưa ra những lời phê phán thực lòng đối với bất kỳ người nào rời xa con đường ngay thẳng, kể cả nếu đó là Chiến binh của Kiếm thánh. Không may là quyết tâm can đảm của nàng đôi khi bị người khác hiểu lầm. Nàng thường đến thăm em gái Dosarta ở tòa tháp của cô để bầu bạn."
CREATURE_STORY_11,"Mặc dù trước đây từng là Thánh nữ của Lua nhưng sau cùng ả lại lầm đường lạc lối. Giờ, nữ phù thủy điều khiển quạ cay độc này nguyền rủa Nữ thần trước đây của mình từ trong bóng tối. Đã có thời điểm ả là bạn của Kyle và là nữ anh hùng của người dân. Tuy nhiên, khi Kyle biến mất thì ả cũng ẩn cư. Cuối cùng, khi trở lại, ả trở thành một phù thủy sa ngã, đe dọa loài người với tư cách là mũi nhọn tấn công của Đội quân ác quỷ. Tuy nhiên, trong những ngày này, dường như ả đang có âm mưu nào đó, không phải với tư cách là thống soái Đội quân ác quỷ, mà là của riêng ả."
CREATURE_STORY_12,"Một nữ hoàng hải tặc đã từng phiêu dạt trên biển, gieo rắc nỗi sợ hãi trong trái tim những người thủy thủ. Tuy nhiên, một đồ vật bị nguyền rủa đã biến cô thành một đứa trẻ, rồi không lâu sau đó tất cả những kẻ đồng hành và thủy thủ đoàn trung thành đã rời bỏ cô. Không phải là kẻ bỏ cuộc, cô bắt đầu lại một lần nữa từ con số 0 và giờ đang mơ ước quay lại thời kỳ huy hoàng trước đây. Không may là lời nguyền biến thành trẻ con cũng khiến cách nghĩ của cô trở nên non nớt. Dù vậy, cô vẫn theo đuổi giấc mơ của mình. Hiện nay, cô chỉ huy nhóm Cướp biển Miruru thứ hai, gồm những tên Yêu tinh và người tộc Gnoll."
CREATURE_STORY_13,"Triết gia vĩ đại Elidora là người thông thái nhất của tộc Druid. Là một trong những anh hùng đã chiến đấu chống lại lũ Ác quỷ xâm lược 100 năm trước, nàng thường được coi là người khôn ngoan nhất trên toàn Lục địa Orbis. Nàng đã huấn luyện và đào tạo vô số Tiên, cũng như sở hữu hiểu biết sắc sảo và các quyền năng huyền bí, phù hợp với tuổi của mình. Tương truyền rằng kể cả vị vua hiện nay của Elidora cũng như các con của ông đều từng là đồ đệ của nàng. Gần đây, do cảm nhận nhận được sự quấy nhiễu kỳ lạ từ Rừng Elidora, nàng đang lót đường cho người sử dụng Kiếm thánh."
CREATURE_STORY_15,"Người đàn ông chính trực và chân chính này bảo vệ Orvel như một hiệp sĩ của nơi này. Nhiều người coi anh là người bảo vệ đáng tin của Orvel nhưng do anh không quan tâm đến của cải và thành công nên thứ hạng thực sự của anh chưa bao giờ cao. Anh đã cùng Kasel, Frey lớn lên ở cùng một trại trẻ mồ côi và anh yêu quê hương của mình, như nơi chứa đựng những thứ quý giá đối với anh. Gần đây anh đã tình nguyện tham gia quân viễn chinh để điều tra Bình nguyên Nhà Vua."
CREATURE_STORY_16,"Người dẫn đường cho linh hồn Tamia thuần khiết và tốt bụng này có thể nói chuyện với người chết. Chủng tộc Tamia sống hài hòa với thiên nhiên và họ có khả năng hiểu được dòng chảy tự nhiên, cũng như dẫn đường cho linh hồn của người chết. Khả năng dẫn đường cho linh hồn của Rephy rất đặc biệt, kể cả đối với người Tamia. Anh sử dụng khả năng này để dẫn đường cho linh hồn của những người đã chết trong khu rừng và giúp họ vượt qua, ngăn họ không trở thành quỷ. Anh là người có năng lực nhất trong số những người Tamia trong việc phát hiện đường đi của các vì sao, xoa dịu linh hồn của người chết và dẫn họ đến thế giới bên kia một cách hợp thức."
CREATURE_STORY_17,"Vị Tiên bóng tối cô đơn này đã thề sẽ trả thù chính chủng tộc của mình vì cái chết của chị gái. May mắn sống sót sau khi theo quân đến Sa mạc Aegina, điều duy nhất chờ đợi anh khi quay về nhà là cái tin khủng khiếp: chị gái của anh đã bị giết để làm Tiên hiến tế. Khi hét lên tên chị gái trong bóng tối, anh bắt đầu rơi vào trạng thái điên loạn. Cuối cùng, anh đưa ra lời thề sẽ thù ghét và trả thù chính chủng tộc của mình, những kẻ đã giết chết chị gái anh."
CREATURE_STORY_18,"Reina von Stein là con gái trong một gia đình quý tộc của đế chế. Tinh thần tự do và cá tính đầy sức sống của nàng dường như làm bừng sáng thế giới xung quanh. Nàng yêu thích cuộc sống tự do làm lính đánh thuê hơn là cuộc sống quý tộc ngột ngạt. Sau khi làm lính đánh thuê trong một thời gian dài, nàng đã đánh mất toàn bộ dấu vết về quá trình nuôi dạy quý tộc trong cách xử sự của mình. Kể cả khi còn nhỏ, nàng cũng cho thấy tài năng dùng kiếm thiên bẩm. Qua nhiều năm, nàng mài giũa kỹ năng của mình với một thanh trường kiếm và một phong cách phù hợp nhất với vóc người uyển chuyển của mình. Gần đây, nàng đã từ chối một hợp đồng kỳ lạ. Kể từ khi đó, nàng vẫn luôn cảm giác như thể có người nào đó đang đi theo và quan sát mình."
CREATURE_STORY_19,"Một vụ việc kỳ lạ về một phù thủy là người bị linh hồn của rồng băng đá chiếm hữu. Từng chiến đấu sát cánh bên Kyle 100 năm trước, trên thực tế phù thủy băng đá cổ xưa này đã tồn tại từ trước đó rất lâu rồi. Linh hồn của rồng thường ngủ say nhưng đôi khi cũng thức giấc để trò chuyện với anh bằng giọng nói của tình nhân. Đế chế coi anh là một nhân vật quan trọng và đã cử Rodina tới để theo dõi cũng như bảo vệ anh. Tuy nhiên, chính bản thân anh chỉ mong muốn một cuộc sống yên bình và êm ả, tránh xa những mối lo của thế giới."
CREATURE_STORY_20,"Ziltrion Si Demia. Thống soái Hiệp sĩ hộ vệ xứ Orvel. Nàng là một hiệp sĩ hùng mạnh và trang nghiêm, với vũ khí là một cây giáo và một chiếc khiên khổng lồ. Tương truyền rằng việc đâm thủng tấm khiên của nàng gần như là chuyện bất khả thi. Là thống soái hiệp sĩ, nàng trân quý thuộc hạ của mình và sẵn sàng thực hiện bất kỳ nhiệm vụ nào để phục vụ quê hương mình. Cảm nhận được không khí thay đổi gần đây trong hoàng cung, nàng hy vọng sẽ nhanh chóng chỉ định Clause là thống soái tiếp theo để nàng có thể bảo vệ Scarlet trước sự hiếu chiến của giới quý tộc."
CREATURE_STORY_21,"Một chiến binh can đảm và đáng kính của tộc Thần cánh chim, những người sở hữu sức mạnh của gió. Đối với nàng, phẩm giá của một chiến binh Thần cánh chim quan trọng hơn mọi thứ khác trên thế giới. Nàng dựa vào sức mạnh ý chí và mong muốn duy trì danh dự chiến binh của mình để hạ gục bất kỳ kẻ thù nào. Nàng có kỹ năng hiếm có, thậm chí trong số những người đồng cấp với mình. Và nàng cũng là hình mẫu lý tưởng cho các chiến binh Thần cánh chim trẻ trung hơn."
CREATURE_STORY_22,"Lính bắn tỉa hàng đầu của đế chế và là kẻ yêu gấu. Nàng thích chúng đến mức luôn đeo phụ kiện giống như đôi tai gấu trên mũ. Vì thế, đôi khi nàng cũng săn hổ nhưng không bao giờ bắn một chú gấu. Mặc dù kỹ năng bắn của nàng phù hợp nhất với công việc ám sát nhưng nàng đã thề sẽ không bao giờ sử dụng chúng cho mục đích không chính đáng. Thay vào đó, nàng sử dụng chúng để bảo vệ người khác. Nàng hiện đang sống cùng Pavel ở Núi tuyết Windland, làm cận vệ cho anh theo ủy thác của đế chế."
CREATURE_STORY_23,"Thống soái trước đây của Hiệp sĩ rồng bóng tối, nàng là hiệp sĩ quỷ hào hiệp nhất của Đội quân ác quỷ. Vì một lý do bí ẩn, hiện nàng đang đi theo phù thủy Maria và giúp đỡ cô trong công việc. Nhiều người thấy kỳ lạ khi nhà vô địch trước đây của Đội quân ác quỷ, người đã chém vô số kẻ thù và thậm chí tiêu diệt cả rồng, giờ lại làm người hầu cho một phù thủy nhỏ. Bất chấp điều đó, nàng vẫn trung thành phục vụ cô chủ của mình."
CREATURE_STORY_24,"Là thầy tu ít hứa hẹn nhất ở Nhà thờ Lua, nói ngắn gọn, Baudouin là một kẻ phóng túng. Ngay từ khi còn nhỏ, hắn vẫn luôn là con sâu làm rầu nồi canh trong Nhà thờ Lua, vốn vẫn luôn nhấn mạnh lòng mộ đạo. Hắn vào được nhà thờ là nhờ Thầy cả Berman nhưng đau đớn thay, cuộc sống tôn giáo thật sự không thích hợp với hắn. Tuy nhiên, một ngày nọ, đột nhiên hắn quyết định từ bỏ lối sống lầm đường lạc lối và bắt đầu đi theo con đường của thầy cả."
CREATURE_STORY_25,"Nàng từng là công chúa của Cộng hòa Gray đã sụp đổ. Cộng hòa Gray, đã bị những tên Ác quỷ xâm lược xóa sổ trên bản đồ trong suốt Cuộc chiến chống ác quỷ, là người bảo vệ vô số những bí mật, trong đó có cả tàn dư và công nghệ của nền văn minh cổ đại. Cũng vậy, Jane đã phải hy sinh mạng sống của mình để bảo vệ những bí mật này. Sau này, nàng được đưa trở lại thế giới như một xác sống nhờ vào Malduk, một sĩ quan cấp cao và chiến lược gia của Đội quân ác quỷ. Nàng có nhận thức mới nhờ vào phép thuật hắc ám kỳ lạ. Giờ đây, nàng chỉ mong được đi đây đó để tìm lại bản thân mình trước đây, cũng như những ký ức nàng đã lãng quên."
CREATURE_STORY_26,"Con gái một gia đinh quý tộc từ Orvel. Là một trong những phù thủy tài năng nhất của Tháp hiền triết, nàng đã được trao danh hiệu cấp 'Tím' để ghi nhận năng lực phép thuật của mình. Được nuôi dạy trong Tháp hiền triết kể từ khi còn nhỏ theo yêu cầu của bố mẹ mình nhưng nàng vẫn giữ được phẩm giá quý tộc. Khi còn nhỏ, nàng chưa bao giờ hiểu vì sao bố mẹ gửi mình đến đây để tự sinh tự diệt. Nhưng giờ nàng hiểu được lý do của họ. Giờ đây, nàng quay về nhà và luôn được người hầu gái chăm sóc. Bà cũng giống như một thành viên khác trong gia đình nàng vậy."
CREATURE_STORY_27,"Trong hoàng cung Orvel có một thư viện được cho là có không gian vô tận. Leo là một Địa tinh vẫn luôn bảo vệ thư viện này từ rất lâu rồi. Nhớ mọi cuốn sách trong thư viện, ông là người hiểu biết nhất trong toàn bộ cung điện và nhiều người cũng đến thư viện nhờ vả sự thông thái của ông. Tuy nhiên, dường như ông vẫn gặp khó khăn khi giao tiếp với người khác."
