KEY,Russian
CREATURE_DESC_5,"Варварский правитель снежных равнин замерзшей земли. \nПодрывает мораль врагов оглушающим криком и проносится по их рядам, как шторм."
CREATURE_NAME_6,Филлоп
CREATURE_TITLE_6,Король дворфов Филлоп
CREATURE_DESC_6,"Легендарный король, убийца бесчисленного множества драконов.\nНесмотря на небольшой рост, он мощным ударом щита разрушает позиции противника, обрывая жизни врагов."
CREATURE_NAME_7,Лакрак
CREATURE_TITLE_7,Охотник с ручной пушкой Лакрак
CREATURE_DESC_7,"Белый гоблин, превосходно разбирающийся в машиностроении.\nИспользует огромную ручную пушку для нанесения взрывного урона, смертельно ранит врагов специальными пулями."
CREATURE_NAME_8,Каула
CREATURE_TITLE_8,Шаман молнии Каула
CREATURE_DESC_8,"Давний вождь орков племени Небесного ветра.\nИспользует стихийные атаки, питаемые небом и ветром.\nСильные удары молнии парализуют врагов, а ветер исцеляет и благословляет союзников."
CREATURE_NAME_9,Эфис
CREATURE_TITLE_9,Очаровательная демонесса Эфис
CREATURE_DESC_9,"Хладнокровная демонесса, стремящаяся лишь к собственному удовольствию.\nОна пожинает души врагов при помощи огромной косы, внезапно появляясь среди них и\nразрушая все вокруг."
CREATURE_NAME_10,Селена
CREATURE_TITLE_10,Пронзающая ветер стрела Селена
CREATURE_DESC_10,"Принцесса эльфов, охраняющих Священный лес.\nЕе лунные стрелы преследуют цели,\nа стрелы, наполненные энергией ветра, яростно пронзают врагов."
CREATURE_NAME_11,Мария
CREATURE_TITLE_11,Падшая ведьма Мария
CREATURE_DESC_11,"Святая, благословившая героя, спасшего мир в прошлом.\nЯростная и проклятая всеми ворона стреляет острыми перьями и разрушает позиции врага."
CREATURE_NAME_12,Мируру
CREATURE_TITLE_12,Проклятая королева пиратов Мируру
CREATURE_DESC_12,"Легендарный пират, который был проклят и превратился в маленькую девочку.\nУ нее потрясающая способность бросать пушечные ядра прямо на голову врага."
CREATURE_NAME_13,Лорейн
CREATURE_TITLE_13,Великий ученый Элидоры Лорейн
CREATURE_DESC_13,"Эльфийка-друид, присоединившаяся к Союзному войску людей во время вторжения темного лорда.\nОбщается с природой и атакует врагов с помощью деревьев."
CREATURE_NAME_14,Майя
CREATURE_TITLE_14,Храбрая хозяйка зверей Майя
CREATURE_DESC_14,"Хладнокровная охотница, приручившая вооруженного зверя.\nЕе вращающийся бумеранг не дает противнику сбежать, а мощный боевой зверь разрывает врагов зубами."
CREATURE_NAME_15,Клаус
CREATURE_TITLE_15,Железный рыцарь-защитник Клаус
CREATURE_DESC_15,"Настоящий рыцарь, названный старший брат Касселя. Крепкий, как сталь, он защищает союзников на переднем фланге.\nПолучил репутацию крепостной стены за свое противостояние врагам."
CREATURE_NAME_16,Леви
CREATURE_TITLE_16,Проводник душ Леви
CREATURE_DESC_16,"Получеловек, полуживотное, это существо направляет души, используя особую лампу.\nИсцеляет союзников.\nОтвлекает врагов или восстанавливает ману союзников с помощью душ."
CREATURE_NAME_17,Тимаэль
CREATURE_TITLE_17,Скрытный охотник Тимаэль
CREATURE_DESC_17,"Темный эльф, который охотится на врагов из тени.\nПоражает противников иссиня-черной тьмой из мстительного арбалета."
CREATURE_NAME_18,Рейна
CREATURE_TITLE_18,Вспышка молнии Рейна
CREATURE_DESC_18,"Воин, владеющий легким одноручным мечом.\nЛовко уклоняется от атак\nи пронзает врагов со скоростью света."
CREATURE_NAME_19,Павел
CREATURE_TITLE_19,Маг Ледяного дракона Павел
CREATURE_DESC_19,"Маг, получивший силу после проклятия Ледяного дракона.\nИспользует мощную магию для замораживания врагов."
CREATURE_NAME_20,Дэмия
CREATURE_TITLE_20,Крепость из стали Дэмия
CREATURE_DESC_20,"Рыцарь-хранитель с гигантской пикой и щитом.\nВыдерживает атаки врагов со стойкостью стен крепости,\nнарушает вражеский строй копьем."
CREATURE_NAME_21,Нейла
CREATURE_TITLE_21,Боец ветра Нейла
CREATURE_DESC_21,"Гарпия, специалист ближнего боя, использует когти.\nБыстро перемещается между противниками, нанося урон.\nСбивает врагов мощными последовательными атаками."
CREATURE_NAME_22,Дина
CREATURE_TITLE_22,Снайпер из снежных земель Дина
CREATURE_DESC_22,"Снайпер из империи, находящейся в очень холодной местности. \nЕе рука не дрогнет ни при каких обстоятельствах. Чем больше она сосредотачивается, тем сильнее становится."
CREATURE_NAME_23,Мора
CREATURE_TITLE_23,Демоническое пламя Мора
CREATURE_DESC_23,"Демон-рыцарь, использующий лаву Темных сил.\nПричиняет врагам жгучую боль. Своей непоколебимой стойкостью она сразит всех врагов."
CREATURE_NAME_24,Бодуин
CREATURE_TITLE_24,Святой бродяга Бодуин
CREATURE_DESC_24,"Свободолюбивый, но глубоко верующий жрец из Ордена Луа. \nИспользует священный взрыв, который защищает и лечит союзников и наносит урон врагам."
CREATURE_NAME_25,Джейн
CREATURE_TITLE_25,Белоснежная смерть Джейн
CREATURE_DESC_25,"Девушка, которая стала нежитью в сражении с Темными силами.\nНосит с собой гроб, в котором спит.\nВосстанавливается, оставляя знак смерти на врагах."
CREATURE_NAME_26,Аиша
CREATURE_TITLE_26,Фиолетовая принцесса Аиша
CREATURE_DESC_26,Благородная леди из Орвелии. \nЭта умная девушка достигла титула «Фиолетовый» из Башни мудреца.\nСтреляет во врагов мощными энергетическими зарядами из роскошного зонтика.
CREATURE_NAME_27,Лео
CREATURE_TITLE_27,Вечный летописец Лео
CREATURE_DESC_27,Летописец Большой королевской библиотеки Орвелии.\nИсцеляет союзников и отменяет полезную магию врагов с помощью знаков.
CREATURE_NAME_28,Флусс
CREATURE_TITLE_28,Стремительный клинок Флусс
CREATURE_DESC_28,Вице-капитан Императорской гвардии.\nЕго быстрый меч разрезает даже магию.\nСпособен атаковать самых опасных противников.
CREATURE_NAME_29,Луна
CREATURE_TITLE_29,Дитя лунного света Луна
CREATURE_DESC_29,"Неопознанная девочка, владеющая рогаткой размером с нее.\nЧем дальше летят ее снаряды, тем сильнее урон."
CREATURE_NAME_30,Лайас
CREATURE_TITLE_30,Священная жрица воды Лайас
CREATURE_DESC_30,"Жрица, охраняющая Оазис пустыни Аэгина.\nДракон воды, который жил тысячелетиями.\nЕе вода обладает мощными целебными свойствами."
CREATURE_NAME_31,Арх
CREATURE_TITLE_31,Стрела чистоты Арх
CREATURE_DESC_31,"Высокопоставленный ангел, спустившийся в этот мир, чтобы наказать демонов, устроивших хаос.\nЕго стрелы света вершат суд над злодеями."
CREATURE_NAME_32,Рейвиция
CREATURE_TITLE_32,Благородная алая кровь Рейвиция
CREATURE_DESC_32,"Принцесса вампиров, 100 лет назад сражалась вместе с героями против демонов. Чистокровный и бессмертный вампир. Сейчас восстанавливает силы после прошлых битв. Атакует врагов с помощью своих подчиненных, контролируя их кровь."
CREATURE_NAME_33,Никс
CREATURE_TITLE_33,Маг измерений Никс
CREATURE_DESC_33,Удивительный маг пространства.\nРазрезает пространство и атакует врагов бессчетным количеством мечей.
CREATURE_NAME_34,Аннет
CREATURE_TITLE_34,Королевский техномаг Аннет
CREATURE_DESC_34,"Гениальный техномаг. Надеется, что однажды все смогут использовать магию.\nЕе техномагический голем атакует врагов."
CREATURE_NAME_35,Митра
CREATURE_TITLE_35,Серебряный боевой волк Митра
CREATURE_DESC_35,"Его также называют Песней серебряного безумия. Удивительно бестактный мужчина. Никакого чувства ответственности. Но в сражениях он становится бесподобным Серебряным Волком, превращая поле битвы в бойню."
CREATURE_NAME_36,Рикардо
CREATURE_TITLE_36,Судья Луа Рикардо
CREATURE_DESC_36,"Отважный герой, издавна защищающий мир людей от демонов. Атакует врагов колонной, благословленной Луа."
CREATURE_NAME_37,Таня
CREATURE_TITLE_37,Безмолвный клинок Таня
CREATURE_DESC_37,"Элитная убийца ордена Смеющейся маски, бывшая коллега Роя.\nРаньше она была «чистильщиком» и преследовала предателей.\nОна нападала так быстро, что никто не мог понять, отчего умер."
CREATURE_NAME_38,Иезекииль
CREATURE_TITLE_38,Проклятая Кровь Иезекииль
CREATURE_DESC_38,"Рожденный от человека и демона, полукровка, проклятый с рождения.\nКрушит и разрывает своих врагов своей правой демонической рукой."
CREATURE_NAME_39,Кассандра
CREATURE_TITLE_39,Соблазнительные Ветра
CREATURE_DESC_39,"Роковая женщина, Хозяйка Золотого Бара. \nСкандально известна, привлекательна и чертовски обаятельна. \nОна празднует свои победы соблазнительными танцами."
CREATURE_NAME_40,Тэо
CREATURE_TITLE_40,Рыцарь Верности Тэо
CREATURE_DESC_40,"Первый рыцарь давно потерянной Республики Грэй, он странствует по миру в поисках своего сеньора Джейн. \nЕго двойное копьё таит в себе ужасающую силу,\nожидая в покое, чтобы затем сразить любого демона наповал!"
CREATURE_NAME_41,Медиана
CREATURE_TITLE_41,Опасный Доктор Медиана
CREATURE_DESC_41,"Доктор, чья техника берет своё начало во времена, когда почти не было Жрецов и Лечебной магии. \nОна выпускает энергию из своей иглы и делает союзников сильнее,\nили же ослабляет противников."
CREATURE_NAME_42,Одди
CREATURE_TITLE_42,Часовщик Вечной Жизни
CREATURE_DESC_42,"Часовщик, проклятый созданиями, известными под названием Рэдпур.\nЕго магические часы атакуют и превращают врагов в камень \а также позволяют союзникам чаще использовать свои умения."
CREATURE_NAME_43,Виска
CREATURE_TITLE_43,Пожиратель демонов Виска
CREATURE_DESC_43,"Демон-изгой, поглощает себе подобных, чтобы увеличить силу. \nПутешествовала по разлому между измерениями в поисках могущественных демонов, проживающих в материальном мире. \nЕе шипы на спине предназначены для прокалывания и разрывания врагов."
CREATURE_NAME_44,Присцилла
CREATURE_TITLE_44,Стальная служанка Присцилла
CREATURE_DESC_44,"В прошлом командир армии Орвелии, сейчас она стала служанкой гениальной Аиши, единственной дочери рода Дафнель Пон, живущей в Башне мудреца. Наносит врагам быстрые удары алебардой."
CREATURE_NAME_45,Янни
CREATURE_TITLE_45,Убийца Драконов
CREATURE_DESC_45,"Варвар, путешествующий по миру и охотящийся на монстров, которые тревожат людей.\nОна единолично убила Безумного Дракона по имени Свэтла. \nОна так сильна, что стрелы, выпускаемые ей, пробивают крепостные стены."
CREATURE_NAME_46,Зафир
CREATURE_TITLE_46,Принц Песчаных Бурь Зафир
CREATURE_DESC_46,"Потомок древнего короля-бога.\nБлагородный юноша, поднявшийся на защиту пустыни.\nПесчаные бури, вызываемые его стрелами, уничтожают любого, кто встает у него на пути."
CREATURE_NAME_47,Юрия
CREATURE_TITLE_47,Таинственная швея Юрия
CREATURE_DESC_47,"Непревзойденная швея, которая шьет платья и другую одежду для всех знаменитостей на континенте.\nОна видит судьбы людей и искусно владеет иглой и нитью.\nНа кончике ее иглы танцуют звезды, а ее нить оставляет следы света на всем, к чему прикасается."
CREATURE_NAME_48,Рехатна
CREATURE_TITLE_48,Милый вестник Рехатна
CREATURE_DESC_48,"Мастерица и хозяйка мастерской музыкальных инструментов «Аселерандо».Является тайным борцом сопротивления и часто путешествует с целью передачи информации.\nПодбодряет союзников и приводит в замешательство врагов, используя особый ультразвуковой инструмент собственного создания."
CREATURE_NAME_49,Офелия
CREATURE_TITLE_49,Исследователь Души Офелия
CREATURE_DESC_49,"Астролог Звездной Пыли, труппы, бродящей по всему континенту.\nВместо того, чтобы стать частью сообщества ведьм, она ищет свю судьбу, однажды увиденную в мечтах.\nКонтролирует карты Таро, парящие вокруг нее и атакующие врагов на дистанции."
CREATURE_NAME_50,Рекина
CREATURE_TITLE_50,Торговец Ядами Рекина
CREATURE_DESC_50,"Торговец, путешествующий по континенту, продающий яды всем, кто в них нуждается.\nИспользует духовую трубку, чтобы ранить ядом и обездвиживать своих врагов."
CREATURE_NAME_51,Аселика
CREATURE_TITLE_51,Хранительница солнца Аселика
CREATURE_DESC_51,"Рыцарь праведного бога, карающий зло мечом и защищающий слабых щитом.\nОна спустилась с небес, чтобы истребить демонов, разрушающих земной мир.\nСвет, исходящий от ее меча и щита, поражает врагов и защищает союзников."
CREATURE_NAME_52,Кроу
CREATURE_TITLE_52,Карающая Пуля Кроу
CREATURE_DESC_52,"Отставной морской офицер, в настоящее время занимающийся охотой за головами и решением проблем.\nЦиник, который не доверяет никому. Обожает огнестрельное оружие."
CREATURE_NAME_53,Шамилья
CREATURE_TITLE_53,Сосуд Проклятий Шамилья
CREATURE_DESC_53,"Высший демон, внутри которой заключено 30 миллионов всевозможных проклятий.\nВосхищается силой воли людей, благодаря которой они могут противостоять боли и мучениям.\nС помощью Лука и Стрел осквернения терзает противников многочисленными проклятиями."
CREATURE_NAME_54,Лавриль
CREATURE_TITLE_54,Милый злой дух Лавриль
CREATURE_DESC_54,"Призрак, рожденный из слияния бесчисленных несправедливо оборвавшихся жизней.\nНесмотря на свою природу, Лавриль, на удивление, наивна и невинна.\nОна вытягивает жизненную энергию из врагов с помощью своих спектральных способностей."
CREATURE_NAME_55,Серия
CREATURE_TITLE_55,Тень Бездны Серия
CREATURE_DESC_55,"Серия – 101-я глава. ТемногоЭфеса, семьи охотников на различных сверхъестественных существ.\nЭта охотница на вампиров прибыла в Орвелию в поисках сестры, обратившейся в вампира и убившей их общих товарищей по оружию. Серия хочет не только совершить возмездие, но и избавить свою младшую сестру от страданий."
CREATURE_NAME_56,Эрза
CREATURE_TITLE_56,Вечная Жажда Эрза
CREATURE_DESC_56,"Она была охотницей на вампиров, как и ее сестра Серия.\nОднако позже стала жертвой собственной силы, убила товарищей по оружию и сама превратилась в вампира.\nУничтожив высшего вампира, который ее обратил, и получив его силу, она покинула свою старшую сестру Серию, единственную, кто выжил в этом кошмаре, и направилась в Орвелию."
CREATURE_NAME_57,Лилия
CREATURE_TITLE_57,Дочь Морского Шторма Лилия
CREATURE_DESC_57,"Девушка-синий дракон, чья взрослая жизнь только началась, и сестра жрицы воды Лайас. \nХотя она еще слишком неопытна и юна, те, кто смотрит на нее с высока, горько об этом потом жалеют. \nСвоих врагов она уничтожает беспощадной силой воды."
CREATURE_NAME_58,Лаудия
CREATURE_TITLE_58,Танцовщица Оазиса Лаудия
CREATURE_DESC_58,"Танцовщица из племени кочевников пустыни Аэгина.\nЕе танцы растапливают людские сердца,\nа ее острые мечи бесшумно забирают жизни врагов."
CREATURE_NAME_59,Люций
CREATURE_TITLE_59,Святой благословений Люций
CREATURE_DESC_59,"Верховный жрец Луа и наставник Фрэй.\nВера Люция настолько крепка, что он обладает силой благословения Луа.\nБлагословенные им предметы наделяются могуществом света и служат эффективным оружием в борьбе с демонами."
CREATURE_NAME_60,Криша
CREATURE_TITLE_60,Инквизитор крови и железа Криша
CREATURE_DESC_60,"Командир Велчии, подразделения магических рыцарей империи, вооруженных самым передовым техномагическим оружием.\nРыцари, которые представляют собой настоящих профессионалов военного ремесла, не потерпели ни одного поражения под ее командованием.\nКриша – могучий рыцарь, поражающий своих врагов силой света с различными характеристиками."
CREATURE_NAME_61,Нераксис
CREATURE_TITLE_61,Обсидиановое Высокомерие Нераксис
CREATURE_DESC_61,"Потомок черного дракона, способный управлять черной молнией.\nОн сражается, чтобы очистить мир от демонов, особенно дракониксов.\nЭнергия темной молнии, заключенная в его Коломете, пробивает защиту врагов."
CREATURE_NAME_62,Скарлет
CREATURE_TITLE_62,"Серебряная Вера, Скарлет"
CREATURE_DESC_62,"Принцесса Орвелии, которая по-настоящему любит свой народ.\nОна разит своим мечом, защищает слабых и стоит за справедливость, как настоящий рыцарь.\nЕё огромный меч блокирует ману, и она с легкостью рубит своих врагов."
CREATURE_NAME_63,Соня
CREATURE_TITLE_63,"Небесный Вихрь, Соня"
CREATURE_DESC_63,"Гений, признанный Башней Мудрецов, хотя никогда в ней не состоявший.\nЕй дали титул 'Небесная', и на самом деле она- гомункул.\nЕё шаровые молнии не оставляют камня на камне."
CREATURE_NAME_64,Артемиа
CREATURE_TITLE_64,Повелительница Света Артемиа
CREATURE_DESC_64,"Королева Пентеонии, Королевства- крепости, которое не отступило ни на дюйм, когда его атаковали Демоны 100 лет назад.\nЕё посох сияет бриллиантовым светом справедливости, и она превращает своих врагов в пепел."
CREATURE_NAME_65,Мириам
CREATURE_TITLE_65,"Слуга 'Небесной', Мириам"
CREATURE_DESC_65,"Ассистент и слуга архимага 'Небесной' Cони.\nОна действует только в интересах Сони, которая является её хозяйкой, сестрой, другом.\nИспользуя свое острое зрение, она находит уязвимость и разит врага своими кинжалами."
CREATURE_NAME_66,Ши
CREATURE_TITLE_66,Ария Фантазии Ши
CREATURE_DESC_66,Эта загадочная девушка исцеляет людей пленительными мелодиями.\nЕе прекрасный голос и чарующие звуки арфы обладают магической силой.
CREATURE_NAME_67,Кара
CREATURE_TITLE_67,Венец Древней Техномагии Кара
CREATURE_DESC_67,"Человекоподобный голем, созданный техномагами давно забытой древней цивилизации.\nЕе тело – совокупность древних технологий и высших достижений техномагии.\nОна – могучее оружие, способное уничтожить противника\nмощным концентрированным огнем."
CREATURE_NAME_68,Ния
CREATURE_TITLE_68,Поглощающие тьму глаза Ния
CREATURE_DESC_68,"Молодой вождь племени варваров, живущих в глубинах южных джунглей. \nВ наследство от своих предков ей достались демоническая кровь и «Демонические глаза оцепенения». \nОна обездвиживает своих врагов и расправляется с ними яростными ударами."
CREATURE_NAME_69,Эскер
CREATURE_TITLE_69,Мастер иллюзий Эскер
CREATURE_DESC_69,"Самый опасный человек тайного мира азартных игр.\nОбладает необычной способностью читать чужие мысли.\nКак только вы отвлекаетесь на вращение его кубика, считайте, что игра проиграна."
CREATURE_NAME_70,Сесилия
CREATURE_TITLE_70,Красный Ветер Справедливости Сесилия
CREATURE_DESC_70,"Девушка с повышенным чувством справедливости, которая всегда стремится быть поддержкой для всех.\nОна наказывает демонов, которые обижают людей, своими техномагическими ботинками, обладающими силой стирать врагов в порошок."
CREATURE_NAME_71,Кирзе
CREATURE_TITLE_71,Кошечка красного кристалла Кирзе
CREATURE_DESC_71,"Победитель конкурса «дизайнерский концепт героя» [87CEFA]Mochi00 (JPN)[-]\nДевочка, рождённая полуживотным с редкостной магией.\nВ раннем возрасте она была схвачена демоническими войсками и подвержена опытам по изменению тела.\nПолучив силу, она сбежала, чтобы сражаться со врагами, используя своё тело из красного кристалла."
CREATURE_NAME_72,Пансирона
CREATURE_TITLE_72,Безумное пламя Пансирона
CREATURE_DESC_72,"Девушка, очарованная безумием войны.\nБывший офицер Имперской дивизии механизмов, член подразделения «Гончая».\nЖарким пламенем поджигает всё живое на своём пути."
CREATURE_NAME_73,Чейс
CREATURE_TITLE_73,Образец 0 Чейс
CREATURE_DESC_73,"Объект эксперимента, не помнящий своего прошлого, и яростный воин, побеждающий своих врагов благодаря нечеловеческой силе.\nМогучее оружие, уничтожающее все, что попадается ему на пути."
CREATURE_NAME_74,Кибера
CREATURE_TITLE_74,Клинок алчности Кибера
CREATURE_DESC_74,"Редкостный маг меча, который искусно владеет множеством рукояток.\nСчитает, что каждый увиденный им проклятый или же могущественный меч должен обязательно побывать в его руках.\nОн с удовольствием разрезает своих врагов при помощи 3-х проклятых лезвий."
CREATURE_NAME_75,Дакарис
CREATURE_TITLE_75,Мудрец озера Дакарис
CREATURE_DESC_75,"Мудрец ящеров, населявших окрестности озера Эретана, которые были захвачены Империей.\n8 лет назад, присоединился в отряд сопративления для спасения павшей родины.\nОн погружает в хаос врагов, используя традиционную магию своего племени."
CREATURE_NAME_78,Бернгейм
CREATURE_TITLE_78,Меч разрушения Бернгейм
CREATURE_DESC_78,"Рыцарь безмолвия, Темный мечник и Сотрясающий горы меч.\nВот далеко не полный список имен, под которыми этот легендарный наемник известен в империи.\nЕго огромный меч способен поглотить любую энергию и преобразовать ее во всеразрушающую силу."
CREATURE_NAME_87,Гленвис
CREATURE_TITLE_87,Щит империи Гленвис
CREATURE_DESC_87,"Девушка-рыцарь незнатного происхождения.\nПользуется большим уважением среди простых жителей империи, так как добилась своего поста вице-капитана столичных рыцарей-стражей только благодаря личным навыкам.\nОна дала клятву защищать жителей империи, и нет никого, кто бы так самоотверженно служил империи."
CREATURE_NAME_90,Мэй
CREATURE_TITLE_90,Мечтающая о богатствах Мэй
CREATURE_DESC_90,"Хозяйка лавки в Орвеле. Разве можно не любить эту отважную и жизнерадостную девушку? Она помогает союзникам, доставая из своей корзины полезные предметы."
CREATURE_NAME_91,Глад
CREATURE_TITLE_91,Зверь Арены
CREATURE_DESC_91,"Человек, покоривший Арену Орвела. \nЛюди боялись его и начали называть Зверем Арены. \nБлагодаря его невероятной технике боя, он может уничтожить врага за считанные секунды."
CREATURE_NAME_92,Вероника
CREATURE_TITLE_92,Проницательное Око Вероника
CREATURE_DESC_92,"Гений из Башни мудрости, сумевший возродить руническую магию. \nВ настоящее время заведует финансами в Орвеле, а также занимает должность управляющего гильдиями.\nЕе мудрость и руническая магия сокрушат любого врага."
CREATURE_NAME_93,Ломан
CREATURE_TITLE_93,Привратник Веры Ломан
CREATURE_DESC_93,"Привратник правителей Орвела.\nБез королевского дозволения ни одна душа не может пройти мимо Ломана.\nОгромная сила, заключенная в его алебарде, заставляет его врагов преклонять пред ним колени."
CREATURE_NAME_94,Джуно
CREATURE_TITLE_94,Шеф-повар Героев Джуно
CREATURE_DESC_94,"Одна из лучших поваров в Орвеле.\nКажется, она может приготовить всё, что угодно: от простецких закусок до изысканных лакомств.\nЕё блюда исцеляют тело и наполняют сердце храбростью."
CREATURE_NAME_95,Ники
CREATURE_TITLE_95,Главный страж безжалостности Ники
CREATURE_DESC_95,"Девушка-воин и главный страж темницы Орвела, в которой заключены самые жуткие монстры континента.\nВ силе и мастерстве не уступает даже Гладу, Зверю арены, поэтому вселяет ужас в негодяев, находящихся по ее надзором.\nСокрушает врагов могучими ударами устрашающей булавы."
CREATURE_NAME_96,Дозарта
CREATURE_TITLE_96,Ветер Чистоты Дозарта
CREATURE_DESC_96,"Принцесса эльфов, охраняющая Башню вызова в королевстве Элидора.\nЗнает о древних реликвиях и скрытой в них силе лучше кого бы то ни было."
CREATURE_NAME_97,Ханэс
CREATURE_TITLE_97,Наставница Артиллерии Ханэс
CREATURE_DESC_97,Самый молодой тренер воспитывающий армию союза Гильдий в диспетчерском центре и гений модернизации и стратегии.\nКрушит врагов оружием собственной разработки.
CREATURE_NAME_98,Кэйн
CREATURE_TITLE_98,Бессмертный король-бог Кэйн
CREATURE_DESC_98,"Величайший король-бог древнего Секирейнеля.\nСвязал свою душу с пустыней и заполучил бессмертие до тех пор, пока существует пустыня.\nИспользуя телекинез, свободно управляет и атакует чакрой, символизирующей могущество короля-бога."
GETHERO_DESC_1,"Избранный воин священного меча Эа, однажды спасшего мир. Может оттеснить врагов и укрепить себя силой этого меча."
GETHERO_DESC_2,"Подруга детства Касселя, жрица, служащая богине. Лечит и защищает союзников силой света.С благословения богини может временно увеличить магические силы и сопротивление к ним."
GETHERO_DESC_3,"Смелая колдунья из Красной башни. Использует мощную магию огня, чтобы наносить урон нескольким врагам, а затем причиняет еще больший ущерб, взрывая угли."
GETHERO_DESC_4,"Бывший убийца, скрывающий свое прошлое. Сосредотачивается на одной цели, обрушивая бесконечные мощные удары на врага со спины."
GETHERO_DESC_5,"Варварский правитель снежных равнин замерзшей земли. Подрывает мораль врагов оглушающим криком и проносится по их рядам, как шторм."
GETHERO_DESC_6,"Легендарный король, убийца бесчисленного множества драконов.Несмотря на небольшой рост, он мощным ударом щита разрушает позиции противника, обрывая жизни врагов."
GETHERO_DESC_7,"Белый гоблин, превосходно разбирающийся в машиностроении.Использует огромную ручную пушку для нанесения взрывного урона, смертельно ранит врагов специальными пулями."
GETHERO_DESC_8,"Давний вождь орков племени Небесного ветра. Использует стихийные атаки, питаемые небом и ветром.Сильные удары молнии парализуют врагов, а ветер исцеляет и благословляет союзников."
GETHERO_DESC_9,"Хладнокровная демонесса, стремящаяся лишь к собственному удовольствию. Она пожинает души врагов при помощи огромной косы, внезапно появляясь среди них и разрушая все вокруг."
GETHERO_DESC_10,"Принцесса эльфов, охраняющих Священный лес. Ее лунные стрелы преследуют цели, а стрелы, наполненные энергией ветра, яростно пронзают врагов."
GETHERO_DESC_11,"Святая, благословившая героя, спасшего мир в прошлом. Яростная и проклятая всеми ворона стреляет острыми перьями и разрушает позиции врага."
GETHERO_DESC_12,"Легендарный пират, который был проклят и превратился в маленькую девочку. У нее потрясающая способность бросать пушечные ядра прямо на голову врага."
GETHERO_DESC_13,"Эльфийка-друид, присоединившаяся к Союзному войску людей во время вторжения темного лорда. Общается с природой и атакует врагов с помощью деревьев."
GETHERO_DESC_14,"Хладнокровная охотница, приручившая вооруженного зверя. Ее вращающийся бумеранг не дает противнику сбежать, а мощный боевой зверь разрывает врагов зубами."
GETHERO_DESC_15,"Настоящий рыцарь, названный старший брат Касселя. Крепкий, как сталь, он защищает союзников на переднем фланге. Получил репутацию крепостной стены за свое противостояние врагам."
GETHERO_DESC_16,"Получеловек, полуживотное, это существо направляет души, используя особую лампу. Исцеляет союзников. Отвлекает врагов или восстанавливает ману союзников с помощью душ."
