KEY,Japanese
Sub1_Ophelia_4_2,えっと…ここはどこ？
Sub1_Ophelia_4_3,みんな、無事なの？
Sub1_Ophelia_4_4,……
Sub1_Ophelia_4_5,あれ…？
Sub1_Ophelia_4_6,みんな…どうして返事がないの？
Sub1_Ophelia_4_7,おーい？あはは、ふざけてるんでしょ？
Sub1_Ophelia_4_8,もう、どうしたの～！
Sub1_Ophelia_4_9,こういう冗談嫌だよ、早く答えてよ。
Sub1_Ophelia_4_10,エリシアード！ヴェレキア！カルタ！パネリティ！ギガンテス！！
Sub1_Ophelia_4_11,あの… 
Sub1_Ophelia_4_12,…？
Sub1_Ophelia_4_13,そんなことが…
Sub1_Ophelia_4_14,みんながいなくなったのは、私のせいなんです。
Sub1_Ophelia_4_15,絶対に失くしてはいけなかったのに…全部私のせい…
Sub1_Ophelia_4_16,えぇと…その…もし良ければ…僕がお手伝いしましょうか…
Sub1_Ophelia_4_17,大丈夫です。
Sub1_Ophelia_4_18,あの、出口への道を教えてもらえませんか？
Sub1_Ophelia_4_19,みんなを取り戻す方法を探さないと。
Sub1_Ophelia_4_20,それが…世界樹の内部は、道も複雑で危ないんです。
Sub1_Ophelia_4_21,ぼ…僕と一緒に行った方が…良いと思うのですが…
Sub1_Ophelia_4_22,ここで樹液を採っているんですか？
Sub1_Ophelia_4_23,は、はい…若葉は…脳を刺激する力を持っているんです…
Sub1_Ophelia_4_24,アイデアを得るために…えっと…その…僕、作家として活動しているので…
Sub1_Ophelia_4_25,へぇ、作家さんだなんて、ステキですね！
Sub1_Ophelia_4_26,へへ…お恥ずかしながら、恋愛小説を書いているんです。
Sub1_Ophelia_4_27,私も、恋愛小説は好きですよ。
Sub1_Ophelia_4_28,特に、ワイルド・グラッシーズさんの「青リンゴのような淡い恋 No.1」！
Sub1_Ophelia_4_29,結末がホントに…あんな風に考えられるなんてすごい！って。
Sub1_Ophelia_4_30,あはは…僕も、その作家さんは…知っています。
Sub1_Ophelia_4_31,あ、あの…オペリアさんは占星術師っておっしゃいましたよね？
Sub1_Ophelia_4_32,あっ、はい！巡礼しながら出会う人たちに、カード占いをしているんです。
Sub1_Ophelia_4_33,私のお友だちはみんな、色んな人たちを占うたびに喜んでいたんですけど…
Sub1_Ophelia_4_34,元気出してください…きっと見つかりますから。
Sub1_Ophelia_4_35,その…もしよければ、歩きながらオペリアさんのお話をもっと聞かせていただけませんか？
Sub1_Ophelia_5_1,わぁ…運命を追いかけているんですね…
Sub1_Ophelia_5_2,正確には、運命の人を探しているんです…
Sub1_Ophelia_5_3,ええっ…？運命って、そういう意味での運命だったんですか？
Sub1_Ophelia_5_4,僕はてっきり、世界の危機に立ち向かうとか、そういうことを言っているのかと…
Sub1_Ophelia_5_5,ふふっ、少女の恋は、世界の危機よりも大事なんですよ。
Sub1_Ophelia_5_6,(恋のためだけに旅立つ、か…)
Sub1_Ophelia_5_7,(シーズン2の題材に良さそうだなぁ)
Sub1_Ophelia_5_8,あはは…そうなんですね…
Sub1_Ophelia_5_9,でも、こんな話をしたところで、みんながいないと何もできないんですけどね…
Sub1_Ophelia_5_10,うーん…オペリアさんの話をまとめると…そのお友だちは…
Sub1_Ophelia_5_11,精霊みたいですね。
Sub1_Ophelia_5_12,精霊…少し複雑なんです。
Sub1_Ophelia_5_13,私にしか見えないお友だちだから…
Sub1_Ophelia_5_14,あら？そういえば、レオさんはこんな不思議な話に、全く驚かないんですね？
Sub1_Ophelia_5_15,こういう話を他の人にすると、大抵笑い飛ばされるんですけど…
Sub1_Ophelia_5_16,うーん…僕もある意味、似たような部類ですから… 
Sub1_Ophelia_5_17,いわゆるノームと呼ばれるものです。
Sub1_Ophelia_5_18,ノーム…！あ、それで耳が…
Sub1_Ophelia_5_19,へへ…お恥ずかしいですね…
Sub1_Ophelia_5_20,あ…ともかく、そういう「お友だち」は僕も初めて聞きました。
Sub1_Ophelia_5_21,書庫にもそういう内容が書かれた本はなかったような…
Sub1_Ophelia_5_22,書庫、ですか？
Sub1_Ophelia_5_23,えっと…あれ、言いませんでしたっけ…？
Sub1_Ophelia_5_24,作家は副業で、本業はオルベル王城の書記官なんです…
Sub1_Ophelia_5_25,えっ…オルベル王城の書記官！？
Sub1_Ophelia_5_26,あの、ない本はないと言われる、王城の書庫の書記官？
Sub1_Ophelia_5_27,へへ…まぁ、読書好きのスカーレット様のおかげですよ… 
Sub1_Ophelia_5_28,オルベルリア王城の書庫は、それこそ知識の宝島だって聞いたわ。
Sub1_Ophelia_5_29,もしかしたら、あそこに行けばあの子たちを探す方法を見つけられるんじゃ？ 
Sub1_Ophelia_5_30,あの、レオさん。私も一緒に書庫へ行ってもいいですか？
Sub1_Ophelia_5_31,みんなを取り戻す方法があるかどうか、調べてみたいんです。
Sub1_Ophelia_5_32,えっ？えっと…その…王城の書庫は、誰でも出入りできるような所じゃないのですが…
Sub1_Ophelia_5_33,あはは…え…えっと…代わりに許可をもらえば…
Sub1_Ophelia_5_34,(やった！)
Sub1_Ophelia_6_1_1,わぁ…壮大な所ですねぇ…
Sub1_Ophelia_6_1_2,なんだか、ワクワクします…！
Sub1_Ophelia_6_1_3,公演で時々首都へ寄ることはあったけど…王城の書庫に入れる日が来るなんて。
Sub1_Ophelia_6_1_4,ここは…王城が建築されるとき、最も早く考案された建物だそうです。
Sub1_Ophelia_6_1_5,読書がお好きな先代の王たちのおかげで…今では、想像できないほどの大きな空間となりました…
Sub1_Ophelia_6_1_6,手に入れることが難しい世界中の本が、ここに集まっているんです。
Sub1_Ophelia_6_1_7,魔族戦争があったときも…僕はここに残って、本を守っていたんですよ。 
Sub1_Ophelia_6_1_8,(えぇっ、魔族戦争だなんて…一体何歳なんだろう…)
Sub1_Ophelia_6_1_9,わぁ…これだけ広ければ、きっと私の好きな
Sub1_Ophelia_6_1_10,ワイルド・グラッシーズさんの本もあるかもしれないですね！ 
Sub1_Ophelia_6_1_11,あはは…まぁ、多分…
Sub1_Ophelia_6_1_12,書記官、戻られましたか。
Sub1_Ophelia_6_1_13,あ…ちょうど書庫にいらっしゃったんですね。書記官レオ、王女様にお目にかかります。
Sub1_Ophelia_6_1_14,あっ…！魔女オペリア、王女様にご挨拶申し上げます！
Sub1_Ophelia_6_1_15,魔女？
Sub1_Ophelia_6_1_16,(ああ…王城では魔女って言わない方がよかったのかな)
Sub1_Ophelia_6_1_17,その…悪い方ではありません。
Sub1_Ophelia_6_1_18,外出中に出会った方なのですが…
Sub1_Ophelia_6_1_19,どうしてもご覧になりたい本があるとおっしゃられて…とても見て見ぬ振りができませんでした…
Sub1_Ophelia_6_1_20,スカーレット様さえお許しいただけるなら…その…一般書籍までなら…大丈夫かと思いまして…
Sub1_Ophelia_6_1_21,書記官がそこまで言うとは、意外ですね。
Sub1_Ophelia_6_1_22,あなたが信頼する者ならば、私も信じましょう。 
Sub1_Ophelia_6_1_23,探している本が、ここにあると良いな。 
Sub1_Ophelia_6_1_24,ありがとうございます！王女様！
Sub1_Ophelia_6_1_25,…父上の病勢について、折り入ってお話があります。
Sub1_Ophelia_6_1_26,書記官ならば、私に答えをくれると思うのです。
Sub1_Ophelia_6_1_27,ほんの少しでも可能性があるなら…
Sub1_Ophelia_6_1_28,取り戻す方法どころか、あの子たちに関する本すらないじゃない…
Sub1_Ophelia_6_1_29,探している本は見つか…らなかったみたいですね。
Sub1_Ophelia_6_1_30,うーん…ここにないなら、禁止エリアにあるかも…
Sub1_Ophelia_6_1_31,禁止エリア？
Sub1_Ophelia_6_1_32,希少度の高い本は、禁止エリアで管理されているんです…
Sub1_Ophelia_6_1_33,そういう本が消失するようなことがあれば、国の一大損失になりますから。 
Sub1_Ophelia_6_1_34,しかも、そのような本は普通の書籍とは違って…勝手に…
Sub1_Ophelia_6_1_35,あぁ…僕としたことが、余計なことを…今話したことは、どうか忘れてください！
Sub1_Ophelia_6_1_36,いいんです、レオさん！教えてくださって、ありがとうございます！
Sub1_Ophelia_6_1_37,そこを探してみますね。
Sub1_Ophelia_6_1_38,ごめんなさい…そこには本当に入ることができないんです…
Sub1_Ophelia_6_1_39,で、では…そういうことですので…
Sub1_Ophelia_6_1_40,このまま…諦めるわけにはいきません。
Sub1_Ophelia_6_1_41,幼いころからずっと一緒に過ごしてきた、家族なんです。
Sub1_Ophelia_6_1_42,このまま…あの子たちを失うわけにはいかないんです。
Sub1_Ophelia_6_1_43,お願いします！どうか、この通りです。
Sub1_Ophelia_6_1_44,わずかな可能性でもあるなら、私は何でもします。
Sub1_Ophelia_6_1_45,許可なく禁止エリアに進入する行為は、とても重大な罪となる。
Sub1_Ophelia_6_1_46,スカーレット様！
Sub1_Ophelia_6_1_47,しかし、
Sub1_Ophelia_6_1_48,そなたの最後の一言が、私を思いとどまらせた。
Sub1_Ophelia_6_1_49,…あまり時間はやれないぞ。 
Sub1_Ophelia_6_2_1,気味が悪いなぁ…ここ、さっきと全然雰囲気が違うんだけど？
Sub1_Ophelia_6_2_2,…ううん、ダメ。こんなの、平気なんだから！
Sub1_Ophelia_6_2_3,みんな。私が絶対に助けてあげるね。
Sub1_Ophelia_6_2_4,あの…お気をつけください… 
Sub1_Ophelia_6_2_5,禁止エリアの本には、魔法がかかっています…
Sub1_Ophelia_6_2_6,ほとんどが荒っぽい性格なので…怒ると、襲ってきますよ…
Sub1_Ophelia_6_2_7,だからこの場所は、書庫の管理者である僕だけが出入りするのです…
Sub1_Ophelia_6_2_8,えぇっ…！本が襲ってくるですって…？
Sub1_Ophelia_6_2_9,レオさんの言うとおり、気をつけますね！
Sub1_Ophelia_6_2_10,うーん…どこから探せばいいかな… 
Sub1_Ophelia_6_2_11,あれ…？
Sub1_Ophelia_6_2_12,[非常警報！非常警報！]
Sub1_Ophelia_6_2_13,[侵入者発見！侵入者発見！]
Sub1_Ophelia_6_2_14,[みんな、起きろ！みんな、起きろ！]
Sub1_Ophelia_6_2_15,シーッ！し…静かにして！
Sub1_Ophelia_6_2_16,[静かにして？]
Sub1_Ophelia_6_2_17,そう、静かに！
Sub1_Ophelia_6_2_18,[…静かにして、を入力…]
Sub1_Ophelia_6_2_19,[ブーッ！！！]
Sub1_Ophelia_6_2_20,ドサドサドサ…
Sub1_Ophelia_6_2_21,あわわわ……
Sub1_Ophelia_6_2_22,…もう、無理です！！
Sub1_Ophelia_6_3_1,ふぅ…本が傷つかないように、気絶させるしか方法はありません！
Sub1_Ophelia_6_3_2,気をつけてください！絶対に、本を傷つけてはダメですよ！
Sub1_Ophelia_6_4_1,[非常警報！非常警報！]
Sub1_Ophelia_6_4_2,この本…あぁっもう、うるさすぎるよー！
Sub1_Ophelia_6_4_3,変ですね…僕の記憶では、そんな本はなかったのに…
Sub1_Ophelia_6_4_4,[侵入者感知！侵入者感知！]
Sub1_Ophelia_6_4_5,コラあなた、静かにしなさい！
Sub1_Ophelia_6_4_6,[コラあなた、静かにしなさい！を入力…]
Sub1_Ophelia_6_4_7,[ブーッ！！！]
Sub1_Ophelia_6_4_8,うわあああ！うるさい！！
Sub1_Ophelia_6_4_9,[うわあああ！うるさい！！を入力…]
Sub1_Ophelia_6_4_10,[ブーッ！！！非常警報！非常警報！]
Sub1_Ophelia_6_4_11,どうして止まらないの～！！
Sub1_Ophelia_6_4_12,オペリアさん！
Sub1_Ophelia_6_4_13,禁止エリアの本は…錠前に古い術式がかけられているんです…
Sub1_Ophelia_6_4_14,持ち主が入力した音声コードがないと開けられないように。
Sub1_Ophelia_6_4_15,あの本は…正しいコードを入力すれば、静かになるはずです！
Sub1_Ophelia_6_4_16,音声コード…？
Sub1_Ophelia_6_4_17,故障でもしているのか…入力反応が、オペリアさんにだけ反応してるみたいです。
Sub1_Ophelia_6_4_18,ええっ…！？そ、それなら…
Sub1_Ophelia_6_4_19,ひ…開けっ？！ 
Sub1_Ophelia_6_4_20,[開けっ、を入力…]
Sub1_Ophelia_6_4_21,[ブーッ！！！]
Sub1_Ophelia_6_4_22,パスワードなし？
Sub1_Ophelia_6_4_23,[パスワードなし、を入力…]
Sub1_Ophelia_6_4_24,[ブーッ！！！]
Sub1_Ophelia_6_4_25,ス…スズメバチ？
Sub1_Ophelia_6_4_26,[ブーッ！！！]
Sub1_Ophelia_6_4_27,えっと…なんですか、それは…
Sub1_Ophelia_6_4_28,あはは…ただ、思いついたのを言ってみただけです…
Sub1_Ophelia_6_4_29,あ！もしかして！ブーッ！？
Sub1_Ophelia_6_4_30,[ブーッ！！！]
Sub1_Ophelia_6_4_31,もう～なんでこんなややこしいの！
Sub1_Ophelia_6_4_32,[もう～なんでこんなややこしいの、を入力]
Sub1_Ophelia_6_4_33,いや、今のはただ…
Sub1_Ophelia_6_4_34,[ブーッ！！！連続失敗！セキュリティを維持！セキュリティを維持！]
Sub1_Ophelia_6_4_35,[攻撃魔法30秒前…30、15…]
Sub1_Ophelia_6_4_36,うわああー！
Sub1_Ophelia_6_4_37,オ…オペリアさん！気をつけて！
Sub1_Ophelia_6_4_38,ええっ…？急にピクッとしたような！？
Sub1_Ophelia_6_4_39,[攻…攻撃魔法発動、5、4、3、2]
Sub1_Ophelia_6_4_40,えぇ…まさか…！？
Sub1_Ophelia_6_4_41,「オペリア」…！？
Sub1_Ophelia_6_4_42,[オペリア、を入力…]
Sub1_Ophelia_6_4_43,[…]
Sub1_Ophelia_6_4_44,[警報解除！警報解除！アンロック！]
Sub1_Ophelia_6_4_45,ウソでしょ…私の名前がコードだったの？
Sub1_Ophelia_6_4_46,先代の本は…僕たちの頭では理解できないようなケースも沢山あるんです。
Sub1_Ophelia_6_4_47,どういうことなのか分かりませんが…
Sub1_Ophelia_6_4_48,うーん…オペリアさんの探している本は、これなのかもしれませんね。
Sub1_Ophelia_6_4_49,[存在するすべての物の性質と起源 - 待望の最終巻]
Sub1_Ophelia_6_4_50,[植物編、動物編、幽霊編、精霊編…]
Sub1_Ophelia_6_4_51,すごい…
Sub1_Ophelia_6_4_52,本に書かれている古代文字が…読めるように変換されています…
Sub1_Ophelia_6_4_53,この本…著者が特殊な魔法をかけておいたようです…
Sub1_Ophelia_6_4_54,まるで、あなたが読むためだけに存在している本みたいに…
Sub1_Ophelia_6_4_55,私のための本…
Sub1_Ophelia_6_4_56,さっそく、読んでみましょう。
Sub1_Ophelia_6_4_57,オペリアさん、お友だちに関する内容は見つかりましたか？
Sub1_Ophelia_6_4_58,うーん、変ですね…精霊編には載っていないみたいなんです。
Sub1_Ophelia_6_4_59,むむ…？
Sub1_Ophelia_6_4_60,あれ？待って！
Sub1_Ophelia_6_4_61,[[その他 ㅡ
Sub1_Ophelia_6_4_62,我々は魔力を通して、前述したほとんどの存在に出会うことができる。
Sub1_Ophelia_6_4_63,しかし、あの方の話によると、いかなるものでも定義することのできない、興味深い物体も存在する。
Sub1_Ophelia_6_4_64,しいて言うなら、精霊科に属するが、
Sub1_Ophelia_6_4_65,運命の星から生まれた彼らは、「形而上学的集合」そのものである。
Sub1_Ophelia_6_4_66,代表的には、今日我々がよく口にする[愛、死、幸運]が挙げられるだろう]]
Sub1_Ophelia_6_4_67,あ…！
Sub1_Ophelia_6_4_68,[[すべての感情は、愛、死、幸運の3つに従属するという。
Sub1_Ophelia_6_4_69,つまり、これらの主となれば、世界の未来を悟ることができるというわけだ。
Sub1_Ophelia_6_4_70,地上のあらゆるものには、これらの力が必ず宿るからである。
Sub1_Ophelia_6_4_71,しかし、これらは彼らの世界から選ばれし者のみが見ることができ、
Sub1_Ophelia_6_4_72,我々は、ただこれらを感じ、存在していることを認識するのみである。]]
Sub1_Ophelia_6_4_73,オペリア、一体なにが見えているというんだ？
Sub1_Ophelia_6_4_74,ほら、見て。この子たち、私の周りをぐるぐる回ってるでしょ。
Sub1_Ophelia_6_4_75,何を言っているのか分からないな。
Sub1_Ophelia_6_4_76,変だな…本当なのに…
Sub1_Ophelia_6_4_77,私に、自分たちの名前をささやいてくれることもあるんですよ。
Sub1_Ophelia_6_4_78,わかるんです。 
Sub1_Ophelia_6_4_79,あの子たちの話だってことが…
Sub1_Ophelia_6_4_80,本当に…神秘的で興味深い内容ですね…
Sub1_Ophelia_6_4_81,でも、その…オペリアさん…これだけでは、役に立たないと思うのですが…
Sub1_Ophelia_6_4_82,うーん…著者と思われる「あの方」が誰なのか、書かれていませんので…
Sub1_Ophelia_6_4_83,いいえ！レオさん。 
Sub1_Ophelia_6_4_84,誰に会うべきなのか、分かりました。
Sub1_Ophelia_6_4_85,え？
Sub1_Ophelia_6_4_86,著者を探せないなら… 
Sub1_Ophelia_6_4_87,著者の言葉を書き留めた人が、その次にあの子たちをよく知っているはずですよね？
Sub1_Ophelia_6_4_88,[編者 - 魔女 ユカレトゥス]
Sub1_Ophelia_6_4_89,で…でもこの本は…かなり昔の本ですし…
Sub1_Ophelia_6_4_90,あの…この方は、間違いなくもう亡くなっているはずです…
Sub1_Ophelia_6_4_91,うーん…死者の星に向けて、霊魂の儀式でもするべきなのでしょう。
Sub1_Ophelia_6_4_92,うーん…こんな魔女の名前は、初めて聞いたのですが…
Sub1_Ophelia_6_4_93,あっ…！？名前の下に、何か書かれてますよ！
Sub1_Ophelia_6_4_94,[ガルアの祭壇で、光を待ちながら…]
Sub1_Ophelia_7_1_1,ガルアの祭壇って言ったら、あそこしかない…
Sub1_Ophelia_7_1_2,でも、噂によるとあそこは… 
Sub1_Ophelia_7_1_3,うーん…もしかして、罠なんじゃ…？
Sub1_Ophelia_7_1_4,ううん。手がかりがあるなら、何だってしなきゃ！ 
Sub1_Ophelia_7_1_5,行こう、祭壇へ！
Sub1_Ophelia_7_1_6,そこで、あの人たちにお墓の場所を聞いてみよう。
Sub1_Ophelia_7_1_7,うぅ…やっぱり、薄気味悪いところ…
Sub1_Ophelia_7_1_8,ドーン！
Sub1_Ophelia_7_1_9,え？
Sub1_Ophelia_7_1_10,ドンドンドン！！
Sub1_Ophelia_7_1_11,おらぁ！このゴミどもがっ！
Sub1_Ophelia_7_1_12,うわぁぁ！誰ですかー！
Sub1_Ophelia_7_1_13,うああああっ！うわ！何だお前！？
Sub1_Ophelia_7_1_14,が…ガルアでは霧でよく道に迷いやすいですからね。
Sub1_Ophelia_7_1_15,(死者に会いに来たなんて、コイツもまともじゃねぇな)
Sub1_Ophelia_7_1_16,おい。死にたくなけりゃ、あそこには行かねぇほうがいいぞ？
Sub1_Ophelia_7_1_17,いくら銃でぶっ放されても、誰一人死なねぇんだからな。
Sub1_Ophelia_7_1_18,ったく、どこに行ったんだ、センパイはよぉ～～
Sub1_Ophelia_7_1_19,はぁ…随分変わった人だな…
Sub1_Ophelia_7_1_20,なんだか正気じゃないみたい。
Sub1_Ophelia_7_1_21,うぅ…寒い… 
Sub1_Ophelia_7_1_22,ゴソッ… 
Sub1_Ophelia_7_1_23,誰だ、我々の眠りを妨げる者は…
Sub1_Ophelia_7_1_24,わっ！！
Sub1_Ophelia_7_1_25,お…お聞きしたい事があって来ました。
Sub1_Ophelia_7_1_26,あなたたちは、ガルアを誰よりも長く見てきたんですよね。
Sub1_Ophelia_7_1_27,眠れぬ我らをあざ笑っているのか？
Sub1_Ophelia_7_1_28,ち、違います！あなたたちの助けが必要なんです！
Sub1_Ophelia_7_1_29,お願いします！ユカレトゥスという人のお墓がどこにあるのか、教えてください！
Sub1_Ophelia_7_1_30,そうだ…お前の言うとおり、我々はガルアで起こった事について一番よく知っている…
Sub1_Ophelia_7_1_31,あそこの祭壇の隅で、焚き付けに使われたあの女のこともな…
Sub1_Ophelia_7_1_32,あはは…そうですか…本当にありがとうございます。で…ではこれで…
Sub1_Ophelia_7_1_33,生きて帰れると思っているのか…
Sub1_Ophelia_7_1_34,はい…？
Sub1_Ophelia_7_1_35,ここは地獄だ…永劫の苦しみだけが存在する場所…
Sub1_Ophelia_7_1_36,帰りたいか？\nならば、我々にお前の肉体を分けてくれ…
Sub1_Ophelia_7_1_37,休ませてくれ…！いい加減、我々を休ませてくれ！
Sub1_Ophelia_7_1_38,い…イヤ…！
Sub1_Ophelia_7_2_1,だ……だめ！
Sub1_Ophelia_7_2_2,このままじゃ…
Sub1_Ophelia_7_2_3,あ…！ 
Sub1_Ophelia_7_2_4,ここは…死ねぬ者の祭壇…！
Sub1_Ophelia_7_2_5,彼らに本当に必要なものは…
Sub1_Ophelia_7_2_6,安息…
Sub1_Ophelia_7_2_7,カルタ！！
Sub1_Ophelia_7_2_8,死を呼ぶ、あなたの切実さが私を目覚めさせました。 
Sub1_Ophelia_7_2_9,永遠の安息を与える、カルタ。 
Sub1_Ophelia_7_2_10,主の仰せのままに。
Sub1_Ophelia_7_2_11,ああ…安らかなこの感覚…
Sub1_Ophelia_7_2_12,ありがとう…
Sub1_Ophelia_7_2_13,カルタ…戻ってきてくれてありがとう…ありがとう…！
Sub1_Ophelia_7_3_1,終わりね…きっとここだわ。
Sub1_Ophelia_7_3_2,ユカレトゥスっていう人に会えたら、
Sub1_Ophelia_7_3_3,他のみんなを見つける方法もきっとあるはずよ！
Sub1_Ophelia_7_3_4,死者の星、アーシピアよ。 
Sub1_Ophelia_7_3_5,カルタを通して、あなたの星にいる魂と少しの間お話しさせてください。 
Sub1_Ophelia_7_3_6,あれ…？何も起こらないじゃない？
Sub1_Ophelia_7_3_7,主よ。探しているお方に、アーシピアの声が届きません。
Sub1_Ophelia_7_3_8,そのお方は、亡者ではありません。
Sub1_Ophelia_7_3_9,え…？亡者じゃないですって？
Sub1_Ophelia_7_3_10,…死でも生でもない、どこかの境界にいるのです。
Sub1_Ophelia_7_3_11,私が道を開いて差し上げましょう。
Sub1_Ophelia_7_3_12,あぁっ…！
Sub1_Ophelia_7_3_13,わっ、煙たい…ケホ、ケホッ…ここ、どこだろう？
Sub1_Ophelia_7_3_14,ゴホゴホ…ん？
Sub1_Ophelia_7_3_15,えっ、これは…カードじゃない！
Sub1_Ophelia_7_3_16,貴様も、永遠の命を求めにきたのか？クックック…
Sub1_Ophelia_7_3_17,あぁ、ビックリした！
Sub1_Ophelia_7_3_18,こんにちは。その…私は、ユカレトゥスという人に会いにきたんですけど…
Sub1_Ophelia_7_3_19,クックック、我が名を知っているとはな…奇妙なものだ。
Sub1_Ophelia_7_3_20,あ…！あなたが！？ 
Sub1_Ophelia_7_3_21,そう…我が名はユカレトゥス。\n存在を消された魔女…
Sub1_Ophelia_7_3_22,クックック…肉体を捨てたこのザマが、滑稽か？
Sub1_Ophelia_7_3_23,い、いえ！
Sub1_Ophelia_7_3_24,クックッ…お前、こんな場所まで来るとは、普通の人間ではないな…
Sub1_Ophelia_7_3_25,ふむ、私に望むものは何だ？
Sub1_Ophelia_7_3_26,その…あなたが書いた本について、聞きたいことがあるんです。
Sub1_Ophelia_7_3_27,私のお友だちを取り戻すためには、何としてでもあなたの力が必要なんです…！
Sub1_Ophelia_7_3_28,本か…
Sub1_Ophelia_7_3_29,私は…あなたが運命の星の子たちについて書いた内容が知りたいんです。
Sub1_Ophelia_7_3_30,貴様…どうしてその本のことを知っている？
Sub1_Ophelia_7_3_31,なぜそれが知りたいのだ！？
Sub1_Ophelia_7_3_32,え…？
Sub1_Ophelia_7_3_33,お前…お前は…！
Sub1_Ophelia_7_3_34,はい…？
Sub1_Ophelia_7_3_35,名前…名前を言え…名前を…！
Sub1_Ophelia_7_3_36,あ…魔女のオペリアといいます。 
Sub1_Ophelia_7_3_37,つ…ついに…ついに…
Sub1_Ophelia_7_3_38,師匠…ついに、許してくださるのですね…
Sub1_Ophelia_7_3_39,えっ？？突然なにを…
Sub1_Ophelia_7_3_40,あまりにも長い年月でした…
Sub1_Ophelia_7_3_41,魔女、ユカレトゥス。私の存在を再び刻んでくれた救援者にお目見えいたします。 
Sub1_Ophelia_7_3_42,あなたに出会ったことで、ようやく許されることになりました。
Sub1_Ophelia_7_3_43,歴史に私の名前が記録されることをお許しいただき、ありがとうございます。
Sub1_Ophelia_7_3_44,え…？？
Sub1_Ophelia_7_3_45,(何なの…なんだか急に口調まで変わったけど…)
Sub1_Ophelia_7_3_46,あの…状況が飲み込めないんですけど…詳しく説明していただけますか？
Sub1_Ophelia_7_3_47,昔、私は師匠の大切な星に危害を与えようとした罪で罰を受けました。
Sub1_Ophelia_7_3_48,罰を下しながら、こう仰ったのです…
Sub1_Ophelia_7_3_49,自分の後を受け継ぐ少女、「オペリア」がやってくるまで
Sub1_Ophelia_7_3_50,私は生きることも、死ぬこともできない苦しみの中から抜け出すことはできないだろう、と。
Sub1_Ophelia_7_3_51,そんな…一体どうして…
Sub1_Ophelia_7_3_52,結局、師匠に従い、数多くの業績を残したにもかかわらず… 
Sub1_Ophelia_7_3_53,私は魔女の歴史に記録されない身となりました。
Sub1_Ophelia_7_3_54,一時は知恵の大魔女と呼ばれていた栄光も、粉々に崩れ去ってしまいました…
Sub1_Ophelia_7_3_55,…
Sub1_Ophelia_7_3_56,その後、なんとしてでも呪いを解こうとあらゆる努力を重ねました。  
